train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,train/n_updates,time/fps,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
0.0008459126528049375,199,4892,-120.49322509765625,-181.00035095214844,4,1223.0,4791,24,51.9476318359375,-4.56728575,0.01935208961367607
0.0008459126528049375,402,9784,-128.12655639648438,-4.682823181152344,8,1223.0,9683,24,1.866971492767334,-3.589754125,0.0012649541022256017
0.0008459126528049375,657,14676,-131.32388305664062,20.263267517089844,12,1223.0,14575,22,4.270726203918457,-2.977615666666667,0.0008483514538966119
0.0008459126528049375,942,19568,-133.0742950439453,10.67855167388916,16,1223.0,19467,20,4.442492961883545,-2.619448375,0.001090515754185617
0.0008459126528049375,1229,24460,-123.90080261230469,80.723388671875,20,1223.0,24359,19,40.79310607910156,-2.39198625,0.0014231412205845118
0.0008459126528049375,263,29352,-115.60191345214844,53.97393798828125,24,1223.0,29251,16,20.457170486450195,-2.2705018750000003,0.0006949101225472987
0.0008459126528049375,553,34244,-95.71952056884766,29.735797882080078,28,1223.0,34143,16,13.70668888092041,-2.1759090714285714,0.001492986106313765
0.0008459126528049375,837,39136,-88.49173736572266,-17.311128616333008,32,1223.0,39035,16,6.502353191375732,-2.09902715625,0.0004994528135284781
0.0008459126528049375,1117,44028,-88.75533294677734,29.63408851623535,36,1223.0,43927,17,1.7607405185699463,-2.0056562777777778,0.0007493482553400099
0.0008459126528049375,1395,48920,-85.7723159790039,26.80541229248047,40,1223.0,48819,17,1.941556692123413,-1.9521342499999998,0.0008913896162994206
0.0008459126528049375,223,53812,-81.71277618408203,34.129539489746094,44,1223.0,53711,17,6.365673065185547,-1.9134520227272729,0.0009827351896092296
0.0008459126528049375,476,58704,-75.78526306152344,-3.2708516120910645,48,1223.0,58603,18,3.7478694915771484,-1.8714930208333331,0.0011302935890853405
0.0008459126528049375,693,63596,-68.51091003417969,-28.74716567993164,52,1223.0,63495,19,4.014867305755615,-1.841470442307692,0.0009271978051401675
0.0008459126528049375,920,68488,-63.2292366027832,-13.02807903289795,56,1223.0,68387,20,3.0399107933044434,-1.8085281607142856,0.0011900784447789192
0.0008459126528049375,1149,73380,-54.85842514038086,-3.0239109992980957,60,1223.0,73279,20,22.940698623657227,-1.7717797333333332,0.0017579549457877874
0.0008459126528049375,156,78272,-46.99242401123047,-24.728559494018555,64,1223.0,78171,20,23.08077621459961,-1.76142075,0.001693490776233375
0.0008459126528049375,409,83164,-35.33722686767578,-14.271663665771484,68,1223.0,83063,19,76.27079010009766,-1.7432790147058825,0.002741386415436864
0.0008459126528049375,655,88056,-24.437950134277344,-18.347501754760742,72,1223.0,87955,19,10.452387809753418,-1.7251551805555556,0.0019216483924537897
0.0008459126528049375,890,92948,-17.450605392456055,-6.860428810119629,76,1223.0,92847,20,13.061910629272461,-1.6976969605263157,0.0022050547413527966
0.0008459126528049375,1151,97840,-7.377784729003906,-21.833593368530273,80,1223.0,97739,19,22.80791473388672,-1.6810508624999998,0.001982541289180517
