train/ent_coef_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef,time/episodes,train/n_updates,train/actor_loss
-153.22207641601562,11,1223.0,439,0.0008459126528049375,1.245619773864746,-4.7338775,4892,0.0192562248557806,4,4791,-123.06090545654297
-20.31889533996582,10,1223.0,890,0.0008459126528049375,2.560289144515991,-3.7702987500000003,9784,0.0010288270423188806,8,9683,-128.57269287109375
0.9770521521568298,10,1223.0,1341,0.0008459126528049375,96.67330932617188,-3.0612524166666666,14676,0.0010857153683900833,12,14575,-130.56224060058594
95.72828674316406,10,1223.0,1792,0.0008459126528049375,44.49729919433594,-2.7328178750000003,19568,0.0008096458041109145,16,19467,-135.99900817871094
24.842092514038086,10,1223.0,2243,0.0008459126528049375,29.539655685424805,-2.4797758500000002,24460,0.001411095610819757,20,24359,-137.14784240722656
58.225006103515625,10,1223.0,401,0.0008459126528049375,29.908031463623047,-2.3148045833333333,29352,0.0021686863619834185,24,29251,-131.760986328125
140.8347625732422,10,1223.0,856,0.0008459126528049375,16.68059730529785,-2.228128785714286,34244,0.0015263024251908064,28,34143,-121.9647445678711
-35.86696243286133,10,1223.0,1309,0.0008459126528049375,1.8193284273147583,-2.12400790625,39136,0.0014526135055348277,32,39035,-108.22122192382812
27.963722229003906,10,1223.0,1762,0.0008459126528049375,2.3869805335998535,-2.0563029722222224,44028,0.0010537796188145876,36,43927,-108.38166046142578
5.620620250701904,10,1223.0,2210,0.0008459126528049375,28.9793701171875,-1.9870164250000002,48920,0.00071475631557405,40,48819,-102.18724822998047
53.6828498840332,11,1223.0,345,0.0008459126528049375,5.963460922241211,-1.9389014545454544,53812,0.001289709354750812,44,53711,-95.75822448730469
95.87866973876953,11,1223.0,786,0.0008459126528049375,7.24044132232666,-1.8851736875,58704,0.001379508408717811,48,58603,-81.63390350341797
-8.074536323547363,11,1223.0,1228,0.0008459126528049375,11.271787643432617,-1.8509928653846153,63596,0.0007614369969815016,52,63495,-73.16400909423828
15.81689167022705,11,1223.0,1671,0.0008459126528049375,29.104900360107422,-1.825131,68488,0.000609761627856642,56,68387,-71.45951843261719
-11.43243408203125,11,1223.0,2115,0.0008459126528049375,0.7827699184417725,-1.786886033333333,73380,0.0007822926272638142,60,73279,-67.46953582763672
-35.561492919921875,10,1223.0,321,0.0008459126528049375,1.7664875984191895,-1.758298328125,78272,0.0006746527506038547,64,78171,-63.95468521118164
16.60306739807129,10,1223.0,795,0.0008459126528049375,1.5016241073608398,-1.7278933529411766,83164,0.0006319141830317676,68,83063,-62.61341094970703
103.50411987304688,10,1223.0,1270,0.0008459126528049375,34.652069091796875,-1.7007620416666667,88056,0.0016872062114998698,72,87955,-52.893402099609375
