time/fps,train/n_updates,train/critic_loss,time/episodes,train/ent_coef,train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
25,4931,1.807044506072998,4,0.017191622406244278,0.0008459126528049375,5032,-159.3112030029297,-121.18216705322266,-4.911501250000001,199,1258.0
24,9963,0.7069915533065796,8,0.0010277223773300648,0.0008459126528049375,10064,133.97926330566406,-126.93302917480469,-3.8167797500000002,415,1258.0
23,14995,5.822903156280518,12,0.0007765116752125323,0.0008459126528049375,15096,43.06939697265625,-130.8802032470703,-3.1864529999999998,641,1258.0
23,20027,2.53181529045105,16,0.0006933475378900766,0.0008459126528049375,20128,-84.2869873046875,-133.34115600585938,-2.8945055625,868,1258.0
23,25059,40.399330139160156,20,0.000516181462444365,0.0008459126528049375,25160,111.745849609375,-132.10836791992188,-2.7309887,6,1258.0
23,30091,2.740511655807495,24,0.0007378499722108245,0.0008459126528049375,30192,73.4610366821289,-128.4650421142578,-2.598940125,221,1258.0
22,35123,4.519421577453613,28,0.0010316739790141582,0.0008459126528049375,35224,-2.5944013595581055,-119.7329330444336,-2.481171857142857,446,1258.0
22,40155,13.403228759765625,32,0.0007719080895185471,0.0008459126528049375,40256,-55.959434509277344,-105.17878723144531,-2.3937582500000003,678,1258.0
22,45187,4.766813278198242,36,0.0004140244273003191,0.0008459126528049375,45288,-62.424163818359375,-107.85244750976562,-2.3168950277777776,902,1258.0
21,50219,16.31844711303711,40,0.0006899212603457272,0.0008459126528049375,50320,96.439208984375,-100.31871032714844,-2.264344225,14,1258.0
22,55251,3.987550735473633,44,0.0005994231323711574,0.0008459126528049375,55352,48.80171203613281,-95.23699951171875,-2.2490374318181816,234,1258.0
22,60283,4.181560516357422,48,0.0009201227221637964,0.0008459126528049375,60384,7.7499895095825195,-90.96293640136719,-2.214080854166667,471,1258.0
22,65315,3.5969254970550537,52,0.0006194469751790166,0.0008459126528049375,65416,98.74170684814453,-86.64977264404297,-2.184111903846154,697,1258.0
22,70347,1.3549749851226807,56,0.0005813870811834931,0.0008459126528049375,70448,-0.8775173425674438,-80.82841491699219,-2.1707493035714287,928,1258.0
20,75379,2.543151617050171,60,0.00039569003274664283,0.0008459126528049375,75480,-13.099599838256836,-80.655029296875,-2.1338409833333336,23,1258.0
19,80411,3.120159387588501,64,0.0006990698166191578,0.0008459126528049375,80512,-8.535621643066406,-78.22219848632812,-2.09897684375,280,1258.0
19,85443,6.327567100524902,68,0.000740339863114059,0.0008459126528049375,85544,25.566566467285156,-68.15321350097656,-2.071987117647059,540,1258.0
19,90475,5.61047887802124,72,0.0012581816408783197,0.0008459126528049375,90576,-45.22966766357422,-53.6751708984375,-2.047205930555555,799,1258.0
19,95507,4.117079257965088,76,0.0007656782981939614,0.0008459126528049375,95608,0.2361241579055786,-41.9636344909668,-2.0350748947368418,1061,1258.0
