time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss
180,-192.49940490722656,1257.0,0.0008459126528049375,5028,-5.29023975,0.016900857910513878,27,4,2.1130871772766113,4927,-123.38240051269531
364,10.768552780151367,1257.0,0.0008459126528049375,10056,-4.097502625,0.0011281446786597371,27,8,3.3750314712524414,9955,-132.4409637451172
533,-10.919159889221191,1257.0,0.0008459126528049375,15084,-3.473442166666666,0.0007042621728032827,28,12,6.853946685791016,14983,-136.10379028320312
680,-41.25336837768555,1257.0,0.0008459126528049375,20112,-3.1787415,0.000413613801356405,29,16,3.8862051963806152,20011,-141.3846893310547
5,-13.208712577819824,1257.0,0.0008459126528049375,25140,-2.9720497499999996,0.001124328002333641,27,20,2.9962759017944336,25039,-125.65430450439453
172,-4.409318923950195,1257.0,0.0008459126528049375,30168,-2.8123380833333336,0.0007111032027751207,30,24,11.735730171203613,30067,-110.34573364257812
319,33.356929779052734,1257.0,0.0008459126528049375,35196,-2.688088535714286,0.0009474745602346957,31,28,3.0655345916748047,35095,-110.41610717773438
495,66.77781677246094,1257.0,0.0008459126528049375,40224,-2.60101684375,0.0006948431837372482,30,32,2.1630282402038574,40123,-107.46578979492188
651,2.3734216690063477,1257.0,0.0008459126528049375,45252,-2.5405165833333334,0.0004508941201493144,31,36,1.3818809986114502,45151,-104.5761489868164
10,82.29513549804688,1257.0,0.0008459126528049375,50280,-2.46742955,0.0008045856957323849,26,40,8.386837005615234,50179,-95.19918060302734
198,-57.61978530883789,1257.0,0.0008459126528049375,55308,-2.420067386363636,0.0009718789369799197,26,44,6.243473052978516,55207,-83.73678588867188
386,-41.14051818847656,1257.0,0.0008459126528049375,60336,-2.3772703125000003,0.0003602578944992274,26,48,2.7363357543945312,60235,-79.218994140625
573,42.66301727294922,1257.0,0.0008459126528049375,65364,-2.333791615384616,0.000732648593839258,26,52,12.55344009399414,65263,-71.05148315429688
760,21.396347045898438,1257.0,0.0008459126528049375,70392,-2.2855489464285714,0.0006183780496940017,26,56,8.652650833129883,70291,-64.07018280029297
15,-51.05416488647461,1257.0,0.0008459126528049375,75420,-2.283476516666667,0.001066161086782813,26,60,3.7551474571228027,75319,-59.20624542236328
192,-9.287221908569336,1257.0,0.0008459126528049375,80448,-2.263525375,0.0006932780961506069,28,64,12.315472602844238,80347,-53.75973892211914
358,84.77877807617188,1257.0,0.0008459126528049375,85476,-2.2389196911764704,0.0011597226839512587,29,68,13.092477798461914,85375,-36.12715530395508
523,-19.967910766601562,1257.0,0.0008459126528049375,90504,-2.2188041666666667,0.0014307060046121478,29,72,11.28771686553955,90403,-33.173301696777344
