train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps
4931,-121.47978973388672,0.0008459126528049375,1.2619948387145996,-180.32009887695312,0.017113929614424706,4,68,1258.0,-5.314248,5032,73
9963,-125.06986999511719,0.0008459126528049375,4.484713554382324,-95.29646301269531,0.000773019390180707,8,139,1258.0,-4.22385325,10064,71
14995,-116.52264404296875,0.0008459126528049375,2.483802318572998,90.59477233886719,0.0011174544924870133,12,211,1258.0,-3.346632916666667,15096,71
20027,-116.90853881835938,0.0008459126528049375,16.84911346435547,-24.889692306518555,0.0005204566987231374,16,283,1258.0,-2.8918564375,20128,71
25059,-105.28512573242188,0.0008459126528049375,6.791125297546387,-26.28631019592285,0.0005628503859043121,20,2,1258.0,-2.6508755,25160,70
30091,-101.33271789550781,0.0008459126528049375,1.653437614440918,-10.56797981262207,0.0005774904857389629,24,74,1258.0,-2.4605274583333334,30192,69
35123,-98.90626525878906,0.0008459126528049375,2.773960590362549,-8.31467342376709,0.0003960645408369601,28,146,1258.0,-2.3211212142857143,35224,69
40155,-97.14507293701172,0.0008459126528049375,1.238386631011963,37.99120330810547,0.0003862140001729131,32,220,1258.0,-2.2332904375,40256,69
45187,-90.71586608886719,0.0008459126528049375,1.0565400123596191,0.9064918756484985,0.0002760424686130136,36,294,1258.0,-2.161292444444445,45288,68
50219,-67.41248321533203,0.0008459126528049375,6.056814193725586,3.908944606781006,0.00037041184259578586,40,4,1258.0,-2.1059611,50320,68
55251,-36.70960235595703,0.0008459126528049375,6.4863104820251465,-6.295321464538574,0.0011180274887010455,44,79,1258.0,-2.056627590909091,55352,67
60283,-30.947086334228516,0.0008459126528049375,5.527618885040283,63.67088317871094,0.000410217180615291,48,153,1258.0,-2.017426541666667,60384,67
65315,-24.66592788696289,0.0008459126528049375,2.5357046127319336,36.24951934814453,0.00030876955133862793,52,227,1258.0,-1.9888496153846158,65416,67
70347,-20.59369659423828,0.0008459126528049375,4.42180061340332,7.614433765411377,0.0004839418106712401,56,303,1258.0,-1.9617089285714289,70448,67
75379,-15.025744438171387,0.0008459126528049375,2.244102954864502,-6.564709663391113,0.00039630106766708195,60,7,1258.0,-1.9391576666666668,75480,62
80411,-10.027596473693848,0.0008459126528049375,1.571852684020996,-99.00984191894531,0.00034810713259503245,64,89,1258.0,-1.929472140625,80512,61
85443,-10.08004093170166,0.0008459126528049375,2.9567854404449463,24.385610580444336,0.00044448275002650917,68,172,1258.0,-1.9090334852941178,85544,60
90475,1.166487693786621,0.0008459126528049375,2.173966407775879,-50.55003356933594,0.00038411878631450236,72,256,1258.0,-1.8868660833333335,90576,60
95507,6.968202114105225,0.0008459126528049375,2.097604274749756,-51.75236511230469,0.0004120466473978013,76,339,1258.0,-1.8742159605263162,95608,60
