time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
1,4127,0,512,,,,,,,,,,,,,
2,2619,0,1024,-0.03593870624899864,0.0004092704424510632,0.9997186064720154,0.2,-1.0663402080535889,0.10134146091149887,0.019467521,-0.03148121808771975,16,-43.982189774513245,0.2626953125,,
3,2353,0,1536,-0.03795821964740753,0.0004092704424510632,0.9985002875328064,0.2,0.00017464160919189453,0.0068373381946003065,0.027911987,-0.029779562610201538,32,-43.95960056781769,0.3072509765625,-3.158401,1258.0
4,2236,0,2048,-0.030074089765548706,0.0004092704424510632,0.9973652958869934,0.2,0.003696620464324951,0.010504641162697226,0.017907731,-0.02518155734287575,48,-43.921223521232605,0.2501220703125,-3.158401,1258.0
5,2160,1,2560,-0.03335852548480034,0.0004092704424510632,0.9965503811836243,0.2,0.03045642375946045,0.012238015071488917,0.018289328,-0.028526695154141635,64,-43.89085376262665,0.285888671875,-3.2296905000000002,1258.0
6,2113,1,3072,-0.019975818693637848,0.0004092704424510632,0.9945509433746338,0.2,0.008794188499450684,0.02117936688591726,0.019008003,-0.02607012289809063,80,-43.849313378334045,0.302978515625,-3.2296905000000002,1258.0
7,2077,1,3584,-0.04274984449148178,0.0004092704424510632,0.9929203391075134,0.2,0.005526721477508545,0.007408711273455992,0.020480778,-0.030779923661611974,96,-43.78680598735809,0.2958984375,-3.2296905000000002,1258.0
8,2057,1,4096,-0.03700263425707817,0.0004092704424510632,0.9923761487007141,0.2,0.05350649356842041,0.002276879775308771,0.018780947,-0.02651716271066107,112,-43.75237154960632,0.262451171875,-3.1455936666666666,1258.0
9,2046,2,4608,-0.024084631353616714,0.0004092704424510632,0.9907389879226685,0.2,0.004657149314880371,0.04261790472082794,0.01701982,-0.031325779389590025,128,-43.72304034233093,0.290283203125,-3.1455936666666666,1258.0
10,2037,2,5120,-0.04157550632953644,0.0004092704424510632,0.9903099536895752,0.2,0.0684821605682373,0.011616143019637093,0.023866544,-0.03446220861223992,144,-43.68156599998474,0.29248046875,-3.1651949999999998,1258.0
11,2025,2,5632,-0.013572005555033684,0.0004092704424510632,0.9890283346176147,0.2,0.02909243106842041,0.05300898337736726,0.018345125,-0.025603999383747578,160,-43.66137480735779,0.26025390625,-3.1651949999999998,1258.0
12,2014,3,6144,-0.0393373966217041,0.0004092704424510632,0.9884588718414307,0.2,0.2531229853630066,0.00543616151844617,0.021133069,-0.028090585576137528,176,-43.62554621696472,0.2705078125,-3.1651949999999998,1258.0
