time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
13,1912,3,6656,-0.03584989160299301,0.0004092704424510632,0.9944961071014404,0.2,0.0012954473495483398,0.0032933166730799712,0.025545152,-0.027471242210594937,192,-43.818678855895996,0.273193359375,-3.2015026000000004,1258.0
14,1908,3,7168,-0.0203467458486557,0.0004092704424510632,0.9949790835380554,0.2,0.0008267760276794434,0.0470183736179024,0.02402714,-0.028134404274169356,208,-43.81297421455383,0.2886962890625,-3.2015026000000004,1258.0
15,1905,4,7680,-0.016970451921224594,0.0004092704424510632,0.995339572429657,0.2,0.003990232944488525,0.014211669535143301,0.018401207,-0.02292830721125938,224,-43.82413828372955,0.25830078125,-3.2055421666666675,1258.0
16,1901,4,8192,-0.00013718754053115845,0.0004092704424510632,0.9947236776351929,0.2,0.0005052089691162109,0.06214372266549617,0.021255128,-0.02827666763914749,240,-43.8181209564209,0.2816162109375,-3.2055421666666675,1258.0
17,1895,4,8704,-0.02055697701871395,0.0004092704424510632,0.9949034452438354,0.2,0.010002970695495605,0.008519331211573444,0.021128975,-0.026462170761078596,256,-43.81111478805542,0.2857666015625,-3.2055421666666675,1258.0
18,1894,4,9216,-0.035968706011772156,0.0004092704424510632,0.9925261735916138,0.2,0.0014019012451171875,0.004399537960125599,0.016930293,-0.027182305027963594,272,-43.78551769256592,0.248779296875,-3.2239382857142864,1258.0
19,1893,5,9728,0.008882731199264526,0.0004092704424510632,0.9925801157951355,0.2,0.0003815889358520508,0.08014868223108351,0.015442957,-0.027502744778757915,288,-43.733657002449036,0.23681640625,-3.2239382857142864,1258.0
20,1892,5,10240,-0.03782261908054352,0.0004092704424510632,0.991285502910614,0.2,0.00873476266860962,0.010831891093403101,0.02096739,-0.03047332988353446,304,-43.72346830368042,0.267578125,-3.2097935,1258.0
21,1892,5,10752,-0.0009000413119792938,0.0004092704424510632,0.9905573725700378,0.2,0.0007262229919433594,0.09422635426744819,0.030358788,-0.03395646589342505,320,-43.685542345047,0.3060302734375,-3.2097935,1258.0
22,1891,5,11264,-0.03764808177947998,0.0004092704424510632,0.9915049076080322,0.2,0.027459800243377686,0.010401530482340604,0.024142768,-0.03143626847304404,336,-43.67971634864807,0.3048095703125,-3.2097935,1258.0
23,1889,6,11776,-0.039107710123062134,0.0004092704424510632,0.9942277669906616,0.2,-0.0011110305786132812,0.006427714368328452,0.014014432,-0.02865343943994958,352,-43.74202048778534,0.2508544921875,-3.198457555555555,1258.0
24,1884,6,12288,0.024717897176742554,0.0004092704424510632,0.9950918555259705,0.2,0.0002802610397338867,0.1184888738207519,0.028465876,-0.023390965070575476,368,-43.81047582626343,0.2784423828125,-3.198457555555555,1258.0
25,1873,6,12800,-0.022230230271816254,0.0004092704424510632,0.9934435486793518,0.2,0.02686440944671631,0.0061552002443932,0.018642254,-0.02152309493976645,384,-43.79131352901459,0.2349853515625,-3.186289,1258.0
26,1866,7,13312,0.030886448919773102,0.0004092704424510632,0.9912266135215759,0.2,0.0009199976921081543,0.13267131219618022,0.018699609,-0.025586803094483912,400,-43.72932684421539,0.2559814453125,-3.186289,1258.0
27,1858,7,13824,-0.028705427423119545,0.0004092704424510632,0.990653932094574,0.2,0.08816343545913696,0.01098748215008527,0.021675605,-0.027168026892468333,416,-43.679160594940186,0.255126953125,-3.186289,1258.0
28,1851,7,14336,-0.03612011298537254,0.0004092704424510632,0.9894513487815857,0.2,0.00043386220932006836,0.005731635756092146,0.021255039,-0.02878862651414238,432,-43.66013944149017,0.254638671875,-3.1792541818181816,1258.0
29,1845,8,14848,0.01988212764263153,0.0004092704424510632,0.9871124625205994,0.2,3.445148468017578e-05,0.0794578492641449,0.04436998,-0.024211048730649054,448,-43.60022962093353,0.302734375,-3.1792541818181816,1258.0
30,1838,8,15360,-0.04633035883307457,0.0004092704424510632,0.9855571985244751,0.2,0.00039523839950561523,0.008991629700176418,0.053101867,-0.0317528670275351,464,-43.5392085313797,0.336181640625,-3.1727681666666663,1258.0
31,1831,8,15872,0.06974779069423676,0.0004092704424510632,0.9855648875236511,0.2,0.0002092123031616211,0.18635556427761912,0.020015623,-0.023687529770541005,480,-43.50775468349457,0.2510986328125,-3.1727681666666663,1258.0
32,1824,8,16384,-0.02733876369893551,0.0004092704424510632,0.986768364906311,0.2,0.04536759853363037,0.011582307401113212,0.022770014,-0.02702953093103133,496,-43.528746247291565,0.282470703125,-3.1638941538461536,1258.0
33,1818,9,16896,0.058579035103321075,0.0004092704424510632,0.9872859716415405,0.2,3.3974647521972656e-06,0.18464305065572262,0.02649521,-0.029257289395900443,512,-43.56315720081329,0.305419921875,-3.1638941538461536,1258.0
34,1811,9,17408,-0.03380417823791504,0.0004092704424510632,0.9860122799873352,0.2,0.000352323055267334,0.0029596670938190073,0.019905526,-0.023653798547456972,528,-43.549187660217285,0.24072265625,-3.1638941538461536,1258.0
35,1805,9,17920,-0.03796631097793579,0.0004092704424510632,0.9856792688369751,0.2,0.0004955530166625977,0.00420964733348228,0.025782194,-0.024226068140706047,544,-43.520132660865784,0.2579345703125,-3.1632106428571425,1258.0
36,1796,10,18432,0.06084529682993889,0.0004092704424510632,0.9843729734420776,0.2,0.00010985136032104492,0.19666112726554275,0.022058915,-0.02566314907016931,560,-43.50225055217743,0.255615234375,-3.1632106428571425,1258.0
37,1790,10,18944,-0.027299435809254646,0.0004092704424510632,0.9852928519248962,0.2,0.0006325244903564453,0.01483421103330329,0.01775011,-0.02377235338644823,576,-43.477834582328796,0.212158203125,-3.164133333333333,1258.0
38,1786,10,19456,0.05858488380908966,0.0004092704424510632,0.9854267239570618,0.2,9.489059448242188e-05,0.20261738589033484,0.018877843,-0.029600894427858293,592,-43.508816838264465,0.3048095703125,-3.164133333333333,1258.0
