time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
1,3961,0,512,,,,,,,,,,,,,
2,2493,0,1024,-0.04102381691336632,0.0004092704424510632,1.000314474105835,0.2,-0.7616435289382935,0.10556604016892379,0.022779882,-0.02930480206850916,16,-43.9929986000061,0.2685546875,,
3,2224,0,1536,-0.03619952127337456,0.0004092704424510632,0.9994844198226929,0.2,-0.009911417961120605,0.008406504653976299,0.027133502,-0.03083223494468257,32,-43.983786821365356,0.3255615234375,-3.284263,1258.0
4,2106,0,2048,-0.030346926301717758,0.0004092704424510632,0.9968811869621277,0.2,-8.630752563476562e-05,0.014326795295346528,0.014369931,-0.02302722206513863,48,-43.934393763542175,0.2215576171875,-3.284263,1258.0
5,2023,1,2560,-0.04013310372829437,0.0004092704424510632,0.9990070462226868,0.2,0.013984620571136475,0.009101541625568643,0.020533264,-0.029524471137847286,64,-43.90370976924896,0.3236083984375,-3.259892,1258.0
6,1933,1,3072,-0.016716796904802322,0.0004092704424510632,0.9997723698616028,0.2,0.004855751991271973,0.024518949969206005,0.019476967,-0.02488829570938833,80,-43.971922516822815,0.28662109375,-3.259892,1258.0
7,1874,1,3584,-0.02957232855260372,0.0004092704424510632,1.0015244483947754,0.2,-0.004900336265563965,0.008437852025963366,0.022477282,-0.025434161070734262,96,-43.99878811836243,0.271240234375,-3.259892,1258.0
8,1834,2,4096,-0.042981039732694626,0.0004092704424510632,1.000280737876892,0.2,0.011499583721160889,0.003054926190088736,0.017466215,-0.02533218258759007,112,-44.02121317386627,0.265380859375,-3.248072,1258.0
9,1803,2,4608,-0.022164802998304367,0.0004092704424510632,0.9997142553329468,0.2,0.0021983981132507324,0.04304533533286303,0.019282226,-0.028398667433066294,128,-43.977904319763184,0.3082275390625,-3.248072,1258.0
10,1778,2,5120,-0.036518774926662445,0.0004092704424510632,0.9990491271018982,0.2,0.020373106002807617,0.010234931047307327,0.019281186,-0.026047723076771945,144,-43.96325922012329,0.287841796875,-3.27046525,1258.0
11,1761,3,5632,-0.014395516365766525,0.0004092704424510632,0.9972792863845825,0.2,0.004357516765594482,0.05421948339790106,0.01668524,-0.024830886693962384,160,-43.92955529689789,0.243408203125,-3.27046525,1258.0
12,1743,3,6144,-0.03685279190540314,0.0004092704424510632,0.9967386722564697,0.2,0.2324168086051941,0.007946135636302643,0.037487365,-0.03098685857548844,176,-43.88111209869385,0.3668212890625,-3.27046525,1258.0
