time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
1,3991,0,512,,,,,,,,,,,,,
2,2460,0,1024,-0.037021979689598083,0.0004092704424510632,0.9988090991973877,0.2,-0.5016347169876099,0.20577150426106527,0.017650142,-0.031633783073630184,16,-43.96772873401642,0.2755126953125,,
3,2193,0,1536,-0.028557132929563522,0.0004092704424510632,1.000072956085205,0.2,0.001636505126953125,0.011904955725185573,0.028933998,-0.027361692424165085,32,-43.96264851093292,0.3309326171875,-3.453963,1258.0
4,2081,0,2048,-0.029578134417533875,0.0004092704424510632,1.0000851154327393,0.2,0.005020201206207275,0.016427464841399342,0.013783518,-0.025118691992247477,48,-43.99333691596985,0.262939453125,-3.453963,1258.0
5,2018,1,2560,-0.03193841502070427,0.0004092704424510632,1.0012961626052856,0.2,0.0012879371643066406,0.011192832374945283,0.019798113,-0.0280210800410714,64,-43.997472047805786,0.281005859375,-3.412533,1258.0
6,1973,1,3072,-0.03505273535847664,0.0004092704424510632,1.0009561777114868,0.2,0.005497276782989502,0.027198861469514668,0.023190837,-0.028441296075470746,80,-44.027468085289,0.3079833984375,-3.412533,1258.0
7,1939,1,3584,-0.026472387835383415,0.0004092704424510632,0.9998784065246582,0.2,0.0002938508987426758,0.012813637920771725,0.017900247,-0.025746136059751734,96,-43.99218702316284,0.2376708984375,-3.412533,1258.0
8,1915,2,4096,-0.029207199811935425,0.0004092704424510632,0.9988845586776733,0.2,0.018068969249725342,0.002228317935077939,0.015255765,-0.02791809957125224,112,-43.96222901344299,0.2469482421875,-3.3717346666666663,1258.0
9,1898,2,4608,-0.01683107763528824,0.0004092704424510632,1.0002621412277222,0.2,0.00540691614151001,0.04714420670643449,0.023872068,-0.030661796045023948,128,-43.96302556991577,0.3197021484375,-3.3717346666666663,1258.0
10,1885,2,5120,-0.03679797425866127,0.0004092704424510632,0.9997439384460449,0.2,0.15260064601898193,0.009247526730177924,0.025946064,-0.02683463580615353,144,-43.989527225494385,0.275146484375,-3.3660892499999995,1258.0
11,1867,3,5632,0.004921899177134037,0.0004092704424510632,0.9961317777633667,0.2,0.06311392784118652,0.05259500222746283,0.012900498,-0.017121908444096334,160,-43.91971945762634,0.176025390625,-3.3660892499999995,1258.0
12,1860,3,6144,-0.045435331761837006,0.0004092704424510632,0.9949963092803955,0.2,0.16238629817962646,0.0068396783753996715,0.02097769,-0.027251524064922705,176,-43.832401156425476,0.232421875,-3.3660892499999995,1258.0
13,1852,3,6656,-0.016214948147535324,0.0004092704424510632,0.9940394163131714,0.2,0.20560920238494873,0.0033884871554619167,0.016251812,-0.02197469279053621,192,-43.808573484420776,0.2061767578125,-3.3512633999999997,1258.0
14,1849,3,7168,-0.021787557750940323,0.0004092704424510632,0.9936177134513855,0.2,0.03893393278121948,0.066360670956783,0.033871427,-0.030469940946204588,208,-43.78031253814697,0.2955322265625,-3.3512633999999997,1258.0
15,1843,4,7680,-0.02074255608022213,0.0004092704424510632,0.9931588172912598,0.2,0.21014201641082764,0.011182005720911548,0.01451711,-0.020667056000092998,224,-43.77003240585327,0.173095703125,-3.3047036666666667,1258.0
16,1837,4,8192,-0.005508430302143097,0.0004092704424510632,0.9901162385940552,0.2,0.15151745080947876,0.07236080104485154,0.015380631,-0.02208446194708813,240,-43.719502568244934,0.1983642578125,-3.3047036666666667,1258.0
17,1835,4,8704,-0.032513439655303955,0.0004092704424510632,0.9905055165290833,0.2,0.09650266170501709,0.00772932983818464,0.021197233,-0.024514206692401785,256,-43.65939223766327,0.24072265625,-3.3047036666666667,1258.0
18,1832,5,9216,-0.04580853879451752,0.0004092704424510632,0.9911459684371948,0.2,0.2365766167640686,0.0037537129101110622,0.019710861,-0.03031949294381775,272,-43.69067454338074,0.259033203125,-3.312061857142857,1258.0
19,1830,5,9728,0.009249921888113022,0.0004092704424510632,0.9928449988365173,0.2,0.07033270597457886,0.08159530977718532,0.021538302,-0.02322204055963084,288,-43.71951365470886,0.1883544921875,-3.312061857142857,1258.0
20,1827,5,10240,-0.026723086833953857,0.0004092704424510632,0.9943070411682129,0.2,-0.686225414276123,0.008927963412133977,0.015673287,-0.02355740699567832,304,-43.76679456233978,0.1920166015625,-3.323479625,1258.0
21,1824,5,10752,0.015363432466983795,0.0004092704424510632,0.9926764965057373,0.2,0.08696216344833374,0.10905190673656762,0.022588644,-0.02562672035128344,320,-43.77160692214966,0.2742919921875,-3.323479625,1258.0
22,1823,6,11264,-0.03523440286517143,0.0004092704424510632,0.9930599331855774,0.2,-0.569687008857727,0.009438450360903516,0.022852814,-0.02702848447370343,336,-43.73097908496857,0.2354736328125,-3.323479625,1258.0
23,1821,6,11776,-0.029035167768597603,0.0004092704424510632,0.9929617047309875,0.2,-0.036525845527648926,0.005505385692231357,0.014799311,-0.020516816162853502,352,-43.75003492832184,0.1661376953125,-3.310577777777778,1258.0
24,1821,6,12288,0.004386249929666519,0.0004092704424510632,0.9937254786491394,0.2,0.053267836570739746,0.12013192172162235,0.026239764,-0.02662581071490422,368,-43.75642263889313,0.2374267578125,-3.310577777777778,1258.0
25,1820,7,12800,-0.0461372435092926,0.0004092704424510632,0.9947956204414368,0.2,-0.7758580446243286,0.02025691347080283,0.024268635,-0.030362387595232576,384,-43.78234803676605,0.27099609375,-3.2944816,1258.0
26,1818,7,13312,0.007400019094347954,0.0004092704424510632,0.99493807554245,0.2,0.17965686321258545,0.09381633112207055,0.022883289,-0.02321847177518066,400,-43.807186245918274,0.2823486328125,-3.2944816,1258.0
27,1816,7,13824,-0.023203400894999504,0.0004092704424510632,0.993910551071167,0.2,0.09442949295043945,0.01975429692538455,0.016934717,-0.025730786088388413,416,-43.79145050048828,0.2337646484375,-3.2944816,1258.0
28,1815,7,14336,-0.030305013060569763,0.0004092704424510632,0.9941765666007996,0.2,0.5340310335159302,0.013825519126839936,0.017636731,-0.025683084997581318,432,-43.77307212352753,0.2677001953125,-3.292015181818182,1258.0
29,1810,8,14848,-0.012866748496890068,0.0004092704424510632,0.9935147762298584,0.2,0.4655551314353943,0.04559483361663297,0.022026144,-0.022033163579180837,448,-43.77218735218048,0.2337646484375,-3.292015181818182,1258.0
30,1809,8,15360,-0.03070894069969654,0.0004092704424510632,0.991934061050415,0.2,-1.4301795959472656,0.015812457160791382,0.019445464,-0.025887096184305847,464,-43.73450970649719,0.2430419921875,-3.2916261666666666,1258.0
31,1808,8,15872,0.002688884735107422,0.0004092704424510632,0.9915143847465515,0.2,0.06160259246826172,0.11305467179045081,0.026104942,-0.02775642095366493,480,-43.69878959655762,0.3021240234375,-3.2916261666666666,1258.0
32,1807,9,16384,-0.03313281759619713,0.0004092704424510632,0.9919425845146179,0.2,-1.397085189819336,0.014435437449719757,0.018159721,-0.019793076688074507,496,-43.6994765996933,0.189208984375,-3.2742552307692305,1258.0
33,1807,9,16896,0.02884693443775177,0.0004092704424510632,0.9914489984512329,0.2,0.15236371755599976,0.12373069114983082,0.019640137,-0.024345022218767554,512,-43.70023202896118,0.1795654296875,-3.2742552307692305,1258.0
34,1805,9,17408,-0.0328354686498642,0.0004092704424510632,0.9925673604011536,0.2,-1.4848029613494873,0.005530482005269732,0.013343703,-0.023823932220693678,528,-43.696948409080505,0.203125,-3.2742552307692305,1258.0
35,1805,9,17920,-0.029937436804175377,0.0004092704424510632,0.9914151430130005,0.2,-0.016843795776367188,0.004039588224259205,0.022541782,-0.02533038819092326,544,-43.70845973491669,0.2587890625,-3.2892476428571427,1258.0
36,1804,10,18432,0.01750725507736206,0.0004092704424510632,0.9911173582077026,0.2,0.06588822603225708,0.1699168416671455,0.018588766,-0.02009967519552447,560,-43.679532527923584,0.15673828125,-3.2892476428571427,1258.0
37,1802,10,18944,-0.028640227392315865,0.0004092704424510632,0.9898709654808044,0.2,-1.0998663902282715,0.02340749467839487,0.017726896,-0.024399353453190997,576,-43.666980504989624,0.20263671875,-3.2844445333333336,1258.0
38,1801,10,19456,0.027296073734760284,0.0004092704424510632,0.9889018535614014,0.2,0.20318573713302612,0.1684008294250816,0.017051779,-0.020690070668933913,592,-43.62090492248535,0.132080078125,-3.2844445333333336,1258.0
39,1801,11,19968,-0.027393324300646782,0.0004092704424510632,0.9885320067405701,0.2,-1.819282054901123,0.009786653055925854,0.02247857,-0.02628343037213199,608,-43.60057735443115,0.2576904296875,-3.2844445333333336,1258.0
40,1800,11,20480,-0.043077535927295685,0.0004092704424510632,0.9882943630218506,0.2,-0.014159798622131348,0.0022330245901684975,0.015576629,-0.026085176970809698,624,-43.59585881233215,0.2286376953125,-3.2796128125,1258.0
41,1800,11,20992,0.027381297200918198,0.0004092704424510632,0.987694501876831,0.2,0.046387553215026855,0.2045633541420102,0.014450459,-0.015525812763371505,640,-43.580268144607544,0.1463623046875,-3.2796128125,1258.0
42,1799,11,21504,-0.03831275925040245,0.0004092704424510632,0.9883368611335754,0.2,-1.2646522521972656,0.021233932580798864,0.02909917,-0.03143709996220423,656,-43.57363247871399,0.2821044921875,-3.277714294117647,1258.0
43,1799,12,22016,0.055783674120903015,0.0004092704424510632,0.9888787865638733,0.2,0.27930665016174316,0.1848691194318235,0.020331189,-0.018367993412539363,672,-43.60300052165985,0.175537109375,-3.277714294117647,1258.0
44,1798,12,22528,-0.03461582213640213,0.0004092704424510632,0.9889378547668457,0.2,-1.5763661861419678,0.014323009643703699,0.02531723,-0.024962453593616374,688,-43.60960924625397,0.236572265625,-3.277714294117647,1258.0
45,1798,12,23040,-0.031773630529642105,0.0004092704424510632,0.9888192415237427,0.2,-0.12855780124664307,0.004114578157896176,0.014462719,-0.021887134935241193,704,-43.60923707485199,0.1749267578125,-3.275485222222222,1258.0
46,1798,13,23552,0.0575418695807457,0.0004092704424510632,0.9889523983001709,0.2,0.12408262491226196,0.2254199234303087,0.019311141,-0.022393051673134323,720,-43.60568046569824,0.1617431640625,-3.275485222222222,1258.0
