time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/std,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,3996,0,512,,,,,,,,,,,,,
2,1898,0,1024,0.0004092704424510632,0.08632101023249561,-0.03659596593934111,-1.5155820846557617,0.2,0.293212890625,16,0.015806546,-43.94392669200897,0.9974307417869568,-0.055972956120967865,,
3,1624,0,1536,0.0004092704424510632,0.008528299222234637,-0.027782424091128632,-0.01890397071838379,0.2,0.2899169921875,32,0.020747084,-43.89319348335266,0.9969252347946167,-0.038770679384469986,-3.167434,1258.0
4,1509,1,2048,0.0004092704424510632,0.07410578790586442,-0.02985746000194922,-0.0018315315246582031,0.2,0.32958984375,48,0.019097421,-43.86459219455719,0.9950119853019714,0.007338270545005798,-3.167434,1258.0
5,1454,1,2560,0.0004092704424510632,0.00972943304805085,-0.02222477829491254,0.005430817604064941,0.2,0.2181396484375,64,0.015002655,-43.83686172962189,0.9959878325462341,-0.035331059247255325,-3.1333715,1258.0
6,1414,2,3072,0.0004092704424510632,0.08621607907116413,-0.023140338889788836,0.0013332962989807129,0.2,0.266845703125,80,0.021419404,-43.88047242164612,0.9972483515739441,0.013064701110124588,-3.1333715,1258.0
7,1386,2,3584,0.0004092704424510632,0.007427459902828559,-0.028353245492326096,0.019589126110076904,0.2,0.3204345703125,96,0.025014367,-43.90824818611145,0.9979856610298157,-0.026961468160152435,-3.1333715,1258.0
8,1368,2,4096,0.0004092704424510632,0.00207575965396245,-0.029797099821735173,0.008210062980651855,0.2,0.2630615234375,112,0.015660707,-43.910096764564514,0.9965717196464539,-0.04399437457323074,-3.1974126666666667,1258.0
9,1354,3,4608,0.0004092704424510632,0.10903317015618086,-0.02483661685255356,0.000664830207824707,0.2,0.2474365234375,128,0.017031953,-43.843512415885925,0.9946366548538208,0.017398018389940262,-3.1974126666666667,1258.0
10,1344,3,5120,0.0004092704424510632,0.010211101121967658,-0.03188101781415753,0.020388305187225342,0.2,0.2586669921875,144,0.01986356,-43.793723344802856,0.9934314489364624,-0.03627390414476395,-3.192326,1258.0
11,1334,4,5632,0.0004092704424510632,0.12845525238662958,-0.02668452329817228,0.004163980484008789,0.2,0.253173828125,160,0.0181389,-43.750314235687256,0.9914177656173706,0.022812452167272568,-3.192326,1258.0
12,1327,4,6144,0.0004092704424510632,0.011110369552625343,-0.02683536132099107,0.05035048723220825,0.2,0.262939453125,176,0.022140205,-43.70679986476898,0.9915658235549927,-0.02693486027419567,-3.192326,1258.0
13,1322,5,6656,0.0004092704424510632,0.004636843455955386,-0.026488642703043297,0.004080235958099365,0.2,0.208984375,192,0.015466845,-43.726619601249695,0.992000937461853,-0.037308309227228165,-3.2134783999999996,1258.0
14,1316,5,7168,0.0004092704424510632,0.1538690128363669,-0.02844174244091846,0.001652836799621582,0.2,0.2572021484375,208,0.021841085,-43.71618700027466,0.9910961985588074,0.01647721603512764,-3.2134783999999996,1258.0
15,1310,5,7680,0.0004092704424510632,0.013250896299723536,-0.022040825220756233,0.1273323893547058,0.2,0.1898193359375,224,0.017362624,-43.66311073303223,0.98846036195755,-0.030097056180238724,-3.243875333333333,1258.0
16,1306,6,8192,0.0004092704424510632,0.14650402683764696,-0.024609282612800598,0.04202526807785034,0.2,0.2252197265625,240,0.019681428,-43.61699616909027,0.9888748526573181,0.06407000124454498,-3.243875333333333,1258.0
17,1302,6,8704,0.0004092704424510632,0.010341985456761904,-0.023033044999465346,0.15985864400863647,0.2,0.22216796875,256,0.020416183,-43.65029501914978,0.9905586242675781,-0.037464652210474014,-3.243875333333333,1258.0
18,1299,7,9216,0.0004092704424510632,0.004243424664309714,-0.021300350170349702,0.031262338161468506,0.2,0.203125,272,0.014988219,-43.71176517009735,0.9926126003265381,-0.035427335649728775,-3.2368549999999994,1258.0
19,1296,7,9728,0.0004092704424510632,0.12922950717620552,-0.021515051543246955,0.02394235134124756,0.2,0.2110595703125,288,0.020521637,-43.74090218544006,0.9922202229499817,0.00950077548623085,-3.2368549999999994,1258.0
20,1294,7,10240,0.0004092704424510632,0.012203732476336882,-0.028054669266566634,0.04683554172515869,0.2,0.267578125,304,0.027255077,-43.744470834732056,0.9931183457374573,-0.036720097064971924,-3.21455425,1258.0
21,1292,8,10752,0.0004092704424510632,0.11581811984069645,-0.0386101113690529,0.2659117579460144,0.2,0.30224609375,320,0.03877654,-43.7637996673584,0.9930701851844788,0.0033803731203079224,-3.21455425,1258.0
22,1290,8,11264,0.0004092704424510632,0.007533426978625357,-0.021804148389492184,-0.3123025894165039,0.2,0.2265625,336,0.017878756,-43.74690008163452,0.9924278855323792,-0.018140053376555443,-3.21455425,1258.0
23,1289,9,11776,0.0004092704424510632,0.004675490090448875,-0.021202973352046683,-0.15537810325622559,0.2,0.191650390625,352,0.014142314,-43.72786891460419,0.9921222925186157,-0.04309532418847084,-3.2173785555555554,1258.0
