time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/std,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,4080,0,512,,,,,,,,,,,,,
2,1848,0,1024,0.0004092704424510632,0.17445676596980775,-0.028414310712832958,-1.0463597774505615,0.2,0.2420654296875,16,0.018630479,-43.97685360908508,0.9991240501403809,-0.04119526222348213,,
3,1570,0,1536,0.0004092704424510632,0.01228894863743335,-0.03080522603704594,0.014863252639770508,0.2,0.3206787109375,32,0.0258533,-43.93532204627991,0.9974076151847839,-0.030511286109685898,-3.353998,1258.0
4,1460,1,2048,0.0004092704424510632,0.019159567542374134,-0.02521685924148187,-0.0029449462890625,0.2,0.2891845703125,48,0.01926868,-43.90585112571716,0.9978428483009338,-0.027945853769779205,-3.353998,1258.0
5,1400,1,2560,0.0004092704424510632,0.010819496688782237,-0.02618689532391727,0.002002537250518799,0.2,0.2772216796875,64,0.018289816,-43.914026379585266,0.9973424673080444,-0.029335033148527145,-3.2859914999999997,1258.0
6,1366,2,3072,0.0004092704424510632,0.007900311145931482,-0.021481829753611237,-0.006409883499145508,0.2,0.2127685546875,80,0.014042813,-43.91352164745331,0.9985942244529724,-0.029639676213264465,-3.2859914999999997,1258.0
7,1342,2,3584,0.0004092704424510632,0.012986759611521848,-0.024646687030326575,-0.0003514289855957031,0.2,0.2442626953125,96,0.01784712,-43.95742452144623,0.9998065233230591,-0.029989032074809074,-3.2859914999999997,1258.0
8,1325,3,4096,0.0004092704424510632,0.002484531116351718,-0.032726822479162365,0.007252097129821777,0.2,0.3037109375,112,0.021983698,-43.9692507982254,0.9990391135215759,-0.04197409376502037,-3.2989909999999996,1258.0
9,1310,3,4608,0.0004092704424510632,0.005845197927556001,-0.02604904722829815,-0.00041091442108154297,0.2,0.230224609375,128,0.016938064,-43.95311164855957,0.9995141625404358,-0.0398210845887661,-3.2989909999999996,1258.0
10,1297,3,5120,0.0004092704424510632,0.01236165122827515,-0.02000568101357203,0.00233536958694458,0.2,0.2469482421875,144,0.017399397,-43.969335079193115,0.9996501803398132,-0.030912037938833237,-3.2574695,1258.0
11,1285,4,5632,0.0004092704424510632,0.009090030085644685,-0.024498575017787516,0.0006358027458190918,0.2,0.2645263671875,160,0.015920956,-43.96666121482849,0.9997076988220215,-0.03600300848484039,-3.2574695,1258.0
12,1279,4,6144,0.0004092704424510632,0.011387105449102819,-0.024684312054887414,0.004897773265838623,0.2,0.2977294921875,176,0.0307354,-43.973586559295654,1.0000816583633423,-0.03867776319384575,-3.2574695,1258.0
13,1274,5,6656,0.0004092704424510632,0.003819751123955939,-0.027145360014401376,0.0003719329833984375,0.2,0.248779296875,192,0.014712067,-43.98374378681183,1.0006853342056274,-0.03672713041305542,-3.2852728,1258.0
14,1270,5,7168,0.0004092704424510632,0.01728921043104492,-0.03234679254819639,0.0025954842567443848,0.2,0.2994384765625,208,0.01589426,-44.0014271736145,1.0007178783416748,-0.04777487367391586,-3.2852728,1258.0
