time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/std,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,3861,0,512,,,,,,,,,,,,,
2,1857,0,1024,0.0004092704424510632,0.22688092958196648,-0.02463433737284504,-2.1289877891540527,0.2,0.2109375,16,0.014671575,-43.95088016986847,0.9976427555084229,-0.03647451475262642,,
3,1587,0,1536,0.0004092704424510632,0.010810109408339486,-0.031152074021520093,5.620718002319336e-05,0.2,0.3660888671875,32,0.03102227,-43.90179741382599,0.9973106980323792,-0.03557683154940605,-3.390204,1258.0
4,1474,1,2048,0.0004092704424510632,0.006638792910962366,-0.026078245864482597,0.012244760990142822,0.2,0.251708984375,48,0.017844971,-43.89411723613739,0.9967266321182251,-0.03314102813601494,-3.390204,1258.0
5,1423,1,2560,0.0004092704424510632,0.010663653869414702,-0.020927526231389493,0.01454460620880127,0.2,0.196533203125,64,0.014928697,-43.841227769851685,0.9937657713890076,-0.026785792782902718,-3.266216,1258.0
6,1387,2,3072,0.0004092704424510632,0.006757863564416766,-0.027704790147254243,0.004452884197235107,0.2,0.262451171875,80,0.016560491,-43.78115785121918,0.9935943484306335,-0.02126161940395832,-3.266216,1258.0
7,1361,2,3584,0.0004092704424510632,0.010507128929020837,-0.030925016471883282,0.00011539459228515625,0.2,0.3525390625,96,0.0270314,-43.7703572511673,0.9921706914901733,-0.027445795014500618,-3.266216,1258.0
8,1343,3,4096,0.0004092704424510632,0.002962843656860059,-0.029917574807768688,0.010633647441864014,0.2,0.3046875,112,0.018759532,-43.74003827571869,0.9931851029396057,-0.03636257350444794,-3.304347,1258.0
9,1331,3,4608,0.0004092704424510632,0.015141325275180861,-0.030359854456037283,0.005888640880584717,0.2,0.2642822265625,128,0.021330513,-43.80028688907623,0.995090126991272,-0.026855923235416412,-3.304347,1258.0
10,1321,3,5120,0.0004092704424510632,0.010892448524828069,-0.02548534216475673,0.01570206880569458,0.2,0.2503662109375,144,0.018715888,-43.85624957084656,0.9967142939567566,-0.035963475704193115,-3.30092075,1258.0
11,1313,4,5632,0.0004092704424510632,0.026418457564432174,-0.03399765050562564,0.00408095121383667,0.2,0.3167724609375,160,0.02356343,-43.89510154724121,0.9978068470954895,-0.012713554315268993,-3.30092075,1258.0
12,1307,4,6144,0.0004092704424510632,0.01056553922535386,-0.027648063871311024,0.019199371337890625,0.2,0.236083984375,176,0.01691392,-43.92606830596924,0.998849630355835,-0.03237108886241913,-3.30092075,1258.0
13,1303,5,6656,0.0004092704424510632,0.0036528225609799847,-0.026867696884437464,0.007446765899658203,0.2,0.2481689453125,192,0.017371768,-43.96066963672638,0.9999620318412781,-0.04487401619553566,-3.2997104,1258.0
14,1299,5,7168,0.0004092704424510632,0.04730223631486297,-0.02350693788321223,0.004999697208404541,0.2,0.2532958984375,208,0.02009251,-43.95854127407074,0.9985405206680298,-0.005054820328950882,-3.2997104,1258.0
15,1293,5,7680,0.0004092704424510632,0.010386329580796883,-0.024806647859804798,0.06072503328323364,0.2,0.2777099609375,224,0.020596884,-43.92260384559631,0.9987082481384277,-0.035269845277071,-3.298535166666667,1258.0
16,1290,6,8192,0.0004092704424510632,0.06110335816629231,-0.028893834525661077,0.011452853679656982,0.2,0.29443359375,240,0.020658892,-43.93151605129242,0.9982146620750427,-0.0005738288164138794,-3.298535166666667,1258.0
17,1287,6,8704,0.0004092704424510632,0.009105455086682923,-0.025846357108093798,0.07439470291137695,0.2,0.2847900390625,256,0.020805158,-43.939780950546265,1.0005271434783936,-0.03171669319272041,-3.298535166666667,1258.0
18,1284,7,9216,0.0004092704424510632,0.004541825772321317,-0.022245826403377578,0.008140146732330322,0.2,0.2181396484375,272,0.014905014,-44.0232367515564,1.0030030012130737,-0.024688847362995148,-3.296247285714286,1258.0
19,1279,7,9728,0.0004092704424510632,0.09089798503555357,-0.026011879701400176,0.0021987557411193848,0.2,0.259033203125,288,0.02046937,-44.068729877471924,1.0031226873397827,0.011435575783252716,-3.296247285714286,1258.0
20,1277,8,10240,0.0004092704424510632,0.011445875570643693,-0.024619788659038022,0.03091108798980713,0.2,0.2623291015625,304,0.026185859,-44.08822512626648,1.0053423643112183,-0.03792787343263626,-3.294240875,1258.0
21,1275,8,10752,0.0004092704424510632,0.10162848327308893,-0.02461299259448424,0.011989831924438477,0.2,0.2642822265625,320,0.02198586,-44.15426421165466,1.0061135292053223,0.02352832816541195,-3.294240875,1258.0
22,1274,8,11264,0.0004092704424510632,0.00841605631285347,-0.029723006911808625,0.17693138122558594,0.2,0.273681640625,336,0.025346037,-44.1618310213089,1.006508469581604,-0.03592114523053169,-3.294240875,1258.0
23,1272,9,11776,0.0004092704424510632,0.004427311432664283,-0.029961867403471842,-0.007295131683349609,0.2,0.2781982421875,352,0.019434955,-44.16940677165985,1.0060163736343384,-0.04137050732970238,-3.2691137777777777,1258.0
24,1271,9,12288,0.0004092704424510632,0.11909010517410934,-0.021571766847046092,0.010562598705291748,0.2,0.1951904296875,368,0.015141413,-44.15258824825287,1.0063121318817139,0.0189076978713274,-3.2691137777777777,1258.0
25,1269,10,12800,0.0004092704424510632,0.007860074707423337,-0.02149623712466564,-0.23491406440734863,0.2,0.224853515625,384,0.01746816,-44.16893184185028,1.006663203239441,-0.03087565116584301,-3.2636923,1258.0
26,1267,10,13312,0.0004092704424510632,0.09736938937567174,-0.02904740086523816,0.23602300882339478,0.2,0.25634765625,400,0.022053136,-44.16983366012573,1.0063518285751343,0.0025456175208091736,-3.2636923,1258.0
27,1266,10,13824,0.0004092704424510632,0.01883315879967995,-0.027862542250659317,0.0655927062034607,0.2,0.230224609375,416,0.018519875,-44.17567205429077,1.0078654289245605,-0.038325175642967224,-3.2636923,1258.0
