rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/critic_loss,time/fps
-4.88592725,-171.30943298339844,4927,4,157,5028,0.0008459126528049375,1257.0,0.018001072108745575,-123.88076782226562,0.8561921119689941,31
-3.7823432500000003,62.813106536865234,9955,8,329,10056,0.0008459126528049375,1257.0,0.0016339283902198076,-129.93955993652344,1.791146159172058,30
-3.1144419166666673,49.711273193359375,14983,12,502,15084,0.0008459126528049375,1257.0,0.001058915862813592,-136.7393035888672,2.028818130493164,30
-2.7803562499999996,6.4258646965026855,20011,16,660,20112,0.0008459126528049375,1257.0,0.0007528495625592768,-139.32420349121094,2.5862927436828613,30
-2.5487206999999996,24.70135498046875,25039,20,4,25140,0.0008459126528049375,1257.0,0.0010701915016397834,-142.27679443359375,3.9878032207489014,34
-2.404645875,39.131500244140625,30067,24,150,30168,0.0008459126528049375,1257.0,0.0006127465749159455,-145.37893676757812,3.1122543811798096,34
-2.2873562142857145,83.16036224365234,35095,28,297,35196,0.0008459126528049375,1257.0,0.0012289052829146385,-141.6978302001953,2.0894618034362793,34
-2.2133015937500002,123.203857421875,40123,32,446,40224,0.0008459126528049375,1257.0,0.0013695289380848408,-139.41770935058594,3.51655650138855,34
-2.1696263055555556,33.3119010925293,45151,36,596,45252,0.0008459126528049375,1257.0,0.002292503835633397,-116.5638656616211,27.21882438659668,33
-2.134309725,8.345926284790039,50179,40,8,50280,0.0008459126528049375,1257.0,0.0007135171326808631,-105.57829284667969,4.5328898429870605,33
-2.0771227500000005,4.0524582862854,55207,44,171,55308,0.0008459126528049375,1257.0,0.0011611973168328404,-104.37405395507812,0.8324437141418457,30
-2.0390889375000003,48.06827926635742,60235,48,326,60336,0.0008459126528049375,1257.0,0.0009824910666793585,-103.25362396240234,25.161937713623047,31
-1.9883766346153848,24.852128982543945,65263,52,472,65364,0.0008459126528049375,1257.0,0.0019617315847426653,-97.80622100830078,27.61248207092285,32
-1.9633188035714286,32.030208587646484,70291,56,619,70392,0.0008459126528049375,1257.0,0.0010062535293400288,-91.79146575927734,2.6201841831207275,32
-1.9541932833333333,91.40620422363281,75319,60,15,75420,0.0008459126528049375,1257.0,0.0007164320559240878,-74.20326232910156,49.08238983154297,26
-1.93664865625,14.854779243469238,80347,64,204,80448,0.0008459126528049375,1257.0,0.0005336212343536317,-70.90597534179688,4.227859973907471,26
-1.909682338235294,19.951801300048828,85375,68,396,85476,0.0008459126528049375,1257.0,0.0005461110849864781,-63.44728469848633,2.208787441253662,26
-1.888243583333333,7.393880367279053,90403,72,590,90504,0.0008459126528049375,1257.0,0.00022149330470710993,-58.077308654785156,0.8406869173049927,26
-1.8682299868421048,-3.7739975452423096,95431,76,782,95532,0.0008459126528049375,1257.0,0.0006000851863063872,-53.08604431152344,2.2160849571228027,26
