train/learning_rate,time/total_timesteps,train/critic_loss,time/fps,train/actor_loss,time/episodes,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,train/n_updates
0.0008459126528049375,5032,0.7608838081359863,32,-121.21063232421875,4,-173.1080780029297,-5.477998,0.017341600731015205,1258.0,155,4931
0.0008459126528049375,10064,4.283134460449219,31,-128.35516357421875,8,-23.389297485351562,-4.519122374999999,0.0013748615747317672,1258.0,314,9963
0.0008459126528049375,15096,3.565552234649658,31,-131.4783477783203,12,57.659584045410156,-3.883492333333333,0.0009779231622815132,1258.0,482,14995
0.0008459126528049375,20128,13.963438987731934,31,-134.77256774902344,16,1.499887228012085,-3.4372282500000004,0.0007268059998750687,1258.0,642,20027
0.0008459126528049375,25160,3.2097854614257812,31,-137.65480041503906,20,-55.456993103027344,-3.2355769000000003,0.0011657415889203548,1258.0,5,25059
0.0008459126528049375,30192,5.473172664642334,31,-140.4438018798828,24,-6.53756046295166,-3.1061962916666666,0.0007750357035547495,1258.0,165,30091
0.0008459126528049375,35224,3.733884572982788,31,-140.82777404785156,28,76.36228942871094,-2.9934356071428576,0.000704179226886481,1258.0,325,35123
0.0008459126528049375,40256,5.005378723144531,31,-139.2446746826172,32,-40.60383605957031,-2.9345514687499996,0.00035765007487498224,1258.0,486,40155
0.0008459126528049375,45288,8.077767372131348,31,-121.5350341796875,36,28.737194061279297,-2.9218236944444436,0.0013487586984410882,1258.0,646,45187
0.0008459126528049375,50320,5.794548034667969,31,-119.18062591552734,40,37.32344055175781,-2.887785175,0.00059787422651425,1258.0,10,50219
0.0008459126528049375,55352,3.661057472229004,31,-121.09684753417969,44,-40.258094787597656,-2.8257931590909084,0.001091203885152936,1258.0,169,55251
0.0008459126528049375,60384,4.9306488037109375,31,-117.511962890625,48,-61.952274322509766,-2.7984656041666667,0.0009296637144871056,1258.0,329,60283
0.0008459126528049375,65416,3.8663759231567383,31,-109.55709838867188,52,-11.359756469726562,-2.756896326923077,0.0008471645996905863,1258.0,489,65315
0.0008459126528049375,70448,19.390705108642578,31,-102.70403289794922,56,-47.1118278503418,-2.7341437500000003,0.000998547999188304,1258.0,653,70347
0.0008459126528049375,75480,63.01823806762695,30,-90.38462829589844,60,52.18088912963867,-2.715203933333334,0.0007940873620100319,1258.0,15,75379
0.0008459126528049375,80512,7.641823768615723,28,-76.70075988769531,64,13.59488296508789,-2.68007415625,0.001632023835554719,1258.0,190,80411
0.0008459126528049375,85544,2.4181323051452637,28,-68.66958618164062,68,27.916156768798828,-2.6765228970588235,0.000820501649286598,1258.0,365,85443
0.0008459126528049375,90576,1.3569025993347168,28,-64.11497497558594,72,27.22335433959961,-2.6782934444444444,0.0005278551834635437,1258.0,539,90475
0.0008459126528049375,95608,1.9906642436981201,28,-56.44158172607422,76,0.8001737594604492,-2.6525147368421056,0.0011272573610767722,1258.0,714,95507
