time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
1886,31232,61,16,960,-0.024345398909645155,0.12093896558508277,0.0004092704424510632,0.02257476,0.9847623705863953,0.2,0.24853515625,-43.462276458740234,0.02258133701980114,0.06660622358322144,1223.0,-2.2018624
1886,31744,62,16,976,-0.01842884367215447,0.026222779182717204,0.0004092704424510632,0.013368549,0.9821935892105103,0.2,0.1666259765625,-43.439560532569885,-0.020258113741874695,-0.1428159475326538,1223.0,-2.2018624
1886,32256,63,17,992,-0.028507846989668906,0.01961603871313855,0.0004092704424510632,0.017975401,0.9822985529899597,0.2,0.278076171875,-43.383073925971985,-0.03146602213382721,-0.4475489854812622,1223.0,-2.199789730769231
1888,32768,64,17,1008,-0.027232634311076254,0.11220342852175236,0.0004092704424510632,0.02989003,0.981586217880249,0.2,0.2872314453125,-43.38891351222992,-0.006020732223987579,0.24486815929412842,1223.0,-2.199789730769231
1888,33280,65,17,1024,-0.02998132538050413,0.009647733677411452,0.0004092704424510632,0.019724533,0.9838767647743225,0.2,0.2576904296875,-43.39216661453247,-0.04062489792704582,-2.7804431915283203,1223.0,-2.190303851851852
1887,33792,66,17,1040,-0.02581577081582509,0.1124258004128933,0.0004092704424510632,0.0223018,0.9842166304588318,0.2,0.2679443359375,-43.458070158958435,-0.011348001658916473,0.060011982917785645,1223.0,-2.190303851851852
1887,34304,67,18,1056,-0.02785677049541846,0.030879467085469514,0.0004092704424510632,0.019432532,0.983705461025238,0.2,0.25146484375,-43.44273138046265,-0.030946705490350723,-1.378803014755249,1223.0,-2.183395285714286
1887,34816,68,18,1072,-0.02037497532000998,0.13546728598885238,0.0004092704424510632,0.015009459,0.9855310916900635,0.2,0.172119140625,-43.453826785087585,0.02534230798482895,0.47939467430114746,1223.0,-2.183395285714286
1888,35328,69,18,1088,-0.027889100594620686,0.006112084985943511,0.0004092704424510632,0.021367565,0.9855233430862427,0.2,0.249267578125,-43.494439482688904,-0.0322645828127861,-0.9032385349273682,1223.0,-2.183395285714286
1887,35840,70,18,1104,-0.02477508691663388,0.003140668781270506,0.0004092704424510632,0.018073447,0.9841989278793335,0.2,0.2193603515625,-43.47183573246002,-0.030069855973124504,-0.47569143772125244,1223.0,-2.183421827586207
1886,36352,71,19,1120,-0.02031848399201408,0.11145387159194797,0.0004092704424510632,0.016492192,0.9826653599739075,0.2,0.2001953125,-43.42254960536957,0.009988568723201752,0.07623010873794556,1223.0,-2.183421827586207
1886,36864,72,19,1136,-0.03090850988519378,0.013952425724710338,0.0004092704424510632,0.022670474,0.9837191700935364,0.2,0.2535400390625,-43.40449786186218,-0.05599290505051613,-3.734227180480957,1223.0,-2.1830457
1887,37376,73,19,1152,-0.027602606831351295,0.118376036407426,0.0004092704424510632,0.023158792,0.9847347736358643,0.2,0.2509765625,-43.45562434196472,0.0031118467450141907,0.0617063045501709,1223.0,-2.1830457
