train/n_updates,train/ent_coef,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate
4931,0.017458846792578697,-122.30132293701172,23,-5.02865075,5032,210,-169.80020141601562,1.1458585262298584,1258.0,4,0.0008459126528049375
9963,0.0010078799678012729,-129.34678649902344,22,-3.871714,10064,438,-4.861778259277344,5.0270514488220215,1258.0,8,0.0008459126528049375
