train/n_updates,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/episodes,train/actor_loss,train/learning_rate,time/total_timesteps
4931,2.1654605865478516,-5.199141,0.01753176748752594,1258.0,53,93,-157.08917236328125,4,-124.08445739746094,0.0008459126528049375,5032
9963,5.372285842895508,-4.186171875,0.0012551998952403665,1258.0,53,189,-5.594870567321777,8,-129.90603637695312,0.0008459126528049375,10064
14995,5.025181770324707,-3.479222333333334,0.0012504970654845238,1258.0,52,284,-55.136192321777344,12,-134.89715576171875,0.0008459126528049375,15096
20027,6.907247543334961,-3.100109,0.0011294197756797075,1258.0,52,380,48.79987335205078,16,-139.49545288085938,0.0008459126528049375,20128
25059,6.529984474182129,-2.9246243,0.0006980255711823702,1258.0,49,3,61.95198059082031,20,-143.21139526367188,0.0008459126528049375,25160
30091,9.557777404785156,-2.785459916666667,0.0012677153572440147,1258.0,52,99,-32.84685134887695,24,-137.03318786621094,0.0008459126528049375,30192
35123,9.672239303588867,-2.714083357142857,0.0017595693934708834,1258.0,54,189,48.999732971191406,28,-120.343994140625,0.0008459126528049375,35224
40155,7.988039970397949,-2.6753966562500002,0.0008444293634966016,1258.0,54,280,-48.87939453125,32,-107.91324615478516,0.0008459126528049375,40256
45187,3.8056764602661133,-2.647673666666667,0.0009997033048421144,1258.0,54,372,-6.313450813293457,36,-94.26251220703125,0.0008459126528049375,45288
50219,5.537571907043457,-2.628307575,0.0006565143121406436,1258.0,60,5,83.32835388183594,40,-83.3735580444336,0.0008459126528049375,50320
55251,1.704919695854187,-2.5744678181818186,0.0004546995332930237,1258.0,55,96,-53.08456039428711,44,-79.82469940185547,0.0008459126528049375,55352
60283,10.180198669433594,-2.5218288333333336,0.0003554012509994209,1258.0,52,198,-94.26825714111328,48,-73.64666748046875,0.0008459126528049375,60384
65315,2.3855652809143066,-2.4787179807692308,0.0005904319696128368,1258.0,51,300,12.623861312866211,52,-65.00012969970703,0.0008459126528049375,65416
70347,4.284078121185303,-2.4510439642857142,0.0005078769754618406,1258.0,50,403,7.359776496887207,56,-56.583946228027344,0.0008459126528049375,70448
75379,3.403484582901001,-2.4339595833333334,0.0009213217417709529,1258.0,54,8,-15.168907165527344,60,-51.61174011230469,0.0008459126528049375,75480
80411,6.779543399810791,-2.4060540625,0.0006029591895639896,1258.0,53,103,13.222807884216309,64,-47.4178352355957,0.0008459126528049375,80512
85443,18.10647201538086,-2.38265175,0.0006901822052896023,1258.0,52,200,33.379615783691406,68,-40.53703308105469,0.0008459126528049375,85544
90475,19.596256256103516,-2.3823500555555555,0.0012373282806947827,1258.0,52,299,9.821529388427734,72,-28.853782653808594,0.0008459126528049375,90576
