time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
512,4172,0,1,,,,,,,,,,,,,
1024,2500,0,2,-0.03332993395451922,0.018211875,0.266845703125,0.0004092704424510632,0.2,-0.2511850595474243,-0.03237457200884819,0.11026539980230154,-44.00398564338684,16,1.001001000404358,,
1536,2235,0,3,-0.02453759683703538,0.021102024,0.26904296875,0.0004092704424510632,0.2,-0.02611374855041504,-0.03521023690700531,0.012343441660050303,-43.99079728126526,32,0.9986783266067505,1258.0,-3.365814
2048,2119,0,4,-0.03676777603686787,0.026461918,0.3125,0.0004092704424510632,0.2,0.00503849983215332,-0.03663957118988037,0.017125450482126325,-43.89785325527191,48,0.995509684085846,1258.0,-3.365814
2560,2058,1,5,-0.024272490496514365,0.017440062,0.2701416015625,0.0004092704424510632,0.2,0.04941558837890625,-0.030748294666409492,0.011614791612373665,-43.80032277107239,64,0.9927123785018921,1258.0,-3.29019
3072,2020,1,6,-0.023910086427349597,0.017277814,0.2867431640625,0.0004092704424510632,0.2,0.011165618896484375,-0.015885863453149796,0.027126826520543545,-43.717275619506836,80,0.9899525046348572,1258.0,-3.29019
3584,1991,1,7,-0.030959345313021913,0.025934456,0.3399658203125,0.0004092704424510632,0.2,0.041525304317474365,-0.0371800996363163,0.0060605787293752655,-43.67123544216156,96,0.9905657768249512,1258.0,-3.29019
4096,1975,2,8,-0.02533672387653496,0.016740011,0.2508544921875,0.0004092704424510632,0.2,0.00396120548248291,-0.046245623379945755,0.002133530506398529,-43.69430375099182,112,0.9908376336097717,1258.0,-3.2356203333333333
4608,1956,2,9,-0.02751237577467691,0.016630797,0.27783203125,0.0004092704424510632,0.2,0.005341172218322754,-0.021769460290670395,0.04525324213318527,-43.70786201953888,128,0.991427481174469,1258.0,-3.2356203333333333
5120,1943,2,10,-0.023968702094862238,0.01937392,0.2681884765625,0.0004092704424510632,0.2,0.09238654375076294,-0.02773630991578102,0.011035858653485775,-43.7201669216156,144,0.9922342896461487,1258.0,-3.229096
5632,1937,2,11,-0.02610952325630933,0.022885256,0.3197021484375,0.0004092704424510632,0.2,0.026849806308746338,0.001304876059293747,0.05457904073409736,-43.76237654685974,160,0.9939629435539246,1258.0,-3.229096
6144,1931,3,12,-0.021386278451245744,0.015378314,0.227294921875,0.0004092704424510632,0.2,0.2393505573272705,-0.025993410497903824,0.00858232103928458,-43.80025780200958,176,0.9947142601013184,1258.0,-3.229096
6656,1921,3,13,-0.02333224847097881,0.014509367,0.2122802734375,0.0004092704424510632,0.2,0.1168779730796814,-0.039353255182504654,0.0032642377736920025,-43.803865909576416,192,0.9941411018371582,1258.0,-3.2367196
7168,1915,3,14,-0.03392763462034054,0.018828642,0.2896728515625,0.0004092704424510632,0.2,0.0164107084274292,-0.02695615589618683,0.07115829444956034,-43.794371604919434,208,0.9946909546852112,1258.0,-3.2367196
7680,1909,4,15,-0.020724890113342553,0.016785413,0.2388916015625,0.0004092704424510632,0.2,0.19988524913787842,-0.029608765617012978,0.009363658056827262,-43.823251605033875,224,0.9956344366073608,1258.0,-3.237717
8192,1905,4,16,-0.02949083577550482,0.024294958,0.319580078125,0.0004092704424510632,0.2,0.08087778091430664,-0.01184428296983242,0.07380841195117682,-43.868940591812134,240,0.9977408647537231,1258.0,-3.237717
8704,1902,4,17,-0.027190823253476992,0.017865371,0.2552490234375,0.0004092704424510632,0.2,0.10497653484344482,-0.023580612614750862,0.009559999030898325,-43.949952483177185,256,1.0008690357208252,1258.0,-3.237717
9216,1899,4,18,-0.024530802213121206,0.016378036,0.2369384765625,0.0004092704424510632,0.2,0.33744746446609497,-0.04008118435740471,0.003447474002314266,-44.00961410999298,272,1.0009090900421143,1258.0,-3.246931142857143
9728,1894,5,19,-0.023927115718834102,0.021003408,0.248291015625,0.0004092704424510632,0.2,0.17991262674331665,-0.003879893571138382,0.06827350670937449,-43.98414123058319,288,1.0000451803207397,1258.0,-3.246931142857143
10240,1891,5,20,-0.030609444889705628,0.023495976,0.2855224609375,0.0004092704424510632,0.2,-0.8116365671157837,-0.04446057602763176,0.01005423633614555,-43.96800088882446,304,1.000364065170288,1258.0,-3.23185825
10752,1889,5,21,-0.02780714101390913,0.022399664,0.28955078125,0.0004092704424510632,0.2,0.25865358114242554,0.000804167240858078,0.08853153244126588,-43.9987576007843,320,1.0019673109054565,1258.0,-3.23185825
11264,1885,5,22,-0.020072797313332558,0.020803828,0.2098388671875,0.0004092704424510632,0.2,-0.01619434356689453,-0.014871947467327118,0.01169262285111472,-44.030717253685,336,1.0024688243865967,1258.0,-3.23185825
11776,1878,6,23,-0.024706211173906922,0.0168546,0.2447509765625,0.0004092704424510632,0.2,0.3968430161476135,-0.024484895169734955,0.005284970604407135,-44.03922760486603,352,1.0025303363800049,1258.0,-3.2222613333333334
12288,1877,6,24,-0.02236210842966102,0.023158684,0.2747802734375,0.0004092704424510632,0.2,0.23917418718338013,-0.009194223210215569,0.07527481042779982,-44.024229288101196,368,1.001622200012207,1258.0,-3.2222613333333334
12800,1875,6,25,-0.024571621368522756,0.015018254,0.2305908203125,0.0004092704424510632,0.2,-1.509530782699585,-0.034019261598587036,0.016764863161370158,-43.988547563552856,384,1.0001099109649658,1258.0,-3.2200952000000003
13312,1875,7,26,-0.031109934556297958,0.026931997,0.2884521484375,0.0004092704424510632,0.2,0.4264400601387024,-0.014856889843940735,0.09533048281446099,-43.9585577249527,400,1.0002446174621582,1258.0,-3.2200952000000003
13824,1875,7,27,-0.02337342996179359,0.025434505,0.2432861328125,0.0004092704424510632,0.2,0.3015182614326477,-0.013997241854667664,0.01669629497337155,-43.971912264823914,416,1.0003854036331177,1258.0,-3.2200952000000003
14336,1874,7,28,-0.02889906699419953,0.021559201,0.2999267578125,0.0004092704424510632,0.2,0.7734127044677734,-0.03355704993009567,0.015416166628710926,-43.95980763435364,432,0.999835193157196,1258.0,-3.231787272727273
14848,1870,7,29,-0.024801215826300904,0.03410094,0.2996826171875,0.0004092704424510632,0.2,0.7260762453079224,-0.018850835040211678,0.01796900000772439,-43.931798815727234,448,0.9987013936042786,1258.0,-3.231787272727273
15360,1868,8,30,-0.028893539230921306,0.02328106,0.2855224609375,0.0004092704424510632,0.2,-1.2413253784179688,-0.03581686690449715,0.014992226118920371,-43.89666271209717,464,0.9974878430366516,1258.0,-3.215012
15872,1866,8,31,-0.02422406172263436,0.022037491,0.26611328125,0.0004092704424510632,0.2,0.3908644914627075,-0.011922463774681091,0.06686130468733609,-43.865835666656494,480,0.9974243640899658,1258.0,-3.215012
16384,1865,8,32,-0.02169504648190923,0.013682982,0.2042236328125,0.0004092704424510632,0.2,-0.027768611907958984,-0.021391330286860466,0.011406436751713045,-43.86286389827728,496,0.9969419240951538,1258.0,-3.226343076923077
16896,1864,9,33,-0.025524013704853132,0.022775784,0.2213134765625,0.0004092704424510632,0.2,0.4928079843521118,-6.229057908058167e-05,0.07449643069412559,-43.87130618095398,512,0.9985670447349548,1258.0,-3.226343076923077
17408,1862,9,34,-0.022500427410705015,0.013234556,0.1971435546875,0.0004092704424510632,0.2,-1.2303218841552734,-0.033760830760002136,0.004489602062676568,-43.925532937049866,528,0.9995465874671936,1258.0,-3.226343076923077
17920,1861,9,35,-0.022924101154785603,0.016926426,0.2479248046875,0.0004092704424510632,0.2,-0.1435534954071045,-0.0323205403983593,0.003089268968324177,-43.96604871749878,544,1.001290202140808,1258.0,-3.2238993571428574
18432,1859,9,36,-0.01923604917828925,0.017610762,0.1868896484375,0.0004092704424510632,0.2,0.11584275960922241,0.01198527030646801,0.15711060957983136,-43.99883270263672,560,1.0010497570037842,1258.0,-3.2238993571428574
18944,1859,10,37,-0.023723964099190198,0.026005311,0.2642822265625,0.0004092704424510632,0.2,-0.20788943767547607,-0.02824786864221096,0.018895301240263507,-44.0119047164917,576,1.002995491027832,1258.0,-3.2166829333333333
19456,1860,10,38,-0.027771577500971034,0.024879899,0.2205810546875,0.0004092704424510632,0.2,0.5706619024276733,-0.003647077828645706,0.08678856084588915,-44.084089398384094,592,1.0052944421768188,1258.0,-3.2166829333333333
19968,1860,10,39,-0.020619089133106172,0.013425638,0.1878662109375,0.0004092704424510632,0.2,-0.9861668348312378,-0.023573387414216995,0.008415958101977594,-44.13138508796692,608,1.0054172277450562,1258.0,-3.2166829333333333
20480,1860,11,40,-0.02833270828705281,0.019596137,0.255859375,0.0004092704424510632,0.2,-0.5616565942764282,-0.03864279389381409,0.0036393774244061206,-44.109039306640625,624,1.00429105758667,1258.0,-3.2280117500000003
20992,1858,11,41,-0.02445473502302775,0.02183363,0.1907958984375,0.0004092704424510632,0.2,0.16291594505310059,-0.022699404507875443,0.1244466295465827,-44.08818769454956,640,1.0047210454940796,1258.0,-3.2280117500000003
21504,1857,11,42,-0.022802444960689172,0.023139253,0.2574462890625,0.0004092704424510632,0.2,-0.5721763372421265,-0.016648782417178154,0.016357956745196134,-44.10438525676727,656,1.004606008529663,1258.0,-3.2365905882352943
22016,1857,11,43,-0.017983840676606633,0.018553741,0.133056640625,0.0004092704424510632,0.2,0.4444631338119507,0.010240688920021057,0.12386571115348488,-44.100144267082214,672,1.0047309398651123,1258.0,-3.2365905882352943
22528,1858,12,44,-0.026496836893784348,0.019172449,0.248779296875,0.0004092704424510632,0.2,-0.41661369800567627,-0.03990141674876213,0.01129868920543231,-44.113120675086975,688,1.005609154701233,1258.0,-3.2365905882352943
23040,1857,12,45,-0.02656718619982712,0.021951184,0.267822265625,0.0004092704424510632,0.2,-0.009321212768554688,-0.02941751852631569,0.005169578500499483,-44.159879088401794,704,1.0078775882720947,1258.0,-3.233000777777778
23552,1856,12,46,-0.021773991393274628,0.01956011,0.154296875,0.0004092704424510632,0.2,0.3207445740699768,0.027669757604599,0.16946543101221323,-44.21090793609619,720,1.0082985162734985,1258.0,-3.233000777777778
24064,1857,12,47,-0.029943227615149226,0.026419498,0.2646484375,0.0004092704424510632,0.2,-1.540039300918579,-0.02593037113547325,0.03138955088797957,-44.21757996082306,736,1.0086950063705444,1258.0,-3.2383390526315794
