time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
512,4018,0,1,,,,,,,,,,,,,
1024,2423,0,2,-0.026551718212431297,0.012970035,0.2171630859375,0.0004092704424510632,0.2,-0.14492106437683105,-0.03832082822918892,0.18908546160673723,-43.98634850978851,16,0.9996501207351685,,
1536,2139,0,3,-0.030979646486230195,0.02903337,0.3406982421875,0.0004092704424510632,0.2,-0.010814428329467773,-0.03640324994921684,0.008025819945032708,-43.97888910770416,32,1.000032901763916,1258.0,-2.952748
2048,2019,1,4,-0.032480846653925255,0.01651571,0.2777099609375,0.0004092704424510632,0.2,0.0011150836944580078,-0.03938542306423187,0.006359878592775203,-44.00244104862213,48,1.0013298988342285,1258.0,-2.952748
2560,1985,1,5,-0.025451719906413928,0.02291894,0.311279296875,0.0004092704424510632,0.2,0.01100844144821167,-0.03476661443710327,0.009111736522754654,-44.041743516922,64,1.0023412704467773,1258.0,-3.0500610000000004
3072,1936,1,6,-0.03300162963569164,0.020281311,0.3245849609375,0.0004092704424510632,0.2,0.0039754509925842285,-0.036765433847904205,0.011506635783007368,-44.03374719619751,80,1.000496745109558,1258.0,-3.0500610000000004
3584,1919,1,7,-0.025576112238923088,0.019309651,0.2896728515625,0.0004092704424510632,0.2,-0.0027409791946411133,-0.037664663046598434,0.012773996102623641,-43.996837735176086,96,1.0009688138961792,1258.0,-3.0500610000000004
4096,1901,2,8,-0.02747327764518559,0.018652288,0.2996826171875,0.0004092704424510632,0.2,0.027331411838531494,-0.021114762872457504,0.002687324653379619,-44.01272487640381,112,1.0007693767547607,1258.0,-3.1958940000000005
4608,1890,2,9,-0.024826224966091104,0.016651005,0.256103515625,0.0004092704424510632,0.2,-0.0014195442199707031,-0.027275895699858665,0.03104580019135028,-43.97902762889862,128,0.9987406730651855,1258.0,-3.1958940000000005
5120,1873,2,10,-0.03314049215987325,0.020076938,0.3101806640625,0.0004092704424510632,0.2,0.019628047943115234,-0.04590662568807602,0.010114643911947496,-43.94689702987671,144,0.9999478459358215,1258.0,-3.1889420000000004
5632,1864,3,11,-0.025408944915398024,0.019914776,0.2730712890625,0.0004092704424510632,0.2,0.011575818061828613,-0.012617446482181549,0.04211151087656617,-43.988560914993286,160,1.0002251863479614,1258.0,-3.1889420000000004
6144,1857,3,12,-0.03100812088814564,0.02746439,0.3311767578125,0.0004092704424510632,0.2,0.054785966873168945,-0.03378406912088394,0.00988260650774464,-43.976696848869324,176,0.9996724128723145,1258.0,-3.1889420000000004
6656,1853,3,13,-0.029420353217574302,0.019019514,0.303955078125,0.0004092704424510632,0.2,0.023639976978302002,-0.043233271688222885,0.0031979383784346282,-43.958951234817505,192,0.9987941384315491,1258.0,-3.1426506000000005
7168,1846,3,14,-0.03528252587420866,0.024052724,0.315673828125,0.0004092704424510632,0.2,-0.0010012388229370117,-0.026242747902870178,0.06140802358277142,-43.92360496520996,208,0.9973196387290955,1258.0,-3.1426506000000005
7680,1838,4,15,-0.028900521516334265,0.023261148,0.2911376953125,0.0004092704424510632,0.2,0.11751770973205566,-0.023641277104616165,0.011473876365926117,-43.867321729660034,224,0.9954072833061218,1258.0,-3.1738853333333332
8192,1830,4,16,-0.027150085079483688,0.022446811,0.2816162109375,0.0004092704424510632,0.2,0.0022197365760803223,-0.016829632222652435,0.07120483065955341,-43.84424376487732,240,0.9963531494140625,1258.0,-3.1738853333333332
8704,1823,4,17,-0.023858860251493752,0.02012819,0.2381591796875,0.0004092704424510632,0.2,0.08285003900527954,-0.028613001108169556,0.010009583318606019,-43.89516365528107,256,0.9986901879310608,1258.0,-3.1738853333333332
9216,1817,5,18,-0.026698396424762905,0.017260674,0.255859375,0.0004092704424510632,0.2,0.042724668979644775,-0.04329470917582512,0.0048788848289405,-43.94789266586304,272,0.9989966154098511,1258.0,-3.1813318571428573
9728,1813,5,19,-0.018848988751415163,0.022544403,0.2254638671875,0.0004092704424510632,0.2,0.005989968776702881,0.01884762942790985,0.09246698790229857,-43.9317706823349,288,0.9981101155281067,1258.0,-3.1813318571428573
10240,1811,5,20,-0.02717483090236783,0.029365301,0.2874755859375,0.0004092704424510632,0.2,0.11186051368713379,-0.029128285124897957,0.007450139062711969,-43.931923389434814,304,0.9994893074035645,1258.0,-3.1992671250000004
10752,1808,5,21,-0.026996953340130858,0.021498714,0.2947998046875,0.0004092704424510632,0.2,0.07073068618774414,-0.014108657836914062,0.08337124227546155,-43.94419479370117,320,0.9978476166725159,1258.0,-3.1992671250000004
11264,1807,6,22,-0.024440118919301312,0.01987348,0.26171875,0.0004092704424510632,0.2,0.21333861351013184,-0.02317366749048233,0.011567656198167242,-43.89781069755554,336,0.9977185130119324,1258.0,-3.1992671250000004
