time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
512,3949,0,1,,,,,,,,,,,,,
1024,2202,0,2,-0.029749099863693118,0.021093616,0.2564697265625,0.0004092704424510632,0.2,-3.2293930053710938,-0.04214566946029663,0.18353154807846295,-44.01148009300232,16,1.0013434886932373,,
1536,1955,0,3,-0.026651189022231847,0.028236384,0.3182373046875,0.0004092704424510632,0.2,-0.006866812705993652,-0.03426699340343475,0.011638334835879505,-44.06010448932648,32,1.0039093494415283,1258.0,-3.31326
2048,1871,1,4,-0.027070156182162464,0.01917604,0.27490234375,0.0004092704424510632,0.2,0.00663071870803833,-0.023941006511449814,0.008791917614871636,-44.11587691307068,48,1.0039552450180054,1258.0,-3.31326
2560,1823,1,5,-0.02386622564517893,0.020757198,0.263671875,0.0004092704424510632,0.2,-0.0015281438827514648,-0.030278492718935013,0.012496214738348499,-44.07624900341034,64,1.0020747184753418,1258.0,-3.1934690000000003
3072,1795,1,6,-0.027034867147449404,0.01758314,0.267578125,0.0004092704424510632,0.2,0.008392035961151123,-0.03644806519150734,0.0053777242137584835,-44.04528045654297,80,1.0019018650054932,1258.0,-3.1934690000000003
3584,1775,2,7,-0.030920392862753943,0.02470669,0.3541259765625,0.0004092704424510632,0.2,0.0008428692817687988,-0.03728695586323738,0.00853131512121763,-44.04062509536743,96,1.001807451248169,1258.0,-3.1934690000000003
4096,1757,2,8,-0.031576602574205026,0.016827736,0.2838134765625,0.0004092704424510632,0.2,0.006414532661437988,-0.0442906953394413,0.0020733412929985207,-44.05163252353668,112,1.002760410308838,1258.0,-3.225723666666667
4608,1745,2,9,-0.031162897241301835,0.018048666,0.281982421875,0.0004092704424510632,0.2,0.0013256669044494629,-0.028914321213960648,0.00613176439946983,-44.04775142669678,128,1.0008153915405273,1258.0,-3.225723666666667
5120,1730,2,10,-0.019531893289240543,0.01507216,0.2235107421875,0.0004092704424510632,0.2,-0.00019621849060058594,-0.02881265990436077,0.011166029231389984,-43.99498414993286,144,1.000474452972412,1258.0,-3.2031630000000004
5632,1721,3,11,-0.022761943793739192,0.017494176,0.2615966796875,0.0004092704424510632,0.2,0.0024780631065368652,-0.02019529417157173,0.013556038815295324,-43.97337591648102,160,0.9984728693962097,1258.0,-3.2031630000000004
6144,1714,3,12,-0.02713152446085587,0.022717793,0.2830810546875,0.0004092704424510632,0.2,0.0017151832580566406,-0.031455665826797485,0.009511745112831704,-43.92730951309204,176,0.998602569103241,1258.0,-3.2031630000000004
6656,1704,3,13,-0.02562397878500633,0.01457536,0.2491455078125,0.0004092704424510632,0.2,0.0097808837890625,-0.02860286459326744,0.002791046616039239,-43.943206667900085,192,0.9991410970687866,1258.0,-3.2038954000000004
7168,1697,4,14,-0.03000660054385662,0.018550243,0.2926025390625,0.0004092704424510632,0.2,0.0015729665756225586,-0.02921898290514946,0.026546053879428655,-43.92970263957977,208,0.997361958026886,1258.0,-3.2038954000000004
7680,1692,4,15,-0.02133663254790008,0.014482554,0.221923828125,0.0004092704424510632,0.2,0.004586219787597656,-0.020848920568823814,0.010957250589854084,-43.87390446662903,224,0.9961998462677002,1258.0,-3.186001166666667
8192,1687,4,16,-0.027541665825992823,0.027380379,0.314453125,0.0004092704424510632,0.2,0.0024549365043640137,-0.015204193070530891,0.03800104570109397,-43.81915760040283,240,0.9937333464622498,1258.0,-3.186001166666667
8704,1683,5,17,-0.029527895705541596,0.017407026,0.2822265625,0.0004092704424510632,0.2,0.042923688888549805,-0.03198233246803284,0.01293963668285869,-43.74981355667114,256,0.9917057752609253,1258.0,-3.186001166666667
9216,1679,5,18,-0.01979142452182714,0.014820289,0.176025390625,0.0004092704424510632,0.2,0.005147814750671387,-0.01616727001965046,0.0044479971038526855,-43.67775356769562,272,0.9895259141921997,1258.0,-3.1993392857142857
9728,1676,5,19,-0.026721879039541818,0.0207896,0.246337890625,0.0004092704424510632,0.2,0.0031921863555908203,-0.01285773515701294,0.06061870080884546,-43.62929427623749,288,0.9881272315979004,1258.0,-3.1993392857142857
10240,1672,6,20,-0.030448602163232863,0.03606441,0.3016357421875,0.0004092704424510632,0.2,0.10211688280105591,-0.02939770556986332,0.009178175023407675,-43.602023005485535,304,0.9886099696159363,1258.0,-3.171560375
10752,1670,6,21,-0.0299310649279505,0.030905506,0.2991943359375,0.0004092704424510632,0.2,0.03336089849472046,-0.012239914387464523,0.06605529098305851,-43.6031539440155,320,0.9878722429275513,1258.0,-3.171560375
11264,1668,6,22,-0.023898499697679654,0.019425303,0.234375,0.0004092704424510632,0.2,0.007144808769226074,-0.03614203631877899,0.01021821133326739,-43.59507977962494,336,0.988331139087677,1258.0,-3.171560375
11776,1665,7,23,-0.024124225266859867,0.016278984,0.218994140625,0.0004092704424510632,0.2,0.00937342643737793,-0.03542965278029442,0.003227650024200557,-43.61449861526489,352,0.9888591766357422,1258.0,-3.1631397777777774
12288,1664,7,24,-0.025330684118671343,0.02256644,0.260986328125,0.0004092704424510632,0.2,0.015302956104278564,-0.02016937918961048,0.0767539351945743,-43.632444620132446,368,0.9893853068351746,1258.0,-3.1631397777777774
12800,1662,7,25,-0.029415450961096212,0.026418315,0.2646484375,0.0004092704424510632,0.2,0.14848709106445312,-0.04083550348877907,0.014525215810863301,-43.63844585418701,384,0.9893738031387329,1258.0,-3.1858687
13312,1659,8,26,-0.02704740375338588,0.025201334,0.273193359375,0.0004092704424510632,0.2,0.3284260034561157,-0.024272270500659943,0.05106972361681983,-43.6362681388855,400,0.9891901612281799,1258.0,-3.1858687
13824,1657,8,27,-0.023308802454266697,0.018226653,0.2353515625,0.0004092704424510632,0.2,0.24520212411880493,-0.01626238226890564,0.019172459171386436,-43.65015637874603,416,0.9906079173088074,1258.0,-3.1858687
14336,1648,8,28,-0.02580230764579028,0.026476707,0.22705078125,0.0004092704424510632,0.2,0.6724713444709778,-0.03221510723233223,0.011176186293596402,-43.68162131309509,432,0.9906609058380127,1258.0,-3.214591181818182
14848,1640,9,29,-0.023699731289525516,0.03345228,0.2652587890625,0.0004092704424510632,0.2,0.5349485874176025,-0.027191512286663055,0.02486724901245907,-43.68436098098755,448,0.9915086030960083,1258.0,-3.214591181818182
15360,1643,9,30,-0.027328771277097985,0.017164197,0.2408447265625,0.0004092704424510632,0.2,-0.22064530849456787,-0.03045804798603058,0.018045698147034273,-43.709141969680786,464,0.9919207096099854,1258.0,-3.2130973333333337
15872,1643,9,31,-0.022141652938444167,0.0149628725,0.2115478515625,0.0004092704424510632,0.2,0.6439716815948486,-0.01648777537047863,0.043851756490767,-43.711854696273804,480,0.9918735027313232,1258.0,-3.2130973333333337
16384,1642,9,32,-0.025951438496122137,0.021061001,0.2269287109375,0.0004092704424510632,0.2,-0.13101482391357422,-0.02648218348622322,0.02387882285984233,-43.72940146923065,496,0.9934713244438171,1258.0,-3.222885
16896,1641,10,33,-0.021537558510317467,0.015706018,0.207275390625,0.0004092704424510632,0.2,0.4911435842514038,-0.013621043413877487,0.0633391086012125,-43.74948811531067,512,0.9921620488166809,1258.0,-3.222885
17408,1641,10,34,-0.026209681993350387,0.016103119,0.239013671875,0.0004092704424510632,0.2,-1.8451545238494873,-0.02986893244087696,0.0025011462639668025,-43.681572914123535,528,0.9896861910820007,1258.0,-3.222885
17920,1641,10,35,-0.027966202062088996,0.023245856,0.26123046875,0.0004092704424510632,0.2,-0.048105478286743164,-0.037328869104385376,0.0038635376695310697,-43.626078724861145,544,0.989335298538208,1258.0,-3.2109657142857144
