time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/std,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,3878,,,,,,,,,,,,,
0,1024,2,2603,-43.989484667778015,0.014909364,0.2,1.0001819133758545,16,0.16747168855727068,-0.034061919897794724,0.0004092704424510632,0.218505859375,-0.022561778110684827,-2.5216562747955322,,
0,1536,3,2342,-43.98310613632202,0.024376497,0.2,0.9996381998062134,32,0.003720214903296437,-0.03754919394850731,0.0004092704424510632,0.313232421875,-0.03701239824295044,-0.006868124008178711,-2.015302,1258.0
0,2048,4,2156,-43.96902000904083,0.021917384,0.2,0.9995468854904175,48,0.0071762637089705095,-0.026825446635484695,0.0004092704424510632,0.3043212890625,-0.02543722053815145,-0.0015878677368164062,-2.015302,1258.0
1,2560,5,2056,-43.94987165927887,0.015838528,0.2,0.997918426990509,64,0.0021100043177284533,-0.037464115768671036,0.0004092704424510632,0.2711181640625,-0.0299656568095088,-0.00048279762268066406,-2.088785,1258.0
1,3072,6,2011,-43.90279543399811,0.01780466,0.2,0.9970094561576843,80,0.004096990611287765,-0.03905102238059044,0.0004092704424510632,0.2811279296875,-0.026199761632597074,0.007805824279785156,-2.088785,1258.0
1,3584,7,1977,-43.87256300449371,0.019785754,0.2,0.9957619905471802,96,0.0022718048021488357,-0.029284613206982613,0.0004092704424510632,0.291259765625,-0.02625352784525603,0.00275421142578125,-2.088785,1258.0
2,4096,8,1959,-43.85038375854492,0.015013231,0.2,0.995939314365387,112,0.0038651757495244965,-0.02763432078063488,0.0004092704424510632,0.2294921875,-0.024980129557661712,0.005210399627685547,-2.0948396666666667,1258.0
2,4608,9,1934,-43.85943949222565,0.016337585,0.2,0.9962171316146851,128,0.0019271682358521502,-0.029380764812231064,0.0004092704424510632,0.2518310546875,-0.023152590685640462,-0.0011811256408691406,-2.0948396666666667,1258.0
2,5120,10,1913,-43.87811028957367,0.021125648,0.2,0.9972671866416931,144,0.004630284587619826,-0.051981523633003235,0.0004092704424510632,0.336669921875,-0.03745806583901867,0.0022407174110412598,-2.102916,1258.0
2,5632,11,1893,-43.862900257110596,0.019197762,0.2,0.9943205714225769,160,0.0038823349023004994,-0.038642968982458115,0.0004092704424510632,0.2830810546875,-0.02769809402525425,-3.0875205993652344e-05,-2.102916,1258.0
3,6144,12,1869,-43.75911271572113,0.016502218,0.2,0.9919918179512024,176,0.0021896903781453148,-0.04003375396132469,0.0004092704424510632,0.275390625,-0.029495058552129194,-0.0035293102264404297,-2.102916,1258.0
3,6656,13,1851,-43.72880661487579,0.028244745,0.2,0.9920697212219238,192,0.003384714320418425,-0.03203951194882393,0.0004092704424510632,0.3311767578125,-0.030957182229030877,0.01927638053894043,-2.0888102,1258.0
3,7168,14,1837,-43.71641170978546,0.017072763,0.2,0.9908146262168884,208,0.010295108470018022,-0.03776172548532486,0.0004092704424510632,0.25146484375,-0.027167579770321026,0.0084037184715271,-2.0888102,1258.0
4,7680,15,1822,-43.71447312831879,0.019845847,0.2,0.9927409887313843,224,0.00445871235569939,-0.026247834786772728,0.0004092704424510632,0.2474365234375,-0.024600401520729065,0.05177772045135498,-2.086844166666667,1258.0
4,8192,16,1813,-43.74003720283508,0.023126168,0.2,0.9911644458770752,240,0.013510761316865683,-0.025945406407117844,0.0004092704424510632,0.29248046875,-0.02389095412218012,0.0029730796813964844,-2.086844166666667,1258.0
4,8704,17,1809,-43.68863081932068,0.013692445,0.2,0.9906823039054871,256,0.002123889349604724,-0.024412453174591064,0.0004092704424510632,0.2119140625,-0.023995794836082496,-0.04424333572387695,-2.086844166666667,1258.0
5,9216,18,1802,-43.68643546104431,0.019887203,0.2,0.9903053045272827,272,0.004946496635966469,-0.03162885084748268,0.0004092704424510632,0.277099609375,-0.03085281277890317,0.0014467835426330566,-2.103465,1258.0
5,9728,19,1798,-43.65266537666321,0.024304654,0.2,0.9886553287506104,288,0.023730604036245495,-0.036887869238853455,0.0004092704424510632,0.26416015625,-0.027041993336752057,0.0021178126335144043,-2.103465,1258.0
5,10240,20,1792,-43.61539101600647,0.022759624,0.2,0.9888662099838257,304,0.005070287399576046,-0.03180240839719772,0.0004092704424510632,0.2445068359375,-0.024700664362171665,0.004795432090759277,-2.117998125,1258.0
6,10752,21,1790,-43.617199778556824,0.025991708,0.2,0.9879906177520752,320,0.02416808530688286,-0.026956815272569656,0.0004092704424510632,0.3016357421875,-0.03017847496084869,0.005976080894470215,-2.117998125,1258.0
6,11264,22,1786,-43.586766481399536,0.0113204885,0.2,0.9872831106185913,336,0.0025527245707053225,-0.032096732407808304,0.0004092704424510632,0.15673828125,-0.01871105164173059,-0.08343350887298584,-2.117998125,1258.0
6,11776,23,1783,-43.58473312854767,0.02283177,0.2,0.9885180592536926,352,0.0032898458521231078,-0.03251783922314644,0.0004092704424510632,0.2845458984375,-0.02961622894508764,0.014619827270507812,-2.124483,1258.0
6,12288,24,1778,-43.62636208534241,0.020279959,0.2,0.9891788959503174,368,0.03767349454574287,-0.025575563311576843,0.0004092704424510632,0.2548828125,-0.02443916638731025,0.005954623222351074,-2.124483,1258.0
