time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/std,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,3685,,,,,,,,,,,,,
0,1024,2,2191,-43.9468013048172,0.01760062,0.2,0.9972015023231506,16,0.14668670163518982,-0.030309543013572693,0.0004092704424510632,0.241455078125,-0.028879324381705374,-0.26539599895477295,,
0,1536,3,1958,-43.87972104549408,0.014768165,0.2,0.996304452419281,32,0.003400380148377735,-0.03750175982713699,0.0004092704424510632,0.2164306640625,-0.02470683620776981,0.07444554567337036,-2.172522,1258.0
1,2048,4,1845,-43.86206257343292,0.024166506,0.2,0.9957398176193237,48,0.03175857977475971,-0.025363724678754807,0.0004092704424510632,0.3621826171875,-0.03577140677953139,0.035978853702545166,-2.172522,1258.0
1,2560,5,1784,-43.85554909706116,0.017705943,0.2,0.99639892578125,64,0.0024466687100357376,-0.029381565749645233,0.0004092704424510632,0.253173828125,-0.026230279152514413,-0.14161205291748047,-2.1372115,1258.0
1,3072,6,1741,-43.887364864349365,0.025516564,0.2,0.9975249767303467,80,0.03576412086840719,-0.019842609763145447,0.0004092704424510632,0.293701171875,-0.02571596100460738,0.046368181705474854,-2.1372115,1258.0
2,3584,7,1714,-43.89073717594147,0.017093489,0.2,0.9958938956260681,96,0.0028523204109660583,-0.039953652769327164,0.0004092704424510632,0.2625732421875,-0.02709382795728743,-0.847632646560669,-2.1372115,1258.0
2,4096,8,1692,-43.831074476242065,0.016559405,0.2,0.9948897957801819,112,0.0030990482846391387,-0.0331573523581028,0.0004092704424510632,0.245361328125,-0.025337306102301227,0.19481658935546875,-2.084457,1258.0
2,4608,9,1674,-43.81840789318085,0.019248882,0.2,0.9946488738059998,128,0.040322979853954166,-0.025712942704558372,0.0004092704424510632,0.2860107421875,-0.03143007244216278,0.10966461896896362,-2.084457,1258.0
3,5120,10,1661,-43.79966366291046,0.017643215,0.2,0.9937223196029663,144,0.0031325596737588057,-0.037299640476703644,0.0004092704424510632,0.2791748046875,-0.028897034702822566,-0.46339547634124756,-2.07495275,1258.0
3,5632,11,1650,-43.76735246181488,0.014877451,0.2,0.9926248788833618,160,0.03514957713196054,-0.006968401372432709,0.0004092704424510632,0.239501953125,-0.020477628015214577,0.2032761573791504,-2.07495275,1258.0
3,6144,12,1640,-43.71502077579498,0.016451765,0.2,0.9900923371315002,176,0.0029094429628457874,-0.03277035430073738,0.0004092704424510632,0.226806640625,-0.024499460705555975,-1.1595430374145508,-2.07495275,1258.0
4,6656,13,1630,-43.66067183017731,0.018277612,0.2,0.9905092120170593,192,0.002435704878735123,-0.042542923241853714,0.0004092704424510632,0.28076171875,-0.03092807062785141,0.318556010723114,-2.0578444,1258.0
4,7168,14,1619,-43.69815909862518,0.024895296,0.2,0.9915167093276978,208,0.0349088087095879,-0.034245409071445465,0.0004092704424510632,0.2744140625,-0.029028107353951782,0.2475513219833374,-2.0578444,1258.0
4,7680,15,1611,-43.710211515426636,0.012876531,0.2,0.9914228916168213,224,0.004757850067107938,-0.03203663229942322,0.0004092704424510632,0.19921875,-0.02128507985617034,-1.190603494644165,-2.0502818333333335,1258.0
5,8192,16,1606,-43.686869859695435,0.020098608,0.2,0.9897736310958862,240,0.034911162743810564,-0.02500150538980961,0.0004092704424510632,0.262451171875,-0.026511493982980028,0.3882335424423218,-2.0502818333333335,1258.0
5,8704,17,1601,-43.646082282066345,0.017954165,0.2,0.989749014377594,256,0.00461396779428469,-0.034487560391426086,0.0004092704424510632,0.25537109375,-0.026676198845962062,-2.06183123588562,-2.0502818333333335,1258.0
5,9216,18,1597,-43.66389214992523,0.01568648,0.2,0.9906545281410217,272,0.0029434465468511917,-0.03671347722411156,0.0004092704424510632,0.2220458984375,-0.02256033179583028,0.23465418815612793,-2.078224714285714,1258.0
6,9728,19,1596,-43.66725432872772,0.019083856,0.2,0.9894347786903381,288,0.03445967027801089,-0.025665566325187683,0.0004092704424510632,0.247314453125,-0.027224906953051686,0.3401428461074829,-2.078224714285714,1258.0
6,10240,20,1595,-43.66043531894684,0.015770085,0.2,0.9916025400161743,304,0.0034160698269261047,-0.03528564050793648,0.0004092704424510632,0.26416015625,-0.02585462400020333,-1.7568035125732422,-2.095444625,1258.0
6,10752,21,1594,-43.72840237617493,0.022603353,0.2,0.9919525980949402,320,0.04969434655504301,-0.026677928864955902,0.0004092704424510632,0.27685546875,-0.02752553654863732,0.33190733194351196,-2.095444625,1258.0
7,11264,22,1594,-43.74482822418213,0.0179151,0.2,0.9937556982040405,336,0.003548508717358345,-0.03308697044849396,0.0004092704424510632,0.2490234375,-0.02452360125607811,-1.3654530048370361,-2.095444625,1258.0
7,11776,23,1588,-43.80553698539734,0.02329754,0.2,0.9953163862228394,352,0.0032391182976425625,-0.040146104991436005,0.0004092704424510632,0.2579345703125,-0.02110623886983376,0.257453978061676,-2.1102554444444444,1258.0
7,12288,24,1587,-43.84325194358826,0.020374253,0.2,0.996157169342041,368,0.05889391677919775,-0.02939695492386818,0.0004092704424510632,0.241455078125,-0.025404746527783573,0.30473220348358154,-2.1102554444444444,1258.0
8,12800,25,1586,-43.83811640739441,0.01944469,0.2,0.9951152801513672,384,0.01758689247071743,-0.034979891031980515,0.0004092704424510632,0.2977294921875,-0.02732482858118601,-0.27212274074554443,-2.1233342,1258.0
8,13312,26,1584,-43.800086975097656,0.012856682,0.2,0.9939863085746765,400,0.0543688967009075,-0.012631036341190338,0.0004092704424510632,0.1995849609375,-0.018424679845338687,0.5541113615036011,-2.1233342,1258.0
8,13824,27,1581,-43.778796434402466,0.01729277,0.2,0.9938243627548218,416,0.0024666972349223215,-0.0351758636534214,0.0004092704424510632,0.241943359375,-0.023036745784338564,-3.7800779342651367,-2.1233342,1258.0
9,14336,28,1580,-43.778725385665894,0.01934082,0.2,0.994239866733551,432,0.00615176439168863,-0.0392005518078804,0.0004092704424510632,0.2747802734375,-0.025609937350964174,0.5746219158172607,-2.114133818181818,1258.0
9,14848,29,1579,-43.77819883823395,0.029132355,0.2,0.9935654997825623,448,0.02811591955833137,-0.031046848744153976,0.0004092704424510632,0.333251953125,-0.021614436758682132,0.46588677167892456,-2.114133818181818,1258.0
9,15360,30,1577,-43.790496945381165,0.020260505,0.2,0.9956368207931519,464,0.0058328515297034755,-0.033180925995111465,0.0004092704424510632,0.289306640625,-0.0286772933031898,-0.7188187837600708,-2.1083719166666666,1258.0
10,15872,31,1576,-43.85291576385498,0.01573211,0.2,0.9965648055076599,480,0.0542631380376406,-0.015946894884109497,0.0004092704424510632,0.1669921875,-0.01609631259634625,0.43234628438949585,-2.1083719166666666,1258.0
10,16384,32,1574,-43.8539936542511,0.016621547,0.2,0.9963052868843079,496,0.002169706478525768,-0.04465685039758682,0.0004092704424510632,0.2576904296875,-0.028392966400133446,-2.3715314865112305,-2.107746230769231,1258.0
10,16896,33,1572,-43.84104549884796,0.016334008,0.2,0.9954718351364136,512,0.06979963154299185,-0.027280181646347046,0.0004092704424510632,0.18212890625,-0.020285112448618747,0.4440598487854004,-2.107746230769231,1258.0
11,17408,34,1571,-43.819576144218445,0.018366296,0.2,0.9952530860900879,528,0.0018285951537109213,-0.035133492201566696,0.0004092704424510632,0.274169921875,-0.028795440404792316,-3.250485420227051,-2.107746230769231,1258.0
11,17920,35,1570,-43.82240951061249,0.02475445,0.2,0.9958136677742004,544,0.0038066575216362253,-0.042696334421634674,0.0004092704424510632,0.3079833984375,-0.03194368365802802,0.08588367700576782,-2.1085065000000003,1258.0
11,18432,36,1570,-43.828569412231445,0.025879465,0.2,0.9952074289321899,560,0.06687895813956857,-0.022601280361413956,0.0004092704424510632,0.23388671875,-0.030100527888862416,0.35965555906295776,-2.1085065000000003,1258.0
12,18944,37,1570,-43.815014243125916,0.015028147,0.2,0.995581328868866,576,0.004713137521321187,-0.03161855414509773,0.0004092704424510632,0.2186279296875,-0.021861813467694446,-2.332608699798584,-2.106848266666667,1258.0
12,19456,38,1570,-43.81933331489563,0.026903598,0.2,0.9950491786003113,592,0.07823671132791787,-0.02668514847755432,0.0004092704424510632,0.23974609375,-0.027835413100547157,0.4479290843009949,-2.106848266666667,1258.0
12,19968,39,1570,-43.773539662361145,0.017244905,0.2,0.9926822781562805,608,0.003180563016940141,-0.03415488079190254,0.0004092704424510632,0.2406005859375,-0.021177583155804314,-3.276336193084717,-2.106848266666667,1258.0
13,20480,40,1571,-43.719698905944824,0.018602565,0.2,0.992122232913971,624,0.004568579199258238,-0.04764770343899727,0.0004092704424510632,0.2882080078125,-0.03265437556547113,0.07911151647567749,-2.1219353125,1258.0
13,20992,41,1570,-43.704121828079224,0.02544989,0.2,0.9912863969802856,640,0.08186850801575929,-0.004587497562170029,0.0004092704424510632,0.2252197265625,-0.026653040353266988,0.4239766001701355,-2.1219353125,1258.0
13,21504,42,1572,-43.64196729660034,0.020625252,0.2,0.987825870513916,656,0.006331014978059102,-0.0406145378947258,0.0004092704424510632,0.2584228515625,-0.026668375401641242,-1.6644628047943115,-2.123068470588235,1258.0
13,22016,43,1575,-43.54055154323578,0.021316314,0.2,0.985771894454956,672,0.060893200046848506,-0.02338094636797905,0.0004092704424510632,0.207275390625,-0.020941714174114168,0.4785391092300415,-2.123068470588235,1258.0
14,22528,44,1578,-43.535749197006226,0.018643878,0.2,0.9877055883407593,688,0.0027947217240580358,-0.018919046968221664,0.0004092704424510632,0.2386474609375,-0.025044405745575204,-1.1589276790618896,-2.123068470588235,1258.0
14,23040,45,1581,-43.59493112564087,0.021816801,0.2,0.9889702200889587,704,0.004395807249238715,-0.041603460907936096,0.0004092704424510632,0.3109130859375,-0.029436718352371827,0.050189316272735596,-2.120145111111111,1258.0
14,23552,46,1584,-43.6179074048996,0.017377328,0.2,0.9890689849853516,720,0.09327514783944935,-0.03226723521947861,0.0004092704424510632,0.1571044921875,-0.023337967635598034,0.25171172618865967,-2.120145111111111,1258.0
15,24064,47,1586,-43.60795783996582,0.015844412,0.2,0.9890040159225464,736,0.004253628540027421,-0.03813551738858223,0.0004092704424510632,0.22705078125,-0.025539282149111386,-0.1828470230102539,-2.114641421052631,1258.0
15,24576,48,1588,-43.617231607437134,0.0159582,0.2,0.9893761873245239,752,0.10168681322829798,-0.005517227575182915,0.0004092704424510632,0.1435546875,-0.013996907800901681,0.5240405797958374,-2.114641421052631,1258.0
15,25088,49,1590,-43.611119985580444,0.019020574,0.2,0.9883233308792114,768,0.003070203158131335,-0.03360399231314659,0.0004092704424510632,0.2596435546875,-0.02482787036569789,-5.718790531158447,-2.114641421052631,1258.0
16,25600,50,1593,-43.557371377944946,0.018505368,0.2,0.9860169291496277,784,0.004375904492917471,-0.043526288121938705,0.0004092704424510632,0.275634765625,-0.02807312863296829,0.2391785979270935,-2.1124207999999998,1258.0
16,26112,51,1596,-43.516124844551086,0.022460654,0.2,0.9862109422683716,800,0.051805346593027934,-0.0159428883343935,0.0004092704424510632,0.184814453125,-0.01898895484919194,0.5689963102340698,-2.1124207999999998,1258.0
16,26624,52,1597,-43.51864051818848,0.016731754,0.2,0.9852328896522522,816,0.008204326397390105,-0.024036936461925507,0.0004092704424510632,0.2508544921875,-0.023745386890368536,-0.892704963684082,-2.1192811428571425,1258.0
16,27136,53,1599,-43.489458203315735,0.019851375,0.2,0.9852554798126221,832,0.11567742610350251,-0.023852583020925522,0.0004092704424510632,0.16162109375,-0.022254489216720685,0.520626425743103,-2.1192811428571425,1258.0
17,27648,54,1600,-43.47535860538483,0.018797796,0.2,0.9834231734275818,848,0.005669175683578942,-0.03507307171821594,0.0004092704424510632,0.2322998046875,-0.023922550346469507,-4.45853853225708,-2.1192811428571425,1258.0
17,28160,55,1600,-43.39275550842285,0.022851016,0.2,0.9805224537849426,864,0.006985329557210207,-0.023578384891152382,0.0004092704424510632,0.253173828125,-0.026682688883738592,0.6583115458488464,-2.113991363636363,1258.0
17,28672,56,1601,-43.318166613578796,0.027943414,0.2,0.9788641333580017,880,0.03300843917531893,-0.03189240023493767,0.0004092704424510632,0.247802734375,-0.025442729907808825,0.631380558013916,-2.113991363636363,1258.0
18,29184,57,1602,-43.28091740608215,0.022657368,0.2,0.9786601662635803,896,0.007552512033726089,-0.04598943144083023,0.0004092704424510632,0.251708984375,-0.029113945522112772,-0.6546579599380493,-2.11364852173913,1258.0
18,29696,58,1603,-43.28251039981842,0.01729979,0.2,0.978744626045227,912,0.1177653472404927,-0.011876183561980724,0.0004092704424510632,0.105712890625,-0.014851981948595494,0.5809713006019592,-2.11364852173913,1258.0
18,30208,59,1603,-43.292741775512695,0.019460417,0.2,0.9797590374946594,928,0.006564146260643611,-0.03617816045880318,0.0004092704424510632,0.2420654296875,-0.026860106649110094,-5.469089031219482,-2.1112876249999997,1258.0
19,30720,60,1604,-43.32048845291138,0.018680591,0.2,0.979439377784729,944,0.10656320478301495,-0.009326949715614319,0.0004092704424510632,0.1141357421875,-0.017212048711371608,0.5507434010505676,-2.1112876249999997,1258.0
