train/n_updates,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/fps,train/ent_coef_loss,time/total_timesteps
4931,4,0.0008459126528049375,-4.13320325,-122.81293487548828,0.01757260225713253,1258.0,0.7534428834915161,171,29,-177.50357055664062,5032
9963,8,0.0008459126528049375,-3.189430375,-129.41551208496094,0.001138945110142231,1258.0,2.251508951187134,384,26,-68.29510498046875,10064
14995,12,0.0008459126528049375,-2.5892353333333333,-133.0592041015625,0.0009742601541802287,1258.0,1.3132290840148926,561,26,25.001211166381836,15096
20027,16,0.0008459126528049375,-2.2803063750000003,-137.0229034423828,0.000948855362366885,1258.0,1.8057270050048828,764,26,-25.79984474182129,20128
25059,20,0.0008459126528049375,-2.1585639000000003,-139.17709350585938,0.0010990719310939312,1258.0,1.5176520347595215,5,30,-40.135013580322266,25160
30091,24,0.0008459126528049375,-2.033177041666667,-140.6200408935547,0.0010489412816241384,1258.0,1.665147066116333,171,30,-27.540624618530273,30192
35123,28,0.0008459126528049375,-1.9466899642857143,-143.67523193359375,0.0007602485129609704,1258.0,2.3958091735839844,333,30,31.11661148071289,35224
40155,32,0.0008459126528049375,-1.8844468125000002,-144.84376525878906,0.000660977850202471,1258.0,4.631831169128418,497,30,2.138889789581299,40256
45187,36,0.0008459126528049375,-1.8259811944444446,-146.32513427734375,0.0008051471668295562,1258.0,2.867417573928833,665,30,-65.03041076660156,45288
50219,40,0.0008459126528049375,-1.8141979249999998,-146.09353637695312,0.001061449060216546,1258.0,3.0683987140655518,12,24,7.7396416664123535,50320
55251,44,0.0008459126528049375,-1.7795613636363634,-147.28173828125,0.0013779153814539313,1258.0,3.8207287788391113,182,29,53.106075286865234,55352
60283,48,0.0008459126528049375,-1.7654358333333333,-144.3748779296875,0.0013450997648760676,1258.0,8.57009220123291,358,29,-34.72195053100586,60384
65315,52,0.0008459126528049375,-1.7351756923076922,-143.70590209960938,0.0017046851571649313,1258.0,2.9031906127929688,547,28,-37.89158630371094,65416
70347,56,0.0008459126528049375,-1.7139202321428573,-140.21836853027344,0.0018008188344538212,1258.0,51.98936080932617,745,27,-1.6600958108901978,70448
75379,60,0.0008459126528049375,-1.6872045166666667,-138.62832641601562,0.0015468491474166512,1258.0,53.34308624267578,18,25,47.69334030151367,75480
80411,64,0.0008459126528049375,-1.6730532187499998,-140.1538543701172,0.0010783686302602291,1258.0,2.8068127632141113,201,27,46.096839904785156,80512
85443,68,0.0008459126528049375,-1.6602384852941174,-139.28323364257812,0.001449835137464106,1258.0,3.6009490489959717,397,26,13.272687911987305,85544
90475,72,0.0008459126528049375,-1.6444331944444444,-140.49038696289062,0.001487390953116119,1258.0,4.534590721130371,575,27,38.60701370239258,90576
95507,76,0.0008459126528049375,-1.636315894736842,-132.12356567382812,0.00266436324454844,1258.0,5.8340253829956055,743,27,-8.274995803833008,95608
