time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1,4100,0,512,,,,,,,,,,,,,
2,2558,0,1024,-0.05013708397746086,-0.4907182455062866,0.3050537109375,0.2,0.0004092704424510632,-0.0417781897704117,1.0002986192703247,0.1048253644403303,16,-43.98830235004425,0.022909267,,
3,2268,0,1536,-0.030843956395983696,0.06725507974624634,0.2818603515625,0.2,0.0004092704424510632,-0.02488613968307618,1.0001248121261597,0.008968266512965783,32,-43.993577003479004,0.017931543,-2.724494,1258.0
4,2153,0,2048,-0.030830658972263336,0.008343160152435303,0.289306640625,0.2,0.0004092704424510632,-0.0271044903784059,0.9967738389968872,0.008640563173685223,48,-43.94309151172638,0.01980019,-2.724494,1258.0
5,2084,1,2560,-0.034480199217796326,0.05387723445892334,0.289794921875,0.2,0.0004092704424510632,-0.027534389431821182,0.9961525797843933,0.002795165779389208,64,-43.86592388153076,0.021576297,-2.7316025,1258.0
6,2040,1,3072,-0.026494381949305534,-0.009747505187988281,0.319580078125,0.2,0.0004092704424510632,-0.02608303230954334,0.99588543176651,0.017972587753320113,80,-43.86125445365906,0.023276813,-2.7316025,1258.0
7,2011,1,3584,-0.03245390206575394,0.03228968381881714,0.2935791015625,0.2,0.0004092704424510632,-0.029707967973081395,0.9934346079826355,0.002890821710025193,96,-43.821627736091614,0.020371053,-2.7316025,1258.0
8,1996,2,4096,-0.030050214380025864,0.0073729753494262695,0.3074951171875,0.2,0.0004092704424510632,-0.0271430353022879,0.9944052696228027,0.013753588311374187,112,-43.783783316612244,0.020358196,-2.7799096666666667,1258.0
9,1969,2,4608,-0.03429727628827095,0.008255600929260254,0.2869873046875,0.2,0.0004092704424510632,-0.027995331038255244,0.9951263070106506,0.029744686267804354,128,-43.82254934310913,0.020551477,-2.7799096666666667,1258.0
10,1957,2,5120,-0.021683935075998306,0.11772787570953369,0.2628173828125,0.2,0.0004092704424510632,-0.0232561468728818,0.9951321482658386,0.010493641399079934,144,-43.82979941368103,0.020835225,-2.79166725,1258.0
11,1945,2,5632,-0.016103273257613182,0.0021759867668151855,0.216796875,0.2,0.0004092704424510632,-0.022944467200431973,0.9936339855194092,0.04319710424169898,160,-43.80922341346741,0.014139008,-2.79166725,1258.0
12,1935,3,6144,-0.03130299597978592,0.07124060392379761,0.23974609375,0.2,0.0004092704424510632,-0.023042905202601105,0.9944062232971191,0.003893277003953699,176,-43.78542339801788,0.019853786,-2.79166725,1258.0
13,1926,3,6656,-0.03529858589172363,0.078152596950531,0.227294921875,0.2,0.0004092704424510632,-0.02464490191778168,0.9957403540611267,0.009575348027283326,192,-43.82262361049652,0.016810812,-2.7840286,1258.0
14,1916,3,7168,-0.01703176088631153,0.02682352066040039,0.2474365234375,0.2,0.0004092704424510632,-0.025382150954101235,0.995186984539032,0.0503302204888314,208,-43.83962154388428,0.017163087,-2.7840286,1258.0
15,1909,4,7680,-0.02298612706363201,0.34607017040252686,0.2730712890625,0.2,0.0004092704424510632,-0.02662815806979779,0.9954621195793152,0.008865832176525146,224,-43.82230830192566,0.02689331,-2.783875166666667,1258.0
16,1904,4,8192,-0.005537072196602821,0.11622947454452515,0.247802734375,0.2,0.0004092704424510632,-0.023541723669040948,0.994771420955658,0.05401742330286652,240,-43.82694625854492,0.021204188,-2.783875166666667,1258.0
17,1900,4,8704,-0.03787895292043686,-0.02256309986114502,0.231689453125,0.2,0.0004092704424510632,-0.02530805818969384,0.9936081767082214,0.004930691429763101,256,-43.79558503627777,0.014658986,-2.783875166666667,1258.0
18,1897,4,9216,-0.02270868979394436,0.08659058809280396,0.2608642578125,0.2,0.0004092704424510632,-0.025746498635271564,0.9929490685462952,0.009587147214915603,272,-43.760149002075195,0.0245754,-2.7952704285714285,1258.0
19,1893,5,9728,-0.010021822527050972,0.060002684593200684,0.265625,0.2,0.0004092704424510632,-0.02281994051008951,0.9912843108177185,0.06728542759083211,288,-43.72824418544769,0.022111591,-2.7952704285714285,1258.0
20,1878,5,10240,-0.03948730230331421,-0.5505626201629639,0.2901611328125,0.2,0.0004092704424510632,-0.02842771846917458,0.9909285306930542,0.008007970980543178,304,-43.68538510799408,0.0193161,-2.7635393749999997,1258.0
21,1865,5,10752,-0.01203317753970623,0.22108519077301025,0.248291015625,0.2,0.0004092704424510632,-0.024267577595310286,0.9894799590110779,0.06610071274917573,320,-43.668907165527344,0.014034712,-2.7635393749999997,1258.0
22,1855,6,11264,-0.026618564501404762,-0.6812421083450317,0.2236328125,0.2,0.0004092704424510632,-0.022332843764161225,0.9888470768928528,0.005635303597955499,336,-43.62892961502075,0.01592102,-2.7635393749999997,1258.0
23,1851,6,11776,-0.027136003598570824,0.1260613203048706,0.296142578125,0.2,0.0004092704424510632,-0.027567217679461464,0.987758994102478,0.009302420250605792,352,-43.59848427772522,0.022782037,-2.754824333333333,1258.0
24,1847,6,12288,-0.014840228483080864,0.15119826793670654,0.291015625,0.2,0.0004092704424510632,-0.02897621030570008,0.9860226511955261,0.07304279645904899,368,-43.554861307144165,0.030043572,-2.754824333333333,1258.0
25,1838,6,12800,-0.039899032562971115,-0.37960100173950195,0.20556640625,0.2,0.0004092704424510632,-0.02379740567994304,0.9861083626747131,0.018910792510723695,384,-43.52320313453674,0.016024264,-2.7516043999999997,1258.0
26,1835,7,13312,-0.01551130786538124,0.43336617946624756,0.2904052734375,0.2,0.0004092704424510632,-0.029274659013026394,0.9865089058876038,0.06463545851875097,400,-43.53472113609314,0.033071183,-2.7516043999999997,1258.0
27,1834,7,13824,-0.03156302869319916,-4.6205267906188965,0.21728515625,0.2,0.0004092704424510632,-0.024594360555056483,0.9857738614082336,0.005283811522531323,416,-43.52407240867615,0.015010364,-2.7516043999999997,1258.0
28,1831,7,14336,-0.03559373319149017,0.15913355350494385,0.304443359375,0.2,0.0004092704424510632,-0.027437951532192528,0.986516535282135,0.0090665913594421,432,-43.52365255355835,0.02393746,-2.7315201818181816,1258.0
29,1830,8,14848,-0.017881309613585472,0.1827114224433899,0.4083251953125,0.2,0.0004092704424510632,-0.025137852848274633,0.9853013753890991,0.03961121058091521,448,-43.52227711677551,0.054229863,-2.7315201818181816,1258.0
30,1828,8,15360,-0.03628447279334068,-0.34636616706848145,0.2578125,0.2,0.0004092704424510632,-0.022732890283805318,0.9871907830238342,0.013578613783465698,464,-43.51684033870697,0.020299833,-2.734542333333333,1258.0
31,1825,8,15872,-0.015750685706734657,0.4234507083892822,0.2427978515625,0.2,0.0004092704424510632,-0.023503801901824772,0.9878037571907043,0.08066773426253349,480,-43.57219350337982,0.023688294,-2.734542333333333,1258.0
32,1826,8,16384,-0.044480107724666595,-3.254124641418457,0.244140625,0.2,0.0004092704424510632,-0.029766301333438605,0.9864760637283325,0.005923759141296614,496,-43.556947350502014,0.017129287,-2.744560923076923,1258.0
33,1826,9,16896,0.003076452761888504,0.03742504119873047,0.2567138671875,0.2,0.0004092704424510632,-0.025244248819944914,0.985403299331665,0.13127965037710965,512,-43.51336193084717,0.022403937,-2.744560923076923,1258.0
34,1828,9,17408,-0.020901639014482498,-3.167171001434326,0.2115478515625,0.2,0.0004092704424510632,-0.020662704802816734,0.9855573773384094,0.0078957206060295,528,-43.496832966804504,0.013344011,-2.744560923076923,1258.0
35,1829,9,17920,-0.031221697106957436,0.11265438795089722,0.334716796875,0.2,0.0004092704424510632,-0.034260565851582214,0.9846286177635193,0.010526257683523,544,-43.48851954936981,0.030630011,-2.736792428571428,1258.0
36,1830,10,18432,0.008955113589763641,0.2367877960205078,0.2020263671875,0.2,0.0004092704424510632,-0.022378636815119535,0.9843025207519531,0.12203036621212959,560,-43.459887862205505,0.017271545,-2.736792428571428,1258.0
37,1830,10,18944,-0.03249108046293259,-4.4210591316223145,0.266357421875,0.2,0.0004092704424510632,-0.029400699742836878,0.9866865873336792,0.010809461498865858,576,-43.48599350452423,0.018829662,-2.7267729999999997,1258.0
38,1830,10,19456,0.023794572800397873,0.045205771923065186,0.264404296875,0.2,0.0004092704424510632,-0.02835489111021161,0.987252950668335,0.16463150177150965,592,-43.54949998855591,0.030217322,-2.7267729999999997,1258.0
39,1831,10,19968,-0.03151719272136688,-5.973729133605957,0.2174072265625,0.2,0.0004092704424510632,-0.023682778497459367,0.9879881739616394,0.006618915118451696,608,-43.557565808296204,0.016057223,-2.7267729999999997,1258.0
40,1830,11,20480,-0.043531421571969986,0.02361905574798584,0.281494140625,0.2,0.0004092704424510632,-0.02838570658059325,0.9900502562522888,0.01210490582161583,624,-43.59789967536926,0.030064847,-2.725607,1258.0
41,1829,11,20992,0.029947426170110703,0.04990452527999878,0.198974609375,0.2,0.0004092704424510632,-0.023086116591002792,0.9910485148429871,0.20226533873938024,640,-43.65392792224884,0.01824672,-2.725607,1258.0
42,1829,11,21504,-0.029482010751962662,-0.685303807258606,0.2613525390625,0.2,0.0004092704424510632,-0.029056748069706373,0.9896678924560547,0.031064465933013707,656,-43.64842712879181,0.022949602,-2.7119469411764707,1258.0
43,1830,12,22016,0.07000793516635895,0.3181976079940796,0.1656494140625,0.2,0.0004092704424510632,-0.017192018683999777,0.987238347530365,0.21922016283497214,672,-43.58386790752411,0.014128607,-2.7119469411764707,1258.0
44,1829,12,22528,-0.019444573670625687,-3.8554720878601074,0.2498779296875,0.2,0.0004092704424510632,-0.023867435607826337,0.9872404336929321,0.008549572943593375,688,-43.53802990913391,0.020824017,-2.7119469411764707,1258.0
45,1829,12,23040,-0.03290611878037453,0.057774126529693604,0.2452392578125,0.2,0.0004092704424510632,-0.023487690632464364,0.9876251816749573,0.009628801155486144,704,-43.545605182647705,0.0179084,-2.7017628888888887,1258.0
46,1829,12,23552,0.011654127389192581,0.0636603832244873,0.2562255859375,0.2,0.0004092704424510632,-0.028611684901989065,0.9876654744148254,0.2095609842799604,720,-43.55070400238037,0.02644865,-2.7017628888888887,1258.0
47,1829,13,24064,-0.035721950232982635,-2.0004894733428955,0.2177734375,0.2,0.0004092704424510632,-0.022169736388605088,0.9860972762107849,0.01885007118107751,736,-43.528372406959534,0.017178433,-2.702042736842105,1258.0
48,1830,13,24576,0.05159009248018265,0.2965446710586548,0.2012939453125,0.2,0.0004092704424510632,-0.022185343492310494,0.9856076836585999,0.24604289792478085,752,-43.484200835227966,0.020782722,-2.702042736842105,1258.0
49,1830,13,25088,-0.03794579952955246,-4.537774085998535,0.2659912109375,0.2,0.0004092704424510632,-0.028487265939475037,0.9863482713699341,0.014479384451988153,768,-43.48692178726196,0.02037788,-2.702042736842105,1258.0
50,1830,13,25600,-0.03462390601634979,0.06173884868621826,0.2864990234375,0.2,0.0004092704424510632,-0.027727132764994167,0.9858932495117188,0.011026088177459314,784,-43.50044274330139,0.021450195,-2.70988965,1258.0
51,1829,14,26112,0.0035037994384765625,0.12182080745697021,0.1712646484375,0.2,0.0004092704424510632,-0.018854061883757822,0.9848429560661316,0.18064997298642993,800,-43.467912435531616,0.014958085,-2.70988965,1258.0
52,1828,14,26624,-0.026168856769800186,-2.1306986808776855,0.2393798828125,0.2,0.0004092704424510632,-0.024381214709137566,0.9846736788749695,0.02728561736876145,816,-43.44039332866669,0.021608833,-2.7021895714285713,1258.0
53,1828,14,27136,0.041614748537540436,0.38210082054138184,0.133544921875,0.2,0.0004092704424510632,-0.01691231115546543,0.9846764206886292,0.18986902851611376,832,-43.44465887546539,0.017271597,-2.7021895714285713,1258.0
54,1828,15,27648,-0.036011550575494766,-4.955550670623779,0.2540283203125,0.2,0.0004092704424510632,-0.028697472240310162,0.9847778677940369,0.006831986524048261,848,-43.44267988204956,0.021001965,-2.7021895714285713,1258.0
