time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
26,1583,8,13312,-0.02077050320804119,0.37531745433807373,0.2601318359375,0.2,0.0004092704424510632,-0.026364589532022364,0.9850393533706665,0.06706655689049512,400,-43.49223279953003,0.02479979,-2.7046878999999997,1258.0
27,1582,8,13824,-0.041369304060935974,-6.505970478057861,0.291748046875,0.2,0.0004092704424510632,-0.02933117679640418,0.9837874174118042,0.005832664279296296,416,-43.478360652923584,0.02117281,-2.7046878999999997,1258.0
28,1581,9,14336,-0.030585424974560738,0.16884231567382812,0.2889404296875,0.2,0.0004092704424510632,-0.029628406642586924,0.9832061529159546,0.008982029059552588,432,-43.44509971141815,0.030331818,-2.698996818181818,1258.0
29,1581,9,14848,-0.014600220136344433,0.21420502662658691,0.3336181640625,0.2,0.0004092704424510632,-0.02468188919010572,0.9833219051361084,0.038679208839312196,448,-43.43817853927612,0.03861215,-2.698996818181818,1258.0
30,1582,9,15360,-0.04429882764816284,-1.0273098945617676,0.3089599609375,0.2,0.0004092704424510632,-0.02748743162374012,0.9838158488273621,0.012614223407581449,464,-43.44918775558472,0.031276572,-2.7059089999999997,1258.0
31,1582,10,15872,-0.010806672275066376,0.33109354972839355,0.22509765625,0.2,0.0004092704424510632,-0.024918901326600462,0.9834786653518677,0.08755950024351478,480,-43.45262002944946,0.023682915,-2.7059089999999997,1258.0
32,1581,10,16384,-0.04030105844140053,-6.010208606719971,0.252685546875,0.2,0.0004092704424510632,-0.028989243786782026,0.983614981174469,0.004370477538031992,496,-43.43963086605072,0.020244744,-2.7093910769230765,1258.0
33,1580,10,16896,-0.004016995429992676,0.05290490388870239,0.268310546875,0.2,0.0004092704424510632,-0.027107109475764446,0.984373927116394,0.11485066264867783,512,-43.45838737487793,0.021424849,-2.7093910769230765,1258.0
34,1578,11,17408,-0.02998770959675312,-3.84537410736084,0.2362060546875,0.2,0.0004092704424510632,-0.024598891875939444,0.9855439066886902,0.003832216290902579,528,-43.47935080528259,0.021331262,-2.7093910769230765,1258.0
35,1577,11,17920,-0.049602117389440536,0.0523335337638855,0.2921142578125,0.2,0.0004092704424510632,-0.0323340586037375,0.987773060798645,0.010119864047737792,544,-43.53040170669556,0.022199348,-2.701138357142857,1258.0
36,1576,11,18432,-0.013130178675055504,0.16601037979125977,0.2086181640625,0.2,0.0004092704424510632,-0.02881137111398857,0.988102376461029,0.10331070551183075,560,-43.58183419704437,0.02600018,-2.701138357142857,1258.0
37,1574,12,18944,-0.036769263446331024,-2.7171194553375244,0.2398681640625,0.2,0.0004092704424510632,-0.02948799860314466,0.9875288605690002,0.006098881240177434,576,-43.567771911621094,0.018383002,-2.7076848666666664,1258.0
38,1574,12,19456,0.012552626430988312,0.12686479091644287,0.207763671875,0.2,0.0004092704424510632,-0.02636515696940478,0.986044704914093,0.13433658122085035,592,-43.537688851356506,0.022481319,-2.7076848666666664,1258.0
39,1574,12,19968,-0.0262429378926754,-6.736469268798828,0.241455078125,0.2,0.0004092704424510632,-0.0233594407181954,0.9862498044967651,0.0034774938540067524,608,-43.51090157032013,0.018814556,-2.7076848666666664,1258.0
40,1573,13,20480,-0.031788431107997894,0.019347310066223145,0.24560546875,0.2,0.0004092704424510632,-0.02434461445955094,0.9872724413871765,0.014457104116445407,624,-43.528793811798096,0.018115241,-2.6983971875,1258.0
41,1573,13,20992,0.003703013062477112,0.07093155384063721,0.2296142578125,0.2,0.0004092704424510632,-0.023939743754453957,0.9874746799468994,0.17815444082953036,640,-43.5517121553421,0.017146114,-2.6983971875,1258.0
