time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,3962,0,512,,,,,,,,,,,,,
2,2655,0,1024,-0.04293521080398932,0.0004092704424510632,16,0.02557833,-0.8491590023040771,0.2,0.15291247511049733,0.3216552734375,1.0028681755065918,-44.024216055870056,-0.050165459513664246,,
3,2407,0,1536,-0.027876144857145846,0.0004092704424510632,32,0.015062347,0.03019249439239502,0.2,0.0035310231542098336,0.2470703125,1.0038824081420898,-44.0965770483017,-0.03851498290896416,-2.265534,1257.0
4,2299,0,2048,-0.030633804854005575,0.0004092704424510632,48,0.021500658,0.011046826839447021,0.2,0.017153498833067715,0.2994384765625,1.0058649778366089,-44.130842447280884,-0.03153778985142708,-2.265534,1257.0
5,2239,1,2560,-0.028487350791692734,0.0004092704424510632,64,0.0145137245,0.16344493627548218,0.2,0.002953125258500222,0.2552490234375,1.005548119544983,-44.16844606399536,-0.041112158447504044,-2.2806445,1257.0
6,2200,1,3072,-0.02546653337776661,0.0004092704424510632,80,0.018193489,0.04975086450576782,0.2,0.008719135381397791,0.30126953125,1.0059453248977661,-44.15757656097412,-0.037976719439029694,-2.2806445,1257.0
7,2173,1,3584,-0.0193131128908135,0.0004092704424510632,96,0.015112579,0.0692257285118103,0.2,0.004652228293707594,0.2481689453125,1.0058133602142334,-44.16855764389038,-0.02488401159644127,-2.2806445,1257.0
8,2155,1,4096,-0.029035884435870685,0.0004092704424510632,112,0.01839196,0.029645025730133057,0.2,0.0039700554771116,0.29296875,1.0048394203186035,-44.147977113723755,-0.02881496399641037,-2.319789666666667,1257.0
9,2134,2,4608,-0.025151984678814188,0.0004092704424510632,128,0.018070724,0.09619271755218506,0.2,0.003614945373556111,0.2518310546875,1.0033866167068481,-44.112008929252625,-0.021683264523744583,-2.319789666666667,1257.0
10,2123,2,5120,-0.02025174601294566,0.0004092704424510632,144,0.014461627,0.231761634349823,0.2,0.001575661233800929,0.2227783203125,1.003731608390808,-44.08451247215271,-0.03679952770471573,-2.2941480000000003,1257.0
11,2113,2,5632,-0.023676962533500046,0.0004092704424510632,160,0.014356315,-0.025068998336791992,0.2,0.003405357310839463,0.2442626953125,1.0037921667099,-44.10085189342499,-0.03420402109622955,-2.2941480000000003,1257.0
12,2106,2,6144,-0.029498614167096093,0.0004092704424510632,176,0.016682241,0.09671854972839355,0.2,0.0027631870289042126,0.2523193359375,1.0035138130187988,-44.08992302417755,-0.03566815331578255,-2.2941480000000003,1257.0
13,2101,3,6656,-0.026469461241504177,0.0004092704424510632,192,0.015528159,0.03081357479095459,0.2,0.003805869724601507,0.2303466796875,1.0019464492797852,-44.06737148761749,-0.034136462956666946,-2.2803028000000003,1257.0
14,2095,3,7168,-0.03107783940504305,0.0004092704424510632,208,0.019535005,0.0069776177406311035,0.2,0.011071257933508605,0.3026123046875,1.000770092010498,-44.01735281944275,-0.05339275300502777,-2.2803028000000003,1257.0
15,2090,3,7680,-0.030114982306258753,0.0004092704424510632,224,0.0160141,0.025035083293914795,0.2,0.0026658090064302087,0.2469482421875,1.0004819631576538,-43.991408824920654,-0.03118504397571087,-2.2925008333333334,1257.0
16,2087,3,8192,-0.026778952131280676,0.0004092704424510632,240,0.021758586,-0.0028039216995239258,0.2,0.015339016652433202,0.27294921875,0.9975965619087219,-43.95150053501129,-0.032288264483213425,-2.2925008333333334,1257.0
17,2083,4,8704,-0.025496254063909873,0.0004092704424510632,256,0.018968986,0.03916209936141968,0.2,0.0036896711826557294,0.2720947265625,0.9956728219985962,-43.85788834095001,-0.037307776510715485,-2.2925008333333334,1257.0
18,2080,4,9216,-0.019080134283285588,0.0004092704424510632,272,0.014828395,-0.002240419387817383,0.2,0.004311840340960771,0.19189453125,0.9982776641845703,-43.8632847070694,-0.025316817685961723,-2.304551857142857,1257.0
19,2077,4,9728,-0.03021303957211785,0.0004092704424510632,288,0.034236893,0.0011736154556274414,0.2,0.03181764646433294,0.326416015625,0.9975467324256897,-43.91753828525543,-0.027046654373407364,-2.304551857142857,1257.0
20,2074,4,10240,-0.026151495025260374,0.0004092704424510632,304,0.013477058,-0.024621129035949707,0.2,0.0031111788157431874,0.2239990234375,0.9974860548973083,-43.886136054992676,-0.03658429533243179,-2.31655075,1257.0
21,2072,5,10752,-0.026881818441324867,0.0004092704424510632,320,0.021943491,0.0019469261169433594,0.2,0.03373583225766197,0.2501220703125,0.9960834383964539,-43.874022126197815,-0.028758469969034195,-2.31655075,1257.0
22,2069,5,11264,-0.023841140035074204,0.0004092704424510632,336,0.016827624,-0.08047878742218018,0.2,0.0027399124737712555,0.208251953125,0.9950311183929443,-43.832027435302734,-0.037220533937215805,-2.31655075,1257.0
23,2067,5,11776,-0.02000754301843699,0.0004092704424510632,352,0.013261906,0.003020167350769043,0.2,0.00383312524354551,0.1898193359375,0.994714617729187,-43.80901765823364,-0.01515173353254795,-2.312551444444445,1257.0
24,2065,5,12288,-0.028359260060824454,0.0004092704424510632,368,0.029559,0.001670241355895996,0.2,0.05146021395921707,0.2545166015625,0.9931917786598206,-43.7869336605072,-0.019419996067881584,-2.312551444444445,1257.0
25,2063,6,12800,-0.028287782886764035,0.0004092704424510632,384,0.01881466,0.002739250659942627,0.2,0.005455680518934969,0.264404296875,0.9917003512382507,-43.73063242435455,-0.04405894875526428,-2.3359443000000004,1257.0
26,2060,6,13312,-0.023638943152036518,0.0004092704424510632,400,0.013938408,0.0016633868217468262,0.2,0.06336586049292237,0.2222900390625,0.9909352660179138,-43.695581555366516,-0.0023150593042373657,-2.3359443000000004,1257.0
27,2058,6,13824,-0.023603987210663036,0.0004092704424510632,416,0.017495632,-0.11281824111938477,0.2,0.0034502736089052632,0.2376708984375,0.9897818565368652,-43.66622006893158,-0.03607665374875069,-2.3359443000000004,1257.0
28,2057,6,14336,-0.029557919828221202,0.0004092704424510632,432,0.020911772,0.0017716288566589355,0.2,0.003841337362246122,0.255859375,0.9867441058158875,-43.60707867145538,-0.045381851494312286,-2.3364474545454548,1257.0
29,2055,7,14848,-0.020520780235528946,0.0004092704424510632,448,0.014568235,0.007903337478637695,0.2,0.013282675266964361,0.202880859375,0.9861060380935669,-43.53431499004364,-0.024827443063259125,-2.3364474545454548,1257.0
30,2054,7,15360,-0.024686929289600812,0.0004092704424510632,464,0.019143626,0.09391587972640991,0.2,0.0033322524977847934,0.2374267578125,0.985313892364502,-43.526952505111694,-0.034948401153087616,-2.34472775,1257.0
31,2053,7,15872,-0.02954152537859045,0.0004092704424510632,480,0.018358648,0.001145482063293457,0.2,0.09651284292340279,0.2611083984375,0.9842512011528015,-43.49263846874237,0.0006753914058208466,-2.34472775,1257.0
32,2051,7,16384,-0.019831973491818644,0.0004092704424510632,496,0.020781724,0.02343583106994629,0.2,0.002861327775462996,0.2095947265625,0.9855505228042603,-43.48825716972351,-0.0297195203602314,-2.3480696923076922,1257.0
