time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,3838,0,512,,,,,,,,,,,,,
2,2518,0,1024,-0.03502880808082409,0.0004092704424510632,16,0.019299908,-0.2710951566696167,0.2,0.12472455753595568,0.2896728515625,0.9997615814208984,-43.98216009140015,-0.047791168093681335,,
3,2265,0,1536,-0.03124044992728159,0.0004092704424510632,32,0.022058733,0.0052950382232666016,0.2,0.004457496528630145,0.263671875,1.0011000633239746,-43.99472224712372,-0.04061710089445114,-2.413988,1257.0
4,2187,0,2048,-0.029247115540783852,0.0004092704424510632,48,0.01888213,-0.01774144172668457,0.2,0.0033926639807759784,0.25927734375,1.001534104347229,-44.02873945236206,-0.030013134703040123,-2.413988,1257.0
5,2121,1,2560,-0.031161427148617804,0.0004092704424510632,64,0.020772386,0.06947064399719238,0.2,0.0026937253460346255,0.3173828125,1.0014500617980957,-44.03052377700806,-0.038734301924705505,-2.370101,1257.0
6,2079,1,3072,-0.02742133551510051,0.0004092704424510632,80,0.017113019,-0.005815386772155762,0.2,0.008092135103652254,0.287841796875,1.0004193782806396,-44.01770853996277,-0.036537665873765945,-2.370101,1257.0
7,2049,1,3584,-0.025753717578481883,0.0004092704424510632,96,0.013902562,0.05843931436538696,0.2,0.004274206323316321,0.27978515625,1.0001343488693237,-43.98569905757904,-0.03275356441736221,-2.370101,1257.0
8,2025,2,4096,-0.027020785928471014,0.0004092704424510632,112,0.020527259,0.01772218942642212,0.2,0.0034965605082106777,0.2713623046875,1.0009218454360962,-43.99594473838806,-0.027613742277026176,-2.3288290000000003,1257.0
9,2009,2,4608,-0.02646469767205417,0.0004092704424510632,128,0.016046092,0.00511622428894043,0.2,0.01956131707993336,0.27294921875,1.0011252164840698,-44.01610839366913,-0.024024412035942078,-2.3288290000000003,1257.0
10,1997,2,5120,-0.025284741292125545,0.0004092704424510632,144,0.013266235,0.09341228008270264,0.2,0.001780623804734205,0.219970703125,1.0014407634735107,-44.01763701438904,-0.022909441962838173,-2.3578585,1257.0
11,1989,2,5632,-0.028614534981898032,0.0004092704424510632,160,0.021082558,0.0009755492210388184,0.2,0.023041407170239836,0.30615234375,1.0007784366607666,-44.014163851737976,-0.018070660531520844,-2.3578585,1257.0
12,1979,3,6144,-0.027832429215777665,0.0004092704424510632,176,0.018691897,0.07424390316009521,0.2,0.003127116367977578,0.2587890625,1.0007531642913818,-43.9953750371933,-0.0450984463095665,-2.3578585,1257.0
13,1978,3,6656,-0.028824304521549493,0.0004092704424510632,192,0.020660039,0.0050010085105896,0.2,0.0038737059585400857,0.267333984375,1.0013246536254883,-44.008944034576416,-0.044534504413604736,-2.356184,1257.0
14,1972,3,7168,-0.02585229633768904,0.0004092704424510632,208,0.020946298,0.00255739688873291,0.2,0.040104834362864494,0.2490234375,1.0002424716949463,-44.01080596446991,-0.007876154035329819,-2.356184,1257.0
15,1966,3,7680,-0.030394882429391146,0.0004092704424510632,224,0.01942889,0.04449963569641113,0.2,0.0029092476761434227,0.2823486328125,1.0003938674926758,-43.98064076900482,-0.03251095861196518,-2.343939666666667,1257.0
16,1966,4,8192,-0.025420728255994618,0.0004092704424510632,240,0.012892766,0.006460309028625488,0.2,0.04213248670566827,0.2435302734375,0.9991004467010498,-43.97705602645874,-0.019973404705524445,-2.343939666666667,1257.0
