time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,512,4053,1,,,,,,,,,,,,,
0,1024,2311,2,-43.97415482997894,-0.15301954746246338,0.2,-0.030291505783679895,16,0.10223402697010897,0.0004092704424510632,0.018540228,0.9988194704055786,0.2352294921875,-0.052748680114746094,,
0,1536,2049,3,-43.93265390396118,0.0020296573638916016,0.2,-0.033537365728989244,32,0.005759843777923379,0.0004092704424510632,0.020757228,0.9980538487434387,0.31982421875,-0.026691600680351257,1257.0,-3.182234
1,2048,1932,4,-43.91120648384094,0.020686745643615723,0.2,-0.029069543641526252,48,0.0023181482756626792,0.0004092704424510632,0.017066162,0.9969443082809448,0.308837890625,-0.0400993637740612,1257.0,-3.182234
1,2560,1867,5,-43.904417395591736,0.00048172473907470703,0.2,-0.02724537398898974,64,0.006921253239852376,0.0004092704424510632,0.02359974,0.9982898831367493,0.32275390625,-0.038327161222696304,1257.0,-3.114127
1,3072,1836,6,-43.94364380836487,0.001367032527923584,0.2,-0.02724931138800457,80,0.007238102916744538,0.0004092704424510632,0.016819963,0.9989320635795593,0.2567138671875,-0.03296381235122681,1257.0,-3.114127
1,3584,1836,7,-43.94926559925079,0.0019435286521911621,0.2,-0.02264700722298585,96,0.01020458662242163,0.0004092704424510632,0.01636589,0.9988511800765991,0.26611328125,-0.03374642878770828,1257.0,-3.114127
2,4096,1832,8,-43.94842839241028,0.0012829899787902832,0.2,-0.030438386005698703,112,0.004501994939346332,0.0004092704424510632,0.018021844,0.9988648295402527,0.2899169921875,-0.04272731393575668,1257.0,-3.0123719999999996
2,4608,1832,9,-43.943641901016235,-0.0005310773849487305,0.2,-0.028295745054492727,128,0.024988416931591928,0.0004092704424510632,0.027216956,0.998685896396637,0.350341796875,-0.032895367592573166,1257.0,-3.0123719999999996
2,5120,1833,10,-43.95925581455231,0.018163561820983887,0.2,-0.030211168821551837,144,0.0022081919414631557,0.0004092704424510632,0.020206235,1.0001267194747925,0.304931640625,-0.031811997294425964,1257.0,-2.9689854999999996
3,5632,1832,11,-43.968220353126526,0.0012708306312561035,0.2,-0.02120048937649699,160,0.02715147886192426,0.0004092704424510632,0.011525335,0.9983499050140381,0.2073974609375,-0.023753046989440918,1257.0,-2.9689854999999996
3,6144,1835,12,-43.9325977563858,-0.0020062923431396484,0.2,-0.027218066170462407,176,0.010222188924672082,0.0004092704424510632,0.018577436,0.9992846250534058,0.2850341796875,-0.042135223746299744,1257.0,-2.9689854999999996
3,6656,1833,13,-43.97017729282379,-0.0029271841049194336,0.2,-0.03410462714964524,192,0.0055299767045653425,0.0004092704424510632,0.023542104,0.9995856881141663,0.3111572265625,-0.05098738893866539,1257.0,-2.9777441999999996
3,7168,1832,14,-43.97784173488617,0.002116560935974121,0.2,-0.03218084199761506,208,0.05672549700830132,0.0004092704424510632,0.024715561,1.0008838176727295,0.3319091796875,-0.015731828287243843,1257.0,-2.9777441999999996
4,7680,1832,15,-44.010186553001404,-0.03795158863067627,0.2,-0.029394694254733622,224,0.003880146556184627,0.0004092704424510632,0.018537562,1.0009446144104004,0.254638671875,-0.04404157027602196,1257.0,-2.9664444999999997
4,8192,1834,16,-43.995532274246216,0.002033233642578125,0.2,-0.024201674503274262,240,0.048671400058083236,0.0004092704424510632,0.022400334,1.0002604722976685,0.260009765625,-0.02072988450527191,1257.0,-2.9664444999999997
4,8704,1834,17,-43.99662137031555,0.02300703525543213,0.2,-0.029754086237517186,256,0.012338401167653501,0.0004092704424510632,0.030782033,1.0018770694732666,0.312255859375,-0.047071658074855804,1257.0,-2.9664444999999997
5,9216,1834,18,-44.053399205207825,-0.02948892116546631,0.2,-0.02504152391338721,272,0.004891102755209431,0.0004092704424510632,0.016877603,1.0030896663665771,0.2213134765625,-0.03110778145492077,1257.0,-2.9603372857142856
5,9728,1834,19,-44.06287240982056,0.0026518702507019043,0.2,-0.024273990682559088,288,0.08463558554649353,0.0004092704424510632,0.018067876,1.0025012493133545,0.252197265625,0.012948527932167053,1257.0,-2.9603372857142856
5,10240,1833,20,-44.04019844532013,-0.2064964771270752,0.2,-0.024404709809459746,304,0.004546857759123668,0.0004092704424510632,0.01545935,1.001672625541687,0.221435546875,-0.03849735110998154,1257.0,-2.958271
5,10752,1833,21,-44.01668119430542,0.008079588413238525,0.2,-0.025645628396887332,320,0.07084307866171002,0.0004092704424510632,0.017060978,1.0009338855743408,0.2481689453125,0.009252214804291725,1257.0,-2.958271
6,11264,1831,22,-43.99602949619293,0.05562317371368408,0.2,-0.025160190474707633,336,0.017587065318366513,0.0004092704424510632,0.020033166,1.0006518363952637,0.229248046875,-0.02305096760392189,1257.0,-2.958271
6,11776,1832,23,-43.989959359169006,-0.0053414106369018555,0.2,-0.026479524225578643,352,0.004674889438319951,0.0004092704424510632,0.019123964,1.0005406141281128,0.2449951171875,-0.03846587613224983,1257.0,-2.958555222222222
