time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,512,4043,1,,,,,,,,,,,,,
0,1024,2375,2,-44.021223068237305,-0.7220141887664795,0.2,-0.030651724635390565,16,0.12038346046756487,0.0004092704424510632,0.01928331,1.0023274421691895,0.25732421875,-0.033554062247276306,,
0,1536,2127,3,-44.0796103477478,-0.016443252563476562,0.2,-0.03170128473720979,32,0.0046975967634352855,0.0004092704424510632,0.02179357,1.0034973621368408,0.282958984375,-0.03935819864273071,1257.0,-3.171063
1,2048,1997,4,-44.08251512050629,0.0018299221992492676,0.2,-0.030358822114067152,48,0.02655823656823486,0.0004092704424510632,0.019235695,1.0024406909942627,0.2943115234375,-0.01996750757098198,1257.0,-3.171063
1,2560,1925,5,-44.04739451408386,-0.011267542839050293,0.2,-0.024636940244818106,64,0.006569281191332266,0.0004092704424510632,0.016353492,1.0015724897384644,0.273193359375,-0.03811345994472504,1257.0,-3.1419935
1,3072,1886,6,-44.0184862613678,-0.0012137889862060547,0.2,-0.025942551423213445,80,0.045203231973573565,0.0004092704424510632,0.01636762,1.0005183219909668,0.26416015625,-0.012796672061085701,1257.0,-3.1419935
1,3584,1855,7,-43.96960365772247,-0.0020003318786621094,0.2,-0.026165648276219144,96,0.015007453359430656,0.0004092704424510632,0.01943032,0.9985313415527344,0.24169921875,-0.030224882066249847,1257.0,-3.1419935
2,4096,1842,8,-43.92403316497803,0.0009310245513916016,0.2,-0.02890398995077703,112,0.005710447585443035,0.0004092704424510632,0.01943712,0.997901976108551,0.2901611328125,-0.040296223014593124,1257.0,-3.1217726666666668
2,4608,1830,9,-43.90770959854126,-4.589557647705078e-05,0.2,-0.030887581524439156,128,0.08029362908564508,0.0004092704424510632,0.024475597,0.9970357418060303,0.3365478515625,-0.00021465495228767395,1257.0,-3.1217726666666668
2,5120,1816,10,-43.870187878608704,-0.016980767250061035,0.2,-0.02867355235503055,144,0.0023402166516461875,0.0004092704424510632,0.014094576,0.9959444999694824,0.23095703125,-0.03847607597708702,1257.0,-3.13771025
3,5632,1801,11,-43.83175027370453,0.001049041748046875,0.2,-0.029944372654426843,160,0.08051308314315975,0.0004092704424510632,0.017242596,0.9945309162139893,0.2972412109375,0.0036470629274845123,1257.0,-3.13771025
3,6144,1795,12,-43.79694318771362,-0.0046874284744262695,0.2,-0.024913104716688395,176,0.010719614059780724,0.0004092704424510632,0.017734008,0.9941248297691345,0.267333984375,-0.03590516746044159,1257.0,-3.13771025
3,6656,1789,13,-43.789618730545044,-0.0007246732711791992,0.2,-0.02478281219373457,192,0.006395567208528519,0.0004092704424510632,0.014497368,0.9936749935150146,0.2216796875,-0.0240044966340065,1257.0,-3.1331932
4,7168,1783,14,-43.79340207576752,0.001535177230834961,0.2,-0.02466538082808256,208,0.12422842672094703,0.0004092704424510632,0.019029794,0.9945980310440063,0.2960205078125,0.019487906247377396,1257.0,-3.1331932
4,7680,1775,15,-43.81866645812988,-0.42574918270111084,0.2,-0.030538479186361656,224,0.006382842435414204,0.0004092704424510632,0.016578088,0.9952493906021118,0.248291015625,-0.04498164728283882,1257.0,-3.1129035000000003
4,8192,1770,16,-43.82087254524231,0.018022775650024414,0.2,-0.021718758915085346,240,0.12560604722239077,0.0004092704424510632,0.014986303,0.9942418932914734,0.1875,0.02087586000561714,1257.0,-3.1129035000000003
4,8704,1772,17,-43.77033472061157,-0.05419909954071045,0.2,-0.020946956850821152,256,0.01053853980556596,0.0004092704424510632,0.015326401,0.9923949837684631,0.179443359375,-0.02680504135787487,1257.0,-3.1129035000000003
5,9216,1767,18,-43.72982835769653,0.0011534690856933594,0.2,-0.030799005064181983,272,0.005191142889088951,0.0004092704424510632,0.016919985,0.9918733835220337,0.2977294921875,-0.04014289006590843,1257.0,-3.095387142857143
5,9728,1766,19,-43.7097225189209,0.0004093050956726074,0.2,-0.023657967933104374,288,0.1790719418786466,0.0004092704424510632,0.018339032,0.9908310770988464,0.244384765625,0.05669212341308594,1257.0,-3.095387142857143
5,10240,1761,20,-43.696094393730164,-0.024489521980285645,0.2,-0.02454065711935982,304,0.004060879226017278,0.0004092704424510632,0.021695327,0.991443932056427,0.2816162109375,-0.030859483405947685,1257.0,-3.0961286250000004
6,10752,1757,21,-43.6997447013855,0.0012207627296447754,0.2,-0.03181922421208583,320,0.16724871844053268,0.0004092704424510632,0.025098398,0.9902742505073547,0.291015625,0.05536865442991257,1257.0,-3.0961286250000004
6,11264,1756,22,-43.6615846157074,0.003016948699951172,0.2,-0.025921426713466644,336,0.009637779672630131,0.0004092704424510632,0.02922827,0.9900632500648499,0.299560546875,-0.029235336929559708,1257.0,-3.0961286250000004
6,11776,1754,23,-43.6585636138916,-0.0003123283386230469,0.2,-0.02831437088025268,352,0.00500376208947273,0.0004092704424510632,0.019940607,0.989470899105072,0.2596435546875,-0.026824919506907463,1257.0,-3.0957310000000002
7,12288,1750,24,-43.63238799571991,0.002209305763244629,0.2,-0.026009320761659183,368,0.2001631068997085,0.0004092704424510632,0.024417758,0.9887022376060486,0.334228515625,0.05875164270401001,1257.0,-3.0957310000000002
7,12800,1747,25,-43.62709629535675,-0.1859506368637085,0.2,-0.026121271424926817,384,0.0035848783591063693,0.0004092704424510632,0.021047678,0.98957759141922,0.2913818359375,-0.03689225763082504,1257.0,-3.0839653
7,13312,1745,26,-43.6414440870285,0.0016396641731262207,0.2,-0.019603800697950646,400,0.21202640561386943,0.0004092704424510632,0.012889038,0.9886601567268372,0.2108154296875,0.08812864869832993,1257.0,-3.0839653
7,13824,1743,27,-43.6095290184021,0.017328083515167236,0.2,-0.025462658260948956,416,0.012443276325939223,0.0004092704424510632,0.020642024,0.9883924126625061,0.293212890625,-0.03056476265192032,1257.0,-3.0839653
8,14336,1740,28,-43.58832144737244,0.07216954231262207,0.2,-0.025083354965317994,432,0.007044710233458318,0.0004092704424510632,0.013539892,0.986804723739624,0.21826171875,-0.020841212943196297,1257.0,-3.0778295454545455
8,14848,1740,29,-43.548221588134766,0.006190836429595947,0.2,-0.01715773386240471,448,0.04456238335114904,0.0004092704424510632,0.022849461,0.9867395162582397,0.220458984375,-0.0037957634776830673,1257.0,-3.0778295454545455
8,15360,1739,30,-43.58779299259186,-0.09012055397033691,0.2,-0.025048923678696156,464,0.00832726137014106,0.0004092704424510632,0.01765322,0.9893194437026978,0.241943359375,-0.04273974895477295,1257.0,-3.0696715
9,15872,1736,31,-43.65009880065918,0.004055202007293701,0.2,-0.02728021767688915,480,0.27045399649068713,0.0004092704424510632,0.03001028,0.9898325800895691,0.3155517578125,0.06616847217082977,1257.0,-3.0696715
9,16384,1736,32,-43.67776083946228,0.005081593990325928,0.2,-0.021159988886211067,496,0.01022690518584568,0.0004092704424510632,0.019308958,0.9921448826789856,0.2490234375,-0.02582264319062233,1257.0,-3.0836508461538465
9,16896,1734,33,-43.731104373931885,0.07098829746246338,0.2,-0.02734124484413769,512,0.2272834051400423,0.0004092704424510632,0.033865098,0.9924010038375854,0.3310546875,0.07134836912155151,1257.0,-3.0836508461538465
10,17408,1732,34,-43.71709167957306,-0.666682243347168,0.2,-0.02451875248516444,528,0.022822082799393684,0.0004092704424510632,0.01627737,0.9910566210746765,0.2230224609375,-0.04006076231598854,1257.0,-3.0836508461538465
10,17920,1733,35,-43.67138957977295,-0.09677612781524658,0.2,-0.023219296912429854,544,0.005336593836545944,0.0004092704424510632,0.017980337,0.9902679920196533,0.231201171875,-0.035710111260414124,1257.0,-3.083245928571429
