train/ent_coef_loss,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/critic_loss,train/actor_loss,time/episodes,train/n_updates
-178.8546600341797,0.0008459126528049375,1258.0,5032,0.017241783440113068,175,-4.8132055,28,2.2709147930145264,-123.04163360595703,4,4931
-11.766365051269531,0.0008459126528049375,1258.0,10064,0.000987591571174562,356,-3.99160925,28,4.124119281768799,-130.585693359375,8,9963
95.51625061035156,0.0008459126528049375,1258.0,15096,0.0010953990276902914,543,-3.2869104999999994,27,6.7292890548706055,-130.60084533691406,12,14995
52.202056884765625,0.0008459126528049375,1258.0,20128,0.0015830552438274026,713,-2.9421445000000004,28,7.965367794036865,-129.86618041992188,16,20027
-59.373779296875,0.0008459126528049375,1258.0,25160,0.001241629128344357,6,-2.7380561500000002,26,7.032860279083252,-113.02638244628906,20,25059
-24.433990478515625,0.0008459126528049375,1258.0,30192,0.0013050420675426722,168,-2.5793135416666666,30,2.6479644775390625,-112.65554809570312,24,30091
10.286297798156738,0.0008459126528049375,1258.0,35224,0.00087139563402161,326,-2.4743849285714288,31,2.386847496032715,-112.00859069824219,28,35123
36.922733306884766,0.0008459126528049375,1258.0,40256,0.00046910930541343987,517,-2.4183076562499997,29,1.4406821727752686,-110.65962219238281,32,40155
-105.40789794921875,0.0008459126528049375,1258.0,45288,0.0004668069595936686,706,-2.3710391388888885,28,2.4539217948913574,-104.45336151123047,36,45187
39.774078369140625,0.0008459126528049375,1258.0,50320,0.00045146705815568566,10,-2.322565625,31,1.6011792421340942,-101.29135131835938,40,50219
482.66766357421875,0.0008459126528049375,1258.0,55352,0.0006030296790413558,187,-2.275338090909091,28,65.45349884033203,-70.866455078125,44,55251
14.168548583984375,0.0008459126528049375,1258.0,60384,0.0007841151091270149,375,-2.2359824375,27,7.304634094238281,-52.1609001159668,48,60283
-20.51142120361328,0.0008459126528049375,1258.0,65416,0.0006381815182976425,562,-2.2033057692307696,27,6.620114326477051,-46.36802291870117,52,65315
-33.792972564697266,0.0008459126528049375,1258.0,70448,0.0014332672581076622,749,-2.16895925,27,22.911312103271484,-37.40614318847656,56,70347
26.762638092041016,0.0008459126528049375,1258.0,75480,0.0034177186898887157,18,-2.1242737000000003,26,12.315786361694336,-30.83185577392578,60,75379
25.138452529907227,0.0008459126528049375,1258.0,80512,0.0009651764412410557,184,-2.110430921875,29,18.19784164428711,-24.86260414123535,64,80411
-46.50213623046875,0.0008459126528049375,1258.0,85544,0.0008088212343864143,342,-2.080876294117647,30,7.277797698974609,-16.928014755249023,68,85443
19.807680130004883,0.0008459126528049375,1258.0,90576,0.0013324973406270146,492,-2.044974041666667,31,4.491052627563477,-16.14948081970215,72,90475
-19.527904510498047,0.0008459126528049375,1258.0,95608,0.001434028148651123,640,-2.016236184210526,32,6.510958671569824,1.062153935432434,76,95507
