train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/ent_coef,train/actor_loss,rollout/ep_rew_mean
-150.59063720703125,1223.0,4892,12,0.0008459126528049375,2.5017480850219727,400,4791,4,0.019428910687565804,-122.0804672241211,-4.52869575
-105.8582763671875,1223.0,9784,11,0.0008459126528049375,0.9503834247589111,822,9683,8,0.0012658392079174519,-127.47786712646484,-3.4013535
-2.9345076084136963,1223.0,14676,11,0.0008459126528049375,126.97789001464844,1260,14575,12,0.0010520454961806536,-128.512451171875,-2.6951110833333334
26.823820114135742,1223.0,19568,11,0.0008459126528049375,65.63748168945312,1708,19467,16,0.0007458266336470842,-133.28353881835938,-2.3435449375
27.420379638671875,1223.0,24460,11,0.0008459126528049375,65.32223510742188,2155,24359,20,0.0006890444783493876,-135.39923095703125,-2.13027085
50.25162887573242,1223.0,29352,10,0.0008459126528049375,1.390965461730957,397,29251,24,0.0006678517675027251,-137.19615173339844,-1.9986167083333335
-0.636376142501831,1223.0,34244,11,0.0008459126528049375,1.297270655632019,838,34143,28,0.001028873142786324,-139.81207275390625,-1.914580035714286
-12.616305351257324,1223.0,39136,11,0.0008459126528049375,1.6916329860687256,1279,39035,32,0.0009502934408374131,-140.32667541503906,-1.8521803437499997
24.052629470825195,1223.0,44028,11,0.0008459126528049375,2.30264949798584,1712,43927,36,0.000757977832108736,-142.6595458984375,-1.8104719166666665
-14.963470458984375,1223.0,48920,11,0.0008459126528049375,67.73202514648438,2142,48819,40,0.0013306160690262914,-145.31617736816406,-1.7748670999999998
61.17454528808594,1223.0,53812,11,0.0008459126528049375,2.5688018798828125,342,53711,44,0.001420839224010706,-147.69674682617188,-1.7272752954545452
-20.595623016357422,1223.0,58704,11,0.0008459126528049375,3.6020684242248535,784,58603,48,0.0010809566592797637,-148.26019287109375,-1.6845511041666665
37.82148361206055,1223.0,63596,11,0.0008459126528049375,4.928670883178711,1222,63495,52,0.0014999712584540248,-150.78335571289062,-1.6528636538461539
82.15798950195312,1223.0,68488,11,0.0008459126528049375,3.0629773139953613,1660,68387,56,0.0012933674734085798,-153.97265625,-1.6293491607142858
-0.9270948767662048,1223.0,73380,11,0.0008459126528049375,2.6306114196777344,2096,73279,60,0.0010126882698386908,-155.0595245361328,-1.6101048666666666
24.528738021850586,1223.0,78272,10,0.0008459126528049375,3.2883777618408203,304,78171,64,0.0014653984690085053,-152.9092254638672,-1.588656875
39.97917556762695,1223.0,83164,10,0.0008459126528049375,60.01465606689453,768,83063,68,0.002090687397867441,-158.14315795898438,-1.578778705882353
7.198026657104492,1223.0,88056,10,0.0008459126528049375,153.71453857421875,1239,87955,72,0.001822864986024797,-156.03672790527344,-1.5689355972222223
17.605560302734375,1223.0,92948,10,0.0008459126528049375,4.169522285461426,1684,92847,76,0.001965160947293043,-158.98509216308594,-1.5557892236842106
