time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/episodes,train/ent_coef_loss,time/fps
152,-4.573906,-120.2575454711914,4927,0.0172559954226017,1257.0,5028,0.0008459126528049375,49.150787353515625,4,-168.7576446533203,32
317,-3.442097,-125.53997802734375,9955,0.0008864874835126102,1257.0,10056,0.0008459126528049375,3.2826085090637207,8,-33.56450653076172,31
483,-2.7177469166666666,-128.76956176757812,14983,0.0007980818627402186,1257.0,15084,0.0008459126528049375,41.52259826660156,12,-32.47785949707031,31
634,-2.3597151875,-128.48387145996094,20011,0.0009222285007126629,1257.0,20112,0.0008459126528049375,4.795809745788574,16,-1.6129446029663086,31
4,-2.1924949000000002,-119.0964584350586,25039,0.0009225530666299164,1257.0,25140,0.0008459126528049375,4.8292694091796875,20,16.91327667236328,29
170,-2.061575625,-115.96846008300781,30067,0.0009105567587539554,1257.0,30168,0.0008459126528049375,3.6383118629455566,24,-6.090962886810303,30
335,-1.932295392857143,-113.76139068603516,35095,0.0006427925545722246,1257.0,35196,0.0008459126528049375,3.8672213554382324,28,64.73609161376953,30
496,-1.8801936874999998,-98.80842590332031,40123,0.0007819722522981465,1257.0,40224,0.0008459126528049375,5.140052795410156,32,-33.487831115722656,30
655,-1.8436730277777775,-72.55156707763672,45151,0.0015581712359562516,1257.0,45252,0.0008459126528049375,4.5403265953063965,36,-38.70044708251953,30
8,-1.802327425,-55.70392608642578,50179,0.0007525394321419299,1257.0,50280,0.0008459126528049375,6.538006782531738,40,83.45894622802734,33
172,-1.7591346363636362,-47.133853912353516,55207,0.0007090276922099292,1257.0,55308,0.0008459126528049375,1.5752952098846436,44,94.35244750976562,30
337,-1.7342809583333334,-38.357025146484375,60235,0.0009766542352735996,1257.0,60336,0.0008459126528049375,6.861577033996582,48,-62.86908721923828,30
494,-1.6922639807692308,-36.45376205444336,65263,0.0010034313891083002,1257.0,65364,0.0008459126528049375,1.5603947639465332,52,-12.152016639709473,31
660,-1.6600323750000001,-33.42195129394531,70291,0.00045241654152050614,1257.0,70392,0.0008459126528049375,1.0581183433532715,56,16.687219619750977,30
14,-1.630566966666667,-29.22402572631836,75319,0.0004250795755069703,1257.0,75420,0.0008459126528049375,20.66141128540039,60,75.23217010498047,28
186,-1.6083426093750002,-14.853841781616211,80347,0.0005073868087492883,1257.0,80448,0.0008459126528049375,2.1709940433502197,64,-20.328514099121094,29
364,-1.5871206323529414,-11.57762622833252,85375,0.00047876100870780647,1257.0,85476,0.0008459126528049375,0.8441413044929504,68,-13.023935317993164,28
544,-1.562704111111111,-6.9807000160217285,90403,0.00032573865610174835,1257.0,90504,0.0008459126528049375,1.2293932437896729,72,-1.8319110870361328,28
722,-1.5323877236842103,-3.7671775817871094,95431,0.0005323037621565163,1257.0,95532,0.0008459126528049375,1.6017951965332031,76,-7.434095859527588,28
