time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/episodes,train/ent_coef_loss,time/fps
152,-4.328641,-120.51495361328125,4927,0.017164403572678566,1257.0,5028,0.0008459126528049375,1.8553006649017334,4,-184.4754638671875,32
309,-3.28563475,-123.4341049194336,9955,0.001400304725393653,1257.0,10056,0.0008459126528049375,6.472984313964844,8,-26.87558364868164,32
455,-2.6562361666666665,-120.62336730957031,14983,0.0007337403949350119,1257.0,15084,0.0008459126528049375,3.802708625793457,12,-0.7436375021934509,33
588,-2.342509625,-119.38301086425781,20011,0.0010055388556793332,1257.0,20112,0.0008459126528049375,2.6435203552246094,16,8.465432167053223,34
3,-2.1538931500000005,-107.60893249511719,25039,0.0008836438646540046,1257.0,25140,0.0008459126528049375,7.694365978240967,20,15.792635917663574,43
148,-2.0313274166666666,-102.21830749511719,30067,0.0007890310953371227,1257.0,30168,0.0008459126528049375,8.449786186218262,24,-51.42271423339844,34
274,-1.9486373928571428,-76.09626770019531,35095,0.0034051004331558943,1257.0,35196,0.0008459126528049375,71.59274291992188,28,36.65761947631836,37
415,-1.8933290937499998,-49.2481689453125,40123,0.0013649287866428494,1257.0,40224,0.0008459126528049375,9.022918701171875,32,2.318372964859009,36
559,-1.8519382500000003,-43.661224365234375,45151,0.00042790392762981355,1257.0,45252,0.0008459126528049375,14.448407173156738,36,38.426849365234375,36
7,-1.812445575,-28.516605377197266,50179,0.00022192357573658228,1257.0,50280,0.0008459126528049375,3.3386216163635254,40,58.97723388671875,37
136,-1.7756675681818186,-13.780091285705566,55207,0.0011820036452263594,1257.0,55308,0.0008459126528049375,6.561398029327393,44,-49.72652816772461,38
280,-1.7354760416666668,0.5006332993507385,60235,0.001082441071048379,1257.0,60336,0.0008459126528049375,13.228120803833008,48,-15.85445785522461,36
396,-1.7250836923076922,13.42898178100586,65263,0.0004085360560566187,1257.0,65364,0.0008459126528049375,3.6487855911254883,52,16.06236457824707,38
511,-1.71449575,28.41604995727539,70291,0.00040567084215581417,1257.0,70392,0.0008459126528049375,1.976777195930481,56,-101.52043151855469,39
14,-1.7107680333333337,33.90807342529297,75319,0.00044692555093206465,1257.0,75420,0.0008459126528049375,2.1692123413085938,60,-32.425479888916016,29
164,-1.6957740000000001,39.20551300048828,80347,0.00043342052958905697,1257.0,80448,0.0008459126528049375,3.090057849884033,64,53.6235466003418,33
312,-1.6870223088235294,45.67958450317383,85375,0.00033554277615621686,1257.0,85476,0.0008459126528049375,1.3038837909698486,68,51.81413269042969,33
484,-1.6675556805555558,50.01317596435547,90403,0.0002660374448169023,1257.0,90504,0.0008459126528049375,1.3985700607299805,72,-13.658193588256836,31
657,-1.6552593421052635,54.30665969848633,95431,0.0002967313048429787,1257.0,95532,0.0008459126528049375,1.3490478992462158,76,9.586837768554688,31
