train/n_updates,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/fps,train/ent_coef_loss,time/total_timesteps
4931,4,0.0008459126528049375,-4.21062325,-122.10245513916016,0.017508091405034065,1258.0,1.9001058340072632,137,36,-154.19374084472656,5032
9963,8,0.0008459126528049375,-3.120459625,-127.85514068603516,0.0011297116288915277,1258.0,0.8218544721603394,277,36,108.74134063720703,10064
14995,12,0.0008459126528049375,-2.5961839166666665,-130.6815185546875,0.0009796383092179894,1258.0,2.013185501098633,420,35,36.757171630859375,15096
20027,16,0.0008459126528049375,-2.2860784375,-134.06532287597656,0.0007856128504499793,1258.0,1.7100927829742432,566,35,-13.927069664001465,20128
25059,20,0.0008459126528049375,-2.08632515,-137.8952178955078,0.0008267185185104609,1258.0,63.273704528808594,5,27,39.825782775878906,25160
30091,24,0.0008459126528049375,-2.0023428333333335,-139.79872131347656,0.0006260095979087055,1258.0,1.7025789022445679,167,30,-26.64935302734375,30192
35123,28,0.0008459126528049375,-1.8714993928571428,-139.7757110595703,0.0007654184009879827,1258.0,1.9919520616531372,344,29,53.424373626708984,35224
40155,32,0.0008459126528049375,-1.80232046875,-141.47134399414062,0.0005213128169998527,1258.0,5.377569198608398,493,30,64.5755615234375,40256
45187,36,0.0008459126528049375,-1.7279576388888889,-142.9544219970703,0.00046256903442554176,1258.0,2.8941526412963867,641,31,36.50633239746094,45288
50219,40,0.0008459126528049375,-1.6557252500000001,-141.22964477539062,0.0006521300529129803,1258.0,51.010047912597656,11,27,-68.53845977783203,50320
55251,44,0.0008459126528049375,-1.6041489318181816,-144.6093292236328,0.0005641629686579108,1258.0,3.913985252380371,197,27,63.63759231567383,55352
60283,48,0.0008459126528049375,-1.5702597291666667,-140.8057098388672,0.00030074029928073287,1258.0,3.694939613342285,384,27,7.996797561645508,60384
65315,52,0.0008459126528049375,-1.551050807692308,-133.3618621826172,0.0005759207997471094,1258.0,3.534684181213379,572,26,62.95094299316406,65416
70347,56,0.0008459126528049375,-1.5181939642857145,-133.57284545898438,0.0005531413480639458,1258.0,2.8268823623657227,761,26,-3.5303075313568115,70448
75379,60,0.0008459126528049375,-1.4851063833333336,-135.36614990234375,0.0006874645478092134,1258.0,3.1315693855285645,18,25,27.723939895629883,75480
80411,64,0.0008459126528049375,-1.459934734375,-128.08924865722656,0.0008410249720327556,1258.0,41.752750396728516,200,27,1.1648528575897217,80512
85443,68,0.0008459126528049375,-1.4418059264705883,-128.05174255371094,0.0007450112607330084,1258.0,4.131864547729492,364,28,52.54617691040039,85544
90475,72,0.0008459126528049375,-1.4157646805555555,-122.65121459960938,0.0008242037147283554,1258.0,5.127463340759277,552,28,-9.362560272216797,90576
