train/critic_loss,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/n_updates,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/ent_coef
52.11518096923828,1223.0,4,-181.56578063964844,4791,11,-4.185953499999999,409,4892,0.0008459126528049375,-120.68669128417969,0.019353266805410385
1.7775309085845947,1223.0,8,-44.78701400756836,9683,11,-3.2594875,827,9784,0.0008459126528049375,-128.1969451904297,0.0012580370530486107
3.6233205795288086,1223.0,12,39.88475799560547,14575,11,-2.650226,1251,14676,0.0008459126528049375,-131.3731231689453,0.0007288831402547657
3.7427895069122314,1223.0,16,-19.047714233398438,19467,11,-2.2928761250000003,1677,19568,0.0008459126528049375,-136.06735229492188,0.0009683904936537147
11.8230619430542,1223.0,20,-7.945700168609619,24359,11,-2.03265575,2103,24460,0.0008459126528049375,-136.10162353515625,0.0021509057842195034
28.564359664916992,1223.0,24,-6.822530269622803,29251,11,-1.9052028749999999,379,29352,0.0008459126528049375,-133.2688751220703,0.0014352984726428986
47.35942459106445,1223.0,28,133.17408752441406,34143,11,-1.7957414285714284,805,34244,0.0008459126528049375,-117.51981353759766,0.0019536688923835754
14.296135902404785,1223.0,32,8.188026428222656,39035,11,-1.73479646875,1231,39136,0.0008459126528049375,-95.50527954101562,0.000809064251370728
1.1677206754684448,1223.0,36,-37.86394500732422,43927,11,-1.6696407777777778,1655,44028,0.0008459126528049375,-91.19989776611328,0.001009509083814919
1.8148162364959717,1223.0,40,-30.87858009338379,48819,11,-1.622960475,2078,48920,0.0008459126528049375,-86.7984619140625,0.0005590126966126263
1.3079979419708252,1223.0,44,12.271141052246094,53711,11,-1.5654195,329,53812,0.0008459126528049375,-82.35318756103516,0.000779859081376344
11.93457317352295,1223.0,48,60.8951416015625,58603,11,-1.5334542916666667,755,58704,0.0008459126528049375,-79.56143188476562,0.0008662927430123091
10.823249816894531,1223.0,52,9.52045726776123,63495,11,-1.4898888076923076,1179,63596,0.0008459126528049375,-73.51727294921875,0.0012935636332258582
3.3745052814483643,1223.0,56,-17.395301818847656,68387,11,-1.4559604464285714,1606,68488,0.0008459126528049375,-68.69183349609375,0.0014584087766706944
7.742551326751709,1223.0,60,-5.648278713226318,73279,11,-1.4331768166666665,2036,73380,0.0008459126528049375,-64.35295867919922,0.0021588311064988375
11.401590347290039,1223.0,64,102.20620727539062,78171,11,-1.4091767499999999,296,78272,0.0008459126528049375,-61.249794006347656,0.0006913145771250129
62.75090789794922,1223.0,68,-28.928531646728516,83063,11,-1.39627725,742,83164,0.0008459126528049375,-54.451541900634766,0.0022437910083681345
44.09956359863281,1223.0,72,30.840600967407227,87955,11,-1.3777024861111111,1186,88056,0.0008459126528049375,-44.43013000488281,0.0019983057864010334
25.50374412536621,1223.0,76,4.998432636260986,92847,11,-1.3660622631578947,1630,92948,0.0008459126528049375,-34.388526916503906,0.003345817793160677
