rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,time/episodes,train/learning_rate,train/n_updates,time/fps
1258.0,0.017548711970448494,-123.28378295898438,-161.5142822265625,-4.34195375,2.5132896900177,442,5032,4,0.0008459126528049375,4931,11
1258.0,0.0012030007783323526,-129.52276611328125,-32.21424865722656,-3.35087475,3.777709484100342,913,10064,8,0.0008459126528049375,9963,11
1258.0,0.0007797928992658854,-134.72076416015625,3.741489887237549,-2.6932658333333332,4.967902660369873,1393,15096,12,0.0008459126528049375,14995,10
1258.0,0.0010078882332891226,-138.7760467529297,-70.10417938232422,-2.365366625,5.835277557373047,1861,20128,16,0.0008459126528049375,20027,10
1258.0,0.0007531712763011456,-140.25704956054688,-8.525968551635742,-2.1497284,7.767663955688477,14,25160,20,0.0008459126528049375,25059,11
1258.0,0.0010762038873508573,-125.89552307128906,-46.83659362792969,-2.03037825,11.498758316040039,480,30192,24,0.0008459126528049375,30091,10
1258.0,0.0011343149235472083,-121.1015625,58.30437469482422,-1.9417969999999998,4.066632270812988,954,35224,28,0.0008459126528049375,35123,10
1258.0,0.0015298932557925582,-95.68638610839844,-1.4632236957550049,-1.8639393125,11.515225410461426,1429,40256,32,0.0008459126528049375,40155,10
1258.0,0.001019280287437141,-90.5028076171875,-51.56693649291992,-1.8231532499999998,5.130534648895264,1905,45288,36,0.0008459126528049375,45187,10
1258.0,0.000386771687772125,-88.9864730834961,26.59101104736328,-1.809754725,2.858522653579712,30,50320,40,0.0008459126528049375,50219,10
1258.0,0.0003648707061074674,-86.65237426757812,-61.401893615722656,-1.7638153181818177,1.256930947303772,487,55352,44,0.0008459126528049375,55251,10
1258.0,0.001270333188585937,-57.65138244628906,-23.131450653076172,-1.7137052291666663,10.88026237487793,951,60384,48,0.0008459126528049375,60283,10
1258.0,0.0016378528671339154,-51.416038513183594,-37.765682220458984,-1.6985280384615382,12.164201736450195,1421,65416,52,0.0008459126528049375,65315,10
1258.0,0.0013501826906576753,-44.734046936035156,-27.537124633789062,-1.6651357678571428,13.046001434326172,1877,70448,56,0.0008459126528049375,70347,10
1258.0,0.0007610057946294546,-37.37909698486328,-33.116024017333984,-1.6552202666666664,13.048404693603516,45,75480,60,0.0008459126528049375,75379,10
1258.0,0.000735263922251761,-30.884782791137695,29.685823440551758,-1.635410109375,6.131560325622559,525,80512,64,0.0008459126528049375,80411,10
1258.0,0.0007141638780012727,-25.652679443359375,1.4272053241729736,-1.6290216764705883,4.264465808868408,1004,85544,68,0.0008459126528049375,85443,10
1258.0,0.0009629087871871889,-16.992265701293945,-6.145671844482422,-1.6193552638888888,4.046288967132568,1479,90576,72,0.0008459126528049375,90475,10
