time/fps,train/n_updates,train/critic_loss,time/episodes,train/ent_coef,train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
23,4931,0.677526593208313,4,0.017349442467093468,0.0008459126528049375,5032,-178.28550720214844,-122.28556060791016,-4.891425,210,1258.0
24,9963,1.698202133178711,8,0.0010289541678503156,0.0008459126528049375,10064,-33.58380889892578,-131.2692108154297,-3.6891271249999997,418,1258.0
24,14995,2.1832776069641113,12,0.0009317797957919538,0.0008459126528049375,15096,-50.27094268798828,-134.37631225585938,-3.0252763333333337,616,1258.0
24,20027,2.311436414718628,16,0.0008939252584241331,0.0008459126528049375,20128,-17.71105194091797,-136.01803588867188,-2.6683238124999997,825,1258.0
20,25059,3.234994411468506,20,0.0009289680165238678,0.0008459126528049375,25160,-11.552207946777344,-139.2510986328125,-2.4815441999999996,7,1258.0
18,30091,4.037883281707764,24,0.0007263320148922503,0.0008459126528049375,30192,39.01218032836914,-138.57308959960938,-2.367515875,287,1258.0
17,35123,4.763276100158691,28,0.0005399211659096181,0.0008459126528049375,35224,135.58409118652344,-135.97593688964844,-2.2785688214285713,576,1258.0
17,40155,4.456077575683594,32,0.0006402080762200058,0.0008459126528049375,40256,109.48147583007812,-135.65664672851562,-2.2030820312499997,866,1258.0
17,45187,4.8227996826171875,36,0.00065997225465253,0.0008459126528049375,45288,-53.689453125,-134.56288146972656,-2.1294029166666664,1154,1258.0
17,50219,40.12202835083008,40,0.000682330341078341,0.0008459126528049375,50320,89.85376739501953,-129.53224182128906,-2.074551625,18,1258.0
18,55251,18.093883514404297,44,0.0008814420434646308,0.0008459126528049375,55352,1.5528966188430786,-122.2337875366211,-2.0258354090909094,293,1258.0
18,60283,6.7099714279174805,48,0.0007149471784941852,0.0008459126528049375,60384,-17.96603012084961,-121.39608001708984,-2.0025841875,575,1258.0
17,65315,4.328195571899414,52,0.0010710206115618348,0.0008459126528049375,65416,-7.645166397094727,-123.3100814819336,-1.9867541153846155,863,1258.0
17,70347,36.080047607421875,56,0.0013407728401944041,0.0008459126528049375,70448,77.60438537597656,-115.5788345336914,-1.974647232142857,1142,1258.0
21,75379,5.50883150100708,60,0.0007299537537619472,0.0008459126528049375,75480,-29.066919326782227,-107.5599594116211,-1.964134,22,1258.0
20,80411,9.494575500488281,64,0.001625635544769466,0.0008459126528049375,80512,118.15728759765625,-93.29571533203125,-1.941077625,272,1258.0
20,85443,62.187599182128906,68,0.0033225533552467823,0.0008459126528049375,85544,29.250450134277344,-75.8311996459961,-1.919383970588235,524,1258.0
20,90475,21.507675170898438,72,0.0016253271605819464,0.0008459126528049375,90576,27.39413833618164,-66.9569320678711,-1.906151597222222,767,1258.0
20,95507,16.94692611694336,76,0.001068963436409831,0.0008459126528049375,95608,42.52171325683594,-47.9989128112793,-1.8981166052631577,1020,1258.0
