ticker,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
AAPL,0.027465167631344895,0.003451824029181459,0.029207496231995523,0.021686260745782764,0.008589084729179016,0.011249021925505379,0.03276014179086539,0.013171047573877276,0.00679721478460196,0.03499685035118169
AMGN,0.0413314595556949,0.009997270618038432,0.016531478899470004,0.024742854525131443,0.00976565536234915,0.006089364923312527,0.032578106579911344,0.056087887735601694,0.013281364349004666,0.01608851265859659
AMZN,0.011023422190465983,0.015288592203460058,0.02579336253385052,-0.0015057829880663505,0.0007078564889817272,0.016247374441116357,-0.023531197980435736,-0.0052569111333319075,0.021705272916634873,-0.011832887081657827
AXP,-0.016199424385566492,0.005641505666370423,-0.007227866826684824,0.02114624444853765,-0.002661050053644805,-0.015056051358267538,0.04163697410070659,-0.0021037319908607053,0.024184541898542956,0.011867381222436383
BA,0.021782829083366793,0.017802077568076943,0.05607276455491169,0.03622909904724405,0.03247464609057626,0.04326999440587645,0.03806087888777684,0.051786568902944946,0.029524448199456276,0.01983996558262674
CAT,0.03410649275525014,-0.006700939881067155,0.016942590269751007,0.010531056175028378,0.00427576425427179,0.010032513944910426,-0.01679017169736549,0.014654262908554525,0.04235402353383715,0.023354749433633214
CRM,0.06223680375747326,0.04424849299709305,0.0803266221239704,0.05983367828987789,0.028282047835127996,0.021269441918359194,0.00846542691297888,0.03659843340338657,0.03428683190555003,0.05546602565386171
CSCO,0.057062049812515156,0.05418978384635559,0.04916964804599911,-0.015290526867790625,0.0025392816408783716,0.028894831120486967,0.004664132780363545,0.04628572427950718,0.007890337835523207,0.024116972588781874
CVX,0.027726749046264328,0.024055918830654766,0.02740015333909705,-0.013624945123284075,-0.00030309333536268466,-0.0007154663388767382,0.015696458201979586,0.033706843775001695,-0.017892558707451857,0.024988671670786566
DIS,0.021785594016812983,0.04132111469376514,0.017933223341150946,0.03211754178048169,0.0023326661327814097,0.02924191418197269,0.021478922125943444,0.03802644694726483,0.04032057069154837,0.041644977934936864
GS,-0.008223161035765328,0.059855937269889595,0.034282060877372435,0.02282569781593769,0.028677515297677314,0.008356685137520178,-0.01467007820625447,0.01456529346386791,-0.008065449392477463,0.03465720964864972
HD,0.04871880623464763,0.032695791381107196,0.01963099679771596,0.022165076566775202,0.04405644360180439,0.01617933592584377,-0.009124603700320744,0.03886598275069707,0.009917943243102155,0.012204406744345784
HON,-0.002615581675410327,0.022979020442989023,-0.015899637733012287,0.01673380887070529,0.028084167990685367,0.034845383621152665,0.007900343326754242,0.021449071734968062,0.005607478430991355,0.04805785981655795
