ticker,phi,half_life_days,coverage
AAPL,0.027465470653651868,0.19281802319852703,0.9905561208724976
AMGN,0.041333806299922386,0.21755522905806393,0.854494571685791
AMZN,0.011024708422378897,0.15377244505016308,0.9881077408790588
AXP,-0.016200019828351068,,0.9566282033920288
BA,0.02178308850610107,0.18113816709590763,0.9860091209411621
CAT,0.03410718924746491,0.20517953909019931,0.8527457118034363
CRM,0.06223845683326325,0.2496224522938949,0.4029380977153778
CSCO,0.05706455346410844,0.24205682548611293,0.8261629939079285
CVX,0.02772746897307394,0.19332860640118563,0.9751661419868469
DIS,0.021786246871679474,0.18114503022851883,0.9916054606437683
GS,-0.008223282883121784,,0.9919552206993103
HD,0.04871931404981261,0.22939134564938157,0.5736271142959595
HON,-0.002615726288386805,,0.8870234489440918
IBM,0.007327954422772738,0.14099651747795253,0.9891570210456848
JNJ,0.04360305512593553,0.22126698970312483,0.9524309039115906
JPM,0.052400760616612814,0.23505803991968596,0.9905561208724976
KO,0.03005817346110503,0.19778094346954406,0.44176286458969116
MCD,0.030562037136412937,0.19872357940250893,0.9741168022155762
MMM,0.11801000977985922,0.32435740611879443,0.20916403830051422
MRK,0.029154094414912474,0.19607236930156985,0.8464497923851013
MSFT,0.01690834433493765,0.16989117882048332,0.9919552206993103
NKE,0.06649963433960396,0.2557211350262445,0.6873032450675964
NVDA,0.03295275927000845,0.20310932276238358,0.9874081611633301
PG,0.004103144439775494,0.12611844448043516,0.8824763894081116
SHW,0.08383972843751074,0.27962468750794456,0.3871983289718628
TRV,0.044571136587560525,0.2228289885852288,0.3518712818622589
UNH,0.11907307088563372,0.3257243135624239,0.8461000323295593
V,0.015592778108695516,0.16658397995686047,0.9769150018692017
VZ,0.017188115672995777,0.17057729912735098,0.968170702457428
WMT,0.015099145197969581,0.1653059421898408,0.9916054606437683
