train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef_loss
-121.49010467529297,1.4809002876281738,-5.127922750000001,0.01689065806567669,11,4,1258.0,446,5032,0.0008459126528049375,4931,-184.9844970703125
-129.9764404296875,4.696066379547119,-3.887374875,0.0009442254668101668,11,8,1258.0,898,10064,0.0008459126528049375,9963,-77.82341003417969
-128.05224609375,7.317161560058594,-3.1261197499999995,0.0012387367896735668,11,12,1258.0,1349,15096,0.0008459126528049375,14995,-34.463871002197266
-129.60006713867188,1.3364061117172241,-2.7630003125,0.0009940125746652484,11,16,1258.0,1803,20128,0.0008459126528049375,20027,43.79890441894531
-122.20463562011719,2.8883557319641113,-2.51342965,0.0016240178374573588,10,20,1258.0,14,25160,0.0008459126528049375,25059,23.586071014404297
-117.90402221679688,2.3836660385131836,-2.3834060416666665,0.001337989466264844,10,24,1258.0,475,30192,0.0008459126528049375,30091,7.4777021408081055
-116.42778015136719,5.434854984283447,-2.2649994999999996,0.001040582894347608,10,28,1258.0,933,35224,0.0008459126528049375,35123,50.324039459228516
-116.13845825195312,3.3539388179779053,-2.19713771875,0.0007209398900158703,10,32,1258.0,1395,40256,0.0008459126528049375,40155,78.88146209716797
-109.57209777832031,5.927992343902588,-2.139984388888889,0.0007921985816210508,10,36,1258.0,1860,45288,0.0008459126528049375,45187,-39.274173736572266
-105.14241027832031,8.521322250366211,-2.0964057499999997,0.0007392015540972352,11,40,1258.0,28,50320,0.0008459126528049375,50219,35.662864685058594
-99.18782806396484,4.702706336975098,-2.049286409090909,0.0009412540239281952,10,44,1258.0,492,55352,0.0008459126528049375,55251,-26.436050415039062
-73.63670349121094,4.010401248931885,-2.0255792708333336,0.0009980500908568501,10,48,1258.0,945,60384,0.0008459126528049375,60283,-19.841007232666016
-70.32411193847656,12.128240585327148,-1.989771826923077,0.0017813576851040125,11,52,1258.0,1393,65416,0.0008459126528049375,65315,21.677827835083008
