time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
3,2277,7168,14,0.0005534887313842773,0.9971804618835449,-43.8886137008667,0.06138702854514122,0.2,-0.023527290468337014,-0.005352472886443138,208,0.0004092704424510632,0.2662353515625,0.027976237,-3.125006,1257.0
3,2272,7680,15,-0.036052703857421875,0.9966529011726379,-43.87816548347473,0.004616368991264608,0.2,-0.024373474734602496,-0.027703028172254562,224,0.0004092704424510632,0.24169921875,0.015984345,-3.122578666666666,1257.0
3,2267,8192,16,0.0025953054428100586,0.9959619045257568,-43.8604850769043,0.0629885975504294,0.2,-0.02358041182742454,0.003001667559146881,240,0.0004092704424510632,0.272216796875,0.019655984,-3.122578666666666,1257.0
3,2263,8704,17,-0.03573799133300781,0.9923285245895386,-43.800830364227295,0.004371588489448186,0.2,-0.028900819103000686,-0.030582843348383904,256,0.0004092704424510632,0.261962890625,0.019698437,-3.122578666666666,1257.0
4,2260,9216,18,-0.003908276557922363,0.9942246079444885,-43.74668860435486,0.002367280059843324,0.2,-0.0182211277569877,-0.032167717814445496,272,0.0004092704424510632,0.1661376953125,0.011742898,-3.0543962857142857,1257.0
4,2256,9728,19,0.005381941795349121,0.9958826303482056,-43.82230234146118,0.0814237033482641,0.2,-0.023966488093719818,0.002917790785431862,288,0.0004092704424510632,0.25927734375,0.019729894,-3.0543962857142857,1257.0
4,2254,10240,20,-0.0939399003982544,0.9976497888565063,-43.868029952049255,0.005569560402364004,0.2,-0.023522514762589708,-0.03240888565778732,304,0.0004092704424510632,0.213134765625,0.015437694,-3.0466348749999996,1257.0
4,2251,10752,21,0.002039015293121338,0.9990651607513428,-43.923436760902405,0.10087025538086891,0.2,-0.03215756066492759,0.011901479214429855,320,0.0004092704424510632,0.3138427734375,0.025556307,-3.0466348749999996,1257.0
5,2249,11264,22,-0.11134481430053711,0.9995685815811157,-43.94776666164398,0.002893046723329462,0.2,-0.021679552271962166,-0.03009488806128502,336,0.0004092704424510632,0.2073974609375,0.012560989,-3.0466348749999996,1257.0
5,2246,11776,23,-0.0013849735260009766,1.000152349472046,-43.966657876968384,0.00182529568701284,0.2,-0.025946860725525767,-0.03323105350136757,352,0.0004092704424510632,0.251953125,0.016218726,-3.053594222222222,1257.0
