time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
0,4064,512,1,,,,,,,,,,,,,
0,2694,1024,2,-0.17329347133636475,0.9998630285263062,-43.98839867115021,0.20027003856375813,0.2,-0.03143743039981928,-0.034735433757305145,16,0.0004092704424510632,0.2569580078125,0.019067585,,
0,2430,1536,3,-0.07398676872253418,0.9990244507789612,-43.970096588134766,0.004904317720502149,0.2,-0.02347369267954491,-0.020473690703511238,32,0.0004092704424510632,0.226318359375,0.01521372,-3.082969,1257.0
0,2314,2048,4,0.007689476013183594,1.0006942749023438,-43.97156631946564,0.014444041065871716,0.2,-0.02890491830476094,-0.03381615877151489,48,0.0004092704424510632,0.3016357421875,0.018700983,-3.082969,1257.0
1,2250,2560,5,0.005362808704376221,1.0000829696655273,-44.005568981170654,0.004677181779698003,0.2,-0.02054202280123718,-0.010586938820779324,64,0.0004092704424510632,0.1888427734375,0.013262618,-3.071342,1257.0
1,2213,3072,6,-0.0007216930389404297,0.9999714493751526,-43.98105323314667,0.0027180347315152176,0.2,-0.02663837934960611,-0.027471037581562996,80,0.0004092704424510632,0.250244140625,0.01564302,-3.071342,1257.0
1,2186,3584,7,-9.107589721679688e-05,0.9984751343727112,-43.96571731567383,0.002243160201032879,0.2,-0.03151920343225356,-0.03526802733540535,96,0.0004092704424510632,0.2901611328125,0.015658833,-3.071342,1257.0
1,2165,4096,8,-0.004039168357849121,0.9964960217475891,-43.903865575790405,0.0037140507774893194,0.2,-0.024475471902405843,-0.027048472315073013,112,0.0004092704424510632,0.2127685546875,0.014442867,-3.0837086666666664,1257.0
2,2150,4608,9,0.004242956638336182,0.9963511824607849,-43.86590826511383,0.01110220784903504,0.2,-0.029107711132382974,-0.03872533515095711,128,0.0004092704424510632,0.349853515625,0.02600375,-3.0837086666666664,1257.0
2,2138,5120,10,0.0028641223907470703,0.995299220085144,-43.85470521450043,0.005185172492929269,0.2,-0.025181818680721335,-0.030303580686450005,144,0.0004092704424510632,0.25,0.014545731,-3.04389875,1257.0
2,2128,5632,11,0.004130005836486816,0.9938203692436218,-43.80794930458069,0.014412474731216207,0.2,-0.024366261262912303,-0.021192830055952072,160,0.0004092704424510632,0.297119140625,0.022452144,-3.04389875,1257.0
2,2120,6144,12,0.006407380104064941,0.9945023059844971,-43.79086625576019,0.0030445517513726372,0.2,-0.030562042957171798,-0.04443816468119621,176,0.0004092704424510632,0.2943115234375,0.01630412,-3.04389875,1257.0
3,2114,6656,13,-0.00785362720489502,0.9943156838417053,-43.80961227416992,0.003080136615608353,0.2,-0.024263943603727967,-0.02732097916305065,192,0.0004092704424510632,0.2537841796875,0.018372364,-3.0514441999999997,1257.0
