time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
0,3912,512,1,,,,,,,,,,,,,
0,2339,1024,2,-0.20995938777923584,0.9994255900382996,-43.97831654548645,0.1019734633009648,0.2,-0.028488948184531182,-0.04034982994198799,16,0.0004092704424510632,0.228515625,0.015945286,,
0,2078,1536,3,0.006193697452545166,0.9989385008811951,-43.9600533246994,0.005478799183038063,0.2,-0.02297629175882321,-0.016119273379445076,32,0.0004092704424510632,0.2235107421875,0.014163153,-2.901362,1257.0
1,1967,2048,4,-0.0061681270599365234,0.9994090795516968,-43.95786905288696,0.014149332855595276,0.2,-0.026915660964732524,-0.031978826969861984,48,0.0004092704424510632,0.269775390625,0.023473417,-2.901362,1257.0
1,1907,2560,5,0.005357325077056885,0.9979856610298157,-43.95007252693176,0.005005306389648467,0.2,-0.024636971720610745,-0.0259152390062809,64,0.0004092704424510632,0.2796630859375,0.016245482,-3.0009365,1257.0
1,1868,3072,6,-0.005258798599243164,0.9978717565536499,-43.91658020019531,0.003242295657400973,0.2,-0.027471419132780284,-0.023792728781700134,80,0.0004092704424510632,0.275390625,0.017547537,-3.0009365,1257.0
1,1842,3584,7,0.014619588851928711,0.9963260889053345,-43.898274421691895,0.002647816978424089,0.2,-0.030458129476755857,-0.04803064465522766,96,0.0004092704424510632,0.2935791015625,0.01730154,-3.0009365,1257.0
2,1822,4096,8,0.005637526512145996,0.9951328039169312,-43.84664237499237,0.004604085268510971,0.2,-0.02742194852908142,-0.03456752747297287,112,0.0004092704424510632,0.243408203125,0.016031796,-3.076136333333333,1257.0
2,1807,4608,9,-0.005202054977416992,0.9944754838943481,-43.821290731430054,0.025824922660831362,0.2,-0.028819348837714642,-0.030633240938186646,128,0.0004092704424510632,0.348388671875,0.031474337,-3.076136333333333,1257.0
2,1795,5120,10,0.004615485668182373,0.9952451586723328,-43.81485140323639,0.005680253940226976,0.2,-0.028207027149619535,-0.04206205904483795,144,0.0004092704424510632,0.302734375,0.025203835,-3.0914759999999997,1257.0
3,1786,5632,11,-0.0002644062042236328,0.9941635131835938,-43.82187306880951,0.028705457574687898,0.2,-0.027892847458133474,-0.023357704281806946,160,0.0004092704424510632,0.3033447265625,0.021380566,-3.0914759999999997,1257.0
3,1778,6144,12,-0.00400996208190918,0.9938199520111084,-43.78907775878906,0.0030032118629605975,0.2,-0.025287465134169906,-0.037992462515830994,176,0.0004092704424510632,0.2413330078125,0.01676301,-3.0914759999999997,1257.0
3,1772,6656,13,0.004586935043334961,0.9923111200332642,-43.76870036125183,0.0035184271619073115,0.2,-0.027260729286354035,-0.04373319819569588,192,0.0004092704424510632,0.2442626953125,0.022081371,-3.0892543999999997,1257.0
4,1768,7168,14,0.00036638975143432617,0.9922075867652893,-43.72764801979065,0.04539320955518633,0.2,-0.026243906366289593,-0.005335040390491486,208,0.0004092704424510632,0.2835693359375,0.024577461,-3.0892543999999997,1257.0
4,1764,7680,15,0.02261805534362793,0.9907945990562439,-43.71538257598877,0.005335619855031837,0.2,-0.024477722683514003,-0.026576101779937744,224,0.0004092704424510632,0.2449951171875,0.020925948,-3.0879104999999996,1257.0
4,1761,8192,16,0.0012720227241516113,0.9896056652069092,-43.66587150096893,0.061441821162588894,0.2,-0.025942071864847094,-0.01200810819864273,240,0.0004092704424510632,0.26611328125,0.020418078,-3.0879104999999996,1257.0
4,1759,8704,17,-0.010557770729064941,0.9896723628044128,-43.65159749984741,0.004274279715900775,0.2,-0.027051295910496265,-0.038615986704826355,256,0.0004092704424510632,0.2857666015625,0.020412259,-3.0879104999999996,1257.0
5,1755,9216,18,0.0007004737854003906,0.9896246194839478,-43.64618909358978,0.002572684330516495,0.2,-0.0224968532420462,-0.03027203120291233,272,0.0004092704424510632,0.2164306640625,0.017476989,-3.0940532857142853,1257.0
5,1753,9728,19,0.001716315746307373,0.988582193851471,-43.63156497478485,0.07332170731388032,0.2,-0.023482567426981404,0.005459204316139221,288,0.0004092704424510632,0.246337890625,0.02135453,-3.0940532857142853,1257.0
5,1752,10240,20,-0.0019860267639160156,0.9902759790420532,-43.62956178188324,0.004020763699372765,0.2,-0.022865901642944664,-0.02955741249024868,304,0.0004092704424510632,0.2216796875,0.01411025,-3.0807900000000004,1257.0
6,1750,10752,21,0.002367258071899414,0.9903099536895752,-43.67072248458862,0.07565861183684319,0.2,-0.025441051911911927,0.008840711787343025,320,0.0004092704424510632,0.2874755859375,0.025443172,-3.0807900000000004,1257.0
