time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
0,4064,512,1,,,,,,,,,,,,,
0,2565,1024,2,-0.2775837182998657,0.9982178211212158,-43.96365511417389,0.1522474404919194,0.2,-0.03831879809149541,-0.040117572993040085,16,0.0004092704424510632,0.313232421875,0.025304286,,
0,2291,1536,3,0.0025755763053894043,0.9968631267547607,-43.90507960319519,0.003916394169209525,0.2,-0.030087030565482564,-0.03452884405851364,32,0.0004092704424510632,0.2525634765625,0.02093096,-3.10633,1257.0
0,2174,2048,4,0.0006473064422607422,0.9966185688972473,-43.88136434555054,0.0363273763214238,0.2,-0.026407133307657205,-0.013619184494018555,48,0.0004092704424510632,0.3472900390625,0.021488657,-3.10633,1257.0
1,2108,2560,5,-0.002759218215942383,0.9983348250389099,-43.9019615650177,0.005926573205215391,0.2,-0.027721818696591072,-0.0377437099814415,64,0.0004092704424510632,0.2459716796875,0.01738621,-3.1634504999999997,1257.0
1,2067,3072,6,0.0010363459587097168,0.9989275336265564,-43.94773781299591,0.037068433535750955,0.2,-0.025817267538513988,-0.014214307069778442,80,0.0004092704424510632,0.251220703125,0.016218342,-3.1634504999999997,1257.0
1,2037,3584,7,-0.013865351676940918,0.9998103380203247,-43.96244037151337,0.003099149736954132,0.2,-0.030488203599816188,-0.04449871927499771,96,0.0004092704424510632,0.32568359375,0.026581539,-3.1634504999999997,1257.0
2,2016,4096,8,-0.0009675025939941406,1.0006026029586792,-43.98789596557617,0.004249661185895093,0.2,-0.025723488593939692,-0.03034069389104843,112,0.0004092704424510632,0.2489013671875,0.015808037,-3.2026826666666666,1257.0
2,2001,4608,9,0.002021610736846924,1.0013325214385986,-44.01477861404419,0.06819607596844435,0.2,-0.021638820238877088,0.009060904383659363,128,0.0004092704424510632,0.2769775390625,0.018753275,-3.2026826666666666,1257.0
2,1990,5120,10,-0.0476231575012207,1.0022153854370117,-44.03252911567688,0.005159280066436622,0.2,-0.02024476497899741,-0.02397153154015541,144,0.0004092704424510632,0.211669921875,0.013473377,-3.1935165000000003,1257.0
2,1980,5632,11,0.0010050535202026367,1.003859519958496,-44.07425236701965,0.07681167509872466,0.2,-0.027407251473050565,-0.0030944757163524628,160,0.0004092704424510632,0.3028564453125,0.022991642,-3.1935165000000003,1257.0
3,1971,6144,12,-0.01565420627593994,1.00361967086792,-44.09866940975189,0.0030421100855164696,0.2,-0.03103606908553047,-0.04264525696635246,176,0.0004092704424510632,0.274169921875,0.018078204,-3.1935165000000003,1257.0
3,1963,6656,13,-0.0018663406372070312,1.0050805807113647,-44.1055862903595,0.0034262966000824235,0.2,-0.021321818843716756,-0.028567634522914886,192,0.0004092704424510632,0.1783447265625,0.014235157,-3.1735368,1257.0
3,1956,7168,14,0.002288997173309326,1.0043232440948486,-44.12484431266785,0.09771692915819585,0.2,-0.027299699097056873,0.0016508512198925018,208,0.0004092704424510632,0.318115234375,0.025632976,-3.1735368,1257.0
3,1951,7680,15,-0.17021667957305908,1.0030405521392822,-44.0845764875412,0.004462622855498921,0.2,-0.02625871662166901,-0.04303758218884468,224,0.0004092704424510632,0.23486328125,0.016585283,-3.1787938333333337,1257.0
4,1947,8192,16,0.005999326705932617,1.0020109415054321,-44.05015254020691,0.09974792832508683,0.2,-0.03626260598684894,-0.0023872293531894684,240,0.0004092704424510632,0.3165283203125,0.031814873,-3.1787938333333337,1257.0
4,1942,8704,17,-0.441608190536499,1.0022233724594116,-44.02858865261078,0.005137116961122956,0.2,-0.029135017917724326,-0.03941931203007698,256,0.0004092704424510632,0.276611328125,0.022517053,-3.1787938333333337,1257.0
4,1938,9216,18,-0.0005257129669189453,1.000368356704712,-44.01288056373596,0.002637122950545745,0.2,-0.020299307914683595,-0.028857339173555374,272,0.0004092704424510632,0.187744140625,0.012322588,-3.148677,1257.0
5,1934,9728,19,0.004511058330535889,0.9983642101287842,-43.93722152709961,0.10641398653388023,0.2,-0.029202096862718463,0.012226790189743042,288,0.0004092704424510632,0.2952880859375,0.026878238,-3.148677,1257.0
5,1930,10240,20,-0.3062870502471924,0.9975124597549438,-43.894346594810486,0.006746871295035817,0.2,-0.02399001417506952,-0.03205777704715729,304,0.0004092704424510632,0.22021484375,0.014105422,-3.14102575,1257.0
5,1928,10752,21,0.04123717546463013,0.9957675337791443,-43.86231732368469,0.08941036253236234,0.2,-0.0272820642858278,0.005323547869920731,320,0.0004092704424510632,0.2659912109375,0.020954888,-3.14102575,1257.0
5,1927,11264,22,-1.779029130935669,0.9974342584609985,-43.83977687358856,0.0056395721912849694,0.2,-0.01897496353922179,-0.020823094993829727,336,0.0004092704424510632,0.194580078125,0.014035512,-3.14102575,1257.0
6,1925,11776,23,0.025916099548339844,0.9973469972610474,-43.88633847236633,0.002841811568941921,0.2,-0.024790993513306603,-0.04259490221738815,352,0.0004092704424510632,0.2374267578125,0.013697478,-3.147454333333333,1257.0
6,1923,12288,24,0.007112622261047363,0.9985719919204712,-43.8856383562088,0.10198648576624691,0.2,-0.027781026874436066,-0.006851065903902054,368,0.0004092704424510632,0.332763671875,0.03142717,-3.147454333333333,1257.0
6,1921,12800,25,-1.3877274990081787,0.9989107251167297,-43.92120707035065,0.006999350705882534,0.2,-0.02378845504426863,-0.027820544317364693,384,0.0004092704424510632,0.21435546875,0.018920008,-3.1410704999999997,1257.0
6,1920,13312,26,0.0020212531089782715,0.9963877201080322,-43.89184331893921,0.13201062567532063,0.2,-0.031055527841090225,-0.002903550863265991,400,0.0004092704424510632,0.2886962890625,0.027247055,-3.1410704999999997,1257.0
7,1919,13824,27,-0.1870250701904297,0.9954185485839844,-43.816863894462585,0.0068544909881893545,0.2,-0.025106948538450524,-0.04027309641242027,416,0.0004092704424510632,0.218994140625,0.016184093,-3.1410704999999997,1257.0
7,1918,14336,28,0.021796584129333496,0.9951076507568359,-43.80677926540375,0.0021215527049207594,0.2,-0.026997187436791137,-0.0323854424059391,432,0.0004092704424510632,0.2420654296875,0.0172727,-3.1312532727272724,1257.0
7,1916,14848,29,0.005952060222625732,0.9948784708976746,-43.794679164886475,0.02743500762153417,0.2,-0.02124623481358867,-0.011079847812652588,448,0.0004092704424510632,0.3111572265625,0.032466065,-3.1312532727272724,1257.0
8,1915,15360,30,-0.1561722755432129,0.9937266707420349,-43.774991154670715,0.005098641915537883,0.2,-0.03158746768895071,-0.05774317681789398,464,0.0004092704424510632,0.263916015625,0.023180597,-3.124620083333333,1257.0
8,1914,15872,31,0.019821345806121826,0.9929709434509277,-43.73557984828949,0.12957832333631814,0.2,-0.017493618492153473,0.022134460508823395,480,0.0004092704424510632,0.1807861328125,0.017575447,-3.124620083333333,1257.0
8,1913,16384,32,-0.5762948989868164,0.9936054348945618,-43.72561705112457,0.01010510473861359,0.2,-0.021943168801954016,-0.024973904713988304,496,0.0004092704424510632,0.2296142578125,0.018011473,-3.1150729999999998,1257.0
8,1911,16896,33,0.01838207244873047,0.9934732913970947,-43.74214160442352,0.11556892329826951,0.2,-0.018398320869891904,0.029201902449131012,512,0.0004092704424510632,0.19189453125,0.014371532,-3.1150729999999998,1257.0
