train/n_updates,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss
4791,141,34,4892,0.0008459126528049375,0.019455615431070328,-122.05035400390625,2.487699270248413,-4.14652125,4,1223.0,-147.42385864257812
9683,289,33,9784,0.0008459126528049375,0.0012452715309336782,-127.4177474975586,0.9255127906799316,-3.06195825,8,1223.0,-100.68016052246094
14575,454,32,14676,0.0008459126528049375,0.001100833178497851,-128.3950958251953,126.87600708007812,-2.3876794999999995,12,1223.0,-7.699906826019287
19467,604,32,19568,0.0008459126528049375,0.001016446272842586,-132.83056640625,65.1031265258789,-2.05326525,16,1223.0,20.848896026611328
24359,761,32,24460,0.0008459126528049375,0.000868873787112534,-135.10679626464844,65.04579162597656,-1.8321616500000004,20,1223.0,33.36709213256836
29251,164,26,29352,0.0008459126528049375,0.0010279561392962933,-137.30892944335938,1.400083303451538,-1.6986394583333333,24,1223.0,3.7975032329559326
34143,345,26,34244,0.0008459126528049375,0.0009595110896043479,-139.80224609375,1.2924883365631104,-1.6031967142857144,28,1223.0,-35.691741943359375
39035,528,26,39136,0.0008459126528049375,0.0009044944890774786,-140.2533721923828,1.9671025276184082,-1.539547375,32,1223.0,-30.217344284057617
43927,712,26,44028,0.0008459126528049375,0.0009314790368080139,-140.72119140625,2.332808256149292,-1.4974299999999998,36,1223.0,38.491641998291016
48819,892,26,48920,0.0008459126528049375,0.0013228770112618804,-140.97373962402344,64.81851959228516,-1.469820075,40,1223.0,3.8490190505981445
53711,143,26,53812,0.0008459126528049375,0.001188264461234212,-141.7181396484375,2.2375845909118652,-1.4234351363636364,44,1223.0,52.21309280395508
58603,327,26,58704,0.0008459126528049375,0.0009573133429512382,-142.3805389404297,3.0950112342834473,-1.3866625625,48,1223.0,32.984130859375
63495,499,27,63596,0.0008459126528049375,0.0012410881463438272,-146.35702514648438,6.7696075439453125,-1.3514859615384613,52,1223.0,-6.031092643737793
68387,665,27,68488,0.0008459126528049375,0.0009059469448402524,-145.63922119140625,3.0562644004821777,-1.3387935714285715,56,1223.0,109.37789916992188
73279,833,28,73380,0.0008459126528049375,0.0021705746185034513,-146.76904296875,1.9227182865142822,-1.3265486000000002,60,1223.0,26.341346740722656
78171,106,30,78272,0.0008459126528049375,0.0011677560396492481,-149.95057678222656,2.9196548461914062,-1.32438125,64,1223.0,60.645755767822266
83063,286,28,83164,0.0008459126528049375,0.0014423500979319215,-148.17486572265625,67.79430389404297,-1.324661661764706,68,1223.0,-21.662155151367188
