time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
11,5632,1567,3,0.2,0.0004092704424510632,0.284912109375,0.019604895,0.041774213314056396,0.03372709080576897,1.002480387687683,160,-0.02477793089201441,-0.004463506862521172,-44.030641198158264,-2.1782417499999998,1258.0
12,6144,1559,3,0.2,0.0004092704424510632,0.25537109375,0.018367961,-0.12819278240203857,0.0016828433272166876,1.0037230253219604,176,-0.027133437237353064,-0.03912559151649475,-44.0798317193985,-2.1782417499999998,1258.0
13,6656,1555,4,0.2,0.0004092704424510632,0.3597412109375,0.026920311,0.3273172378540039,0.003814023864833871,1.0046358108520508,192,-0.03752448296290822,-0.05176934599876404,-44.10841417312622,-2.1513128,1258.0
14,7168,1553,4,0.2,0.0004092704424510632,0.265625,0.020791184,0.22362947463989258,0.034273159224539995,1.0057326555252075,208,-0.03395186326815747,-0.03628534823656082,-44.139092803001404,-2.1513128,1258.0
15,7680,1550,4,0.2,0.0004092704424510632,0.2421875,0.018808138,0.18890076875686646,0.008243781721830601,1.0061390399932861,224,-0.024519400642020628,-0.03178172558546066,-44.16832149028778,-2.163296666666666,1258.0
16,8192,1545,5,0.2,0.0004092704424510632,0.3057861328125,0.028131139,0.08016866445541382,0.049356124247424304,1.0091559886932373,240,-0.02992455573985353,-0.02320600487291813,-44.20946657657623,-2.163296666666666,1258.0
17,8704,1539,5,0.2,0.0004092704424510632,0.229736328125,0.014766725,-0.5204015970230103,0.0022886827537149657,1.010284662246704,256,-0.02618782702484168,-0.03430915251374245,-44.285443902015686,-2.163296666666666,1258.0
18,9216,1534,6,0.2,0.0004092704424510632,0.2681884765625,0.016159924,0.5170260667800903,0.003253485272580292,1.0107295513153076,272,-0.0304976449260721,-0.05104759708046913,-44.30265784263611,-2.1629189999999996,1258.0
19,9728,1532,6,0.2,0.0004092704424510632,0.2564697265625,0.021277517,0.37901490926742554,0.038696300936862826,1.0101321935653687,288,-0.024311391491210088,-0.005358947440981865,-44.299683570861816,-2.1629189999999996,1258.0
20,10240,1531,6,0.2,0.0004092704424510632,0.220458984375,0.016193047,0.4057207703590393,0.004265020397724584,1.0099165439605713,304,-0.022579560725716874,-0.029884982854127884,-44.28321862220764,-2.1787423749999997,1258.0
21,10752,1531,7,0.2,0.0004092704424510632,0.2677001953125,0.022934914,0.5237358808517456,0.05612047016620636,1.011047601699829,320,-0.026662920354283415,-0.006466321647167206,-44.297441244125366,-2.1787423749999997,1258.0
22,11264,1528,7,0.2,0.0004092704424510632,0.2371826171875,0.016947204,-0.2142566442489624,0.005041982403781731,1.0096489191055298,336,-0.02479857101570815,-0.028227539733052254,-44.30088806152344,-2.1787423749999997,1258.0
23,11776,1524,7,0.2,0.0004092704424510632,0.183349609375,0.012840098,0.610634446144104,0.006261648341023829,1.0077322721481323,352,-0.020685859926743433,-0.032973870635032654,-44.24169683456421,-2.191004444444444,1258.0
24,12288,1522,8,0.2,0.0004092704424510632,0.263427734375,0.021381594,0.6230742335319519,0.02203401122824289,1.0059033632278442,368,-0.02268930629361421,-0.023361723870038986,-44.18199360370636,-2.191004444444444,1258.0
25,12800,1520,8,0.2,0.0004092704424510632,0.218017578125,0.019343175,-0.8623524904251099,0.007768968673190102,1.0059911012649536,384,-0.025082991924136877,-0.03171119466423988,-44.14755141735077,-2.1853027,1258.0
26,13312,1521,8,0.2,0.0004092704424510632,0.29638671875,0.02253338,0.4547625184059143,0.04047784674912691,1.0059601068496704,400,-0.028474483377067372,-0.0290896687656641,-44.15603029727936,-2.1853027,1258.0
