time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/std,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,512,2755,,,,,,,,,,,,,
2,0,1024,1768,0.9981451630592346,16,0.19348434761923272,0.012502828,0.2144775390625,-0.8589609861373901,0.2,-0.043612297624349594,-43.95860409736633,0.0004092704424510632,-0.02957322826841846,,
3,0,1536,1593,0.9981207251548767,32,0.0037285547150531784,0.017538123,0.2650146484375,-0.006695985794067383,0.2,-0.04226471483707428,-43.92642843723297,0.0004092704424510632,-0.028770292818080634,1257.0,-2.200254
4,1,2048,1515,0.9982031583786011,48,0.003637710127804894,0.016478395,0.253662109375,0.010726332664489746,0.2,-0.04297613352537155,-43.92707049846649,0.0004092704424510632,-0.02834680868545547,1257.0,-2.200254
5,1,2560,1474,0.9977103471755981,64,0.003658329867903376,0.017729945,0.2392578125,-0.0011258125305175781,0.2,-0.03246859088540077,-43.92377018928528,0.0004092704424510632,-0.023271660822501872,1257.0,-2.350936
6,2,3072,1450,0.9962282776832581,80,0.0021953492287138943,0.020412667,0.2862548828125,0.003534972667694092,0.2,-0.03516025468707085,-43.8911417722702,0.0004092704424510632,-0.02903645861078985,1257.0,-2.350936
7,2,3584,1430,0.9946354031562805,96,0.0024415780026174616,0.01352007,0.20947265625,0.005116879940032959,0.2,-0.024014746770262718,-43.83974289894104,0.0004092704424510632,-0.022720296954503283,1257.0,-2.350936
8,2,4096,1416,0.9957466721534729,112,0.0031114437806536444,0.013352429,0.2276611328125,-0.0007094144821166992,0.2,-0.03516392409801483,-43.822097182273865,0.0004092704424510632,-0.024130603182129562,1257.0,-2.379649666666667
9,3,4608,1406,0.9959360957145691,128,0.006234983840840869,0.021800887,0.2939453125,0.0008851885795593262,0.2,-0.027515113353729248,-43.85466241836548,0.0004092704424510632,-0.030126598227070644,1257.0,-2.379649666666667
10,3,5120,1398,0.9951674342155457,144,0.004374577030830551,0.013488768,0.2293701171875,-0.0023107528686523438,0.2,-0.03307858482003212,-43.843974590301514,0.0004092704424510632,-0.02287409740529256,1257.0,-2.400062
