train/actor_loss,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss
-122.78945922851562,4,1258.0,10,4931,-177.32943725585938,0.0008459126528049375,0.01714540272951126,5032,-5.49908825,475,1.6986713409423828
-128.89407348632812,8,1258.0,10,9963,-18.769052505493164,0.0008459126528049375,0.0010610827011987567,10064,-4.451029625,954,6.077833652496338
-131.96737670898438,12,1258.0,10,14995,-30.752811431884766,0.0008459126528049375,0.0010369343217462301,15096,-3.7660738333333335,1436,6.738701343536377
-133.92379760742188,16,1258.0,10,20027,-27.9144229888916,0.0008459126528049375,0.0012254515895619988,20128,-3.39673975,1928,11.726226806640625
-137.50975036621094,20,1258.0,10,25059,30.630191802978516,0.0008459126528049375,0.0005789730348624289,25160,-3.1496737,15,3.6753125190734863
-106.8686294555664,24,1258.0,10,30091,-24.25286102294922,0.0008459126528049375,0.0006664370885118842,30192,-2.9997664166666667,502,5.322312355041504
-102.34310913085938,28,1258.0,10,35123,-38.841209411621094,0.0008459126528049375,0.0004906918620690703,35224,-2.864661107142857,990,4.303661823272705
-103.12898254394531,32,1258.0,10,40155,-25.544334411621094,0.0008459126528049375,0.0007502438966184855,40256,-2.75624296875,1484,2.3981614112854004
-100.41276550292969,36,1258.0,10,45187,420.6906433105469,0.0008459126528049375,0.0005266391090117395,45288,-2.7155017777777775,1980,1.265350103378296
-97.30977630615234,40,1258.0,10,50219,63.21995544433594,0.0008459126528049375,0.00019783727475441992,50320,-2.663663725,30,1.7472546100616455
-79.22198486328125,44,1258.0,10,55251,74.80437469482422,0.0008459126528049375,0.0010876771993935108,55352,-2.592358681818182,516,10.81468677520752
-71.68281555175781,48,1258.0,10,60283,49.20376968383789,0.0008459126528049375,0.00044900327338837087,60384,-2.5666810208333337,999,2.613677978515625
