train/ent_coef_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef
-162.41189575195312,34,144,1258.0,-4.14946075,5032,4,0.0008459126528049375,1.6919251680374146,4931,-121.35545349121094,0.01744537428021431
-6.672226428985596,34,294,1258.0,-3.147847125,10064,8,0.0008459126528049375,1.3282846212387085,9963,-126.38945007324219,0.0011432539904490113
-2.474745750427246,33,447,1258.0,-2.582778166666667,15096,12,0.0008459126528049375,1.9295132160186768,14995,-130.65167236328125,0.0005255859578028321
-10.310937881469727,32,620,1258.0,-2.26592775,20128,16,0.0008459126528049375,3.62947416305542,20027,-132.01089477539062,0.0012564975768327713
48.97178649902344,33,4,1258.0,-2.1210651499999997,25160,20,0.0008459126528049375,3.3102965354919434,25059,-131.0269317626953,0.0006497396971099079
20.075353622436523,33,155,1258.0,-1.9765132916666666,30192,24,0.0008459126528049375,6.736663818359375,30091,-131.44564819335938,0.0006898528663441539
-4.562271595001221,33,306,1258.0,-1.8640012142857143,35224,28,0.0008459126528049375,3.452695846557617,35123,-129.1312255859375,0.00047811196418479085
65.60263061523438,33,457,1258.0,-1.76211684375,40256,32,0.0008459126528049375,28.454931259155273,40155,-125.58328247070312,0.0007702847942709923
-27.918718338012695,32,625,1258.0,-1.6896673055555556,45288,36,0.0008459126528049375,7.467874526977539,45187,-123.56629180908203,0.0008003669790923595
76.38531494140625,26,11,1258.0,-1.621380525,50320,40,0.0008459126528049375,18.527618408203125,50219,-115.89290618896484,0.0008805459947325289
-58.0008544921875,26,198,1258.0,-1.571849272727273,55352,44,0.0008459126528049375,45.57862854003906,55251,-96.13935089111328,0.0026667769998311996
-21.308483123779297,26,386,1258.0,-1.5437190833333334,60384,48,0.0008459126528049375,20.82964515686035,60283,-78.22434997558594,0.0024135131388902664
10.769827842712402,26,574,1258.0,-1.530160807692308,65416,52,0.0008459126528049375,8.114458084106445,65315,-64.4542465209961,0.0009744088747538626
-22.36586570739746,26,762,1258.0,-1.50686625,70448,56,0.0008459126528049375,16.69220733642578,70347,-62.2266731262207,0.0011311525013297796
-29.359434127807617,25,18,1258.0,-1.4893132500000001,75480,60,0.0008459126528049375,8.74592399597168,75379,-42.04560852050781,0.0010369254741817713
-19.072494506835938,25,218,1258.0,-1.452200546875,80512,64,0.0008459126528049375,5.351057052612305,80411,-35.378501892089844,0.0006995266303420067
-18.685916900634766,25,418,1258.0,-1.4201075735294122,85544,68,0.0008459126528049375,5.07472038269043,85443,-29.40711784362793,0.0004998926888220012
41.4840087890625,25,618,1258.0,-1.4003438055555557,90576,72,0.0008459126528049375,4.615820407867432,90475,-24.723529815673828,0.0006651091389358044
-24.683101654052734,26,785,1258.0,-1.3732582500000001,95608,76,0.0008459126528049375,2.9842867851257324,95507,-17.468507766723633,0.0002453747147228569
