rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,time/fps
1257.0,-4.35735875,4,0.0008459126528049375,5.688038349151611,-169.9434356689453,4927,-120.02165985107422,5028,154,0.01754189468920231,32
1257.0,-3.2545626249999997,8,0.0008459126528049375,1.163824200630188,-70.34941101074219,9955,-127.06039428710938,10056,293,0.0018267570994794369,34
1257.0,-2.6603778333333334,12,0.0008459126528049375,3.387784481048584,1.045274257659912,14983,-130.46102905273438,15084,432,0.0013715914683416486,34
1257.0,-2.3592709375000003,16,0.0008459126528049375,100.28598022460938,-54.002113342285156,20011,-131.30300903320312,20112,577,0.0011859623482450843,34
1257.0,-2.15606115,20,0.0008459126528049375,8.24962043762207,-33.50114440917969,25039,-131.85894775390625,25140,4,0.0005917318630963564,28
1257.0,-2.0320654166666667,24,0.0008459126528049375,3.102053642272949,61.62444305419922,30067,-130.8504180908203,30168,179,0.0007649007020518184,28
1257.0,-1.9421574642857142,28,0.0008459126528049375,1.9506161212921143,-16.839374542236328,35095,-127.32658386230469,35196,329,0.0009778820676729083,30
1257.0,-1.88206309375,32,0.0008459126528049375,4.612248420715332,24.61559295654297,40123,-125.2368392944336,40224,475,0.0008198106079362333,32
1257.0,-1.8521348888888889,36,0.0008459126528049375,2.8147950172424316,-55.628482818603516,45151,-121.24375915527344,45252,621,0.0004289374337531626,32
1257.0,-1.8119139,40,0.0008459126528049375,3.2610039710998535,-55.07234191894531,50179,-118.21852111816406,50280,8,0.00037232041358947754,34
1257.0,-1.7728627727272732,44,0.0008459126528049375,8.620081901550293,-3.480152130126953,55207,-102.14015197753906,55308,153,0.0019151727901771665,34
1257.0,-1.7424417916666666,48,0.0008459126528049375,4.783280372619629,-38.15707015991211,60235,-83.82952880859375,60336,299,0.0007085247780196369,34
1257.0,-1.721022653846154,52,0.0008459126528049375,20.244304656982422,31.680740356445312,65263,-80.85324096679688,65364,457,0.0007379681919701397,33
1257.0,-1.6890797142857144,56,0.0008459126528049375,1.846921682357788,38.20832061767578,70291,-80.59510040283203,70392,634,0.000658943026792258,32
1257.0,-1.6563300166666666,60,0.0008459126528049375,7.050930023193359,29.926822662353516,75319,-67.84539031982422,75420,15,0.0016557873459532857,27
1257.0,-1.65588571875,64,0.0008459126528049375,0.9478551149368286,84.371337890625,80347,-60.178001403808594,80448,202,0.00042835285421460867,26
1257.0,-1.6481893529411766,68,0.0008459126528049375,0.4966576397418976,-10.682112693786621,85375,-58.700660705566406,85476,373,0.00024893044610507786,28
1257.0,-1.6253555416666667,72,0.0008459126528049375,3.3927791118621826,-11.446678161621094,90403,-46.59931182861328,90504,531,0.0010346145136281848,29
1257.0,-1.6180265131578948,76,0.0008459126528049375,3.3695120811462402,-5.464168548583984,95431,-40.886009216308594,95532,688,0.0008354822057299316,29
