rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,time/fps
1257.0,-4.60892675,4,0.0008459126528049375,0.8177432417869568,-172.01734924316406,4927,-122.14164733886719,5028,135,0.017971748486161232,37
1257.0,-3.5448137500000003,8,0.0008459126528049375,1.9283318519592285,50.098236083984375,9955,-128.92059326171875,10056,303,0.001531421672552824,33
1257.0,-2.8740614166666667,12,0.0008459126528049375,1.86439847946167,-14.200603485107422,14983,-134.34820556640625,15084,453,0.0008488232851959765,33
1257.0,-2.5328949375,16,0.0008459126528049375,2.210354804992676,-16.21942901611328,20011,-135.3003387451172,20112,593,0.0009556258446536958,33
1257.0,-2.3414987000000003,20,0.0008459126528049375,2.5092296600341797,-0.5074816346168518,25039,-137.805908203125,25140,3,0.0011121059069409966,35
1257.0,-2.218230416666667,24,0.0008459126528049375,4.627387523651123,-65.1217269897461,30067,-130.8042449951172,30168,146,0.0008530854247510433,35
1257.0,-2.1081706785714287,28,0.0008459126528049375,3.211660861968994,27.630905151367188,35095,-128.21119689941406,35196,289,0.0012775748036801815,35
1257.0,-2.03012046875,32,0.0008459126528049375,5.076566696166992,94.1435546875,40123,-128.4183807373047,40224,433,0.001267038518562913,35
1257.0,-1.974826555555555,36,0.0008459126528049375,3.166327714920044,-77.47611236572266,45151,-114.05401611328125,45252,578,0.0024879174306988716,34
1257.0,-1.9332924999999999,40,0.0008459126528049375,6.361289024353027,98.93597412109375,50179,-110.67454528808594,50280,9,0.0002776217588689178,29
1257.0,-1.9029334318181816,44,0.0008459126528049375,8.424276351928711,4.122677803039551,55207,-94.96512603759766,55308,182,0.0015244411770254374,29
1257.0,-1.8708191041666666,48,0.0008459126528049375,21.658676147460938,-9.52932357788086,60235,-85.22312927246094,60336,364,0.0020819250494241714,28
1257.0,-1.8291421346153847,52,0.0008459126528049375,11.610713958740234,-1.3154287338256836,65263,-79.17926788330078,65364,546,0.0009637388284318149,28
1257.0,-1.7747383035714286,56,0.0008459126528049375,0.7070416212081909,-30.268917083740234,70291,-81.46428680419922,70392,730,0.000851128192152828,27
1257.0,-1.7505733833333332,60,0.0008459126528049375,0.9301422834396362,16.151409149169922,75319,-82.37330627441406,75420,15,0.000836105493362993,26
1257.0,-1.74763628125,64,0.0008459126528049375,1.0660563707351685,20.393795013427734,80347,-79.9590072631836,80448,208,0.0004885178641416132,26
1257.0,-1.7193444264705882,68,0.0008459126528049375,22.4238224029541,34.16890335083008,85375,-74.08879089355469,85476,403,0.00036874154466204345,25
1257.0,-1.6922388055555555,72,0.0008459126528049375,2.0714337825775146,-5.737004280090332,90403,-63.376407623291016,90504,598,0.0009048874489963055,25
1257.0,-1.6822770921052632,76,0.0008459126528049375,5.222712516784668,105.90174102783203,95431,-53.13914108276367,95532,791,0.0007411098340526223,25
