time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,3781,512,,,,,,,,,,,,,
0,2,1786,1024,0.1504143434431171,0.2,0.3067626953125,-0.027891354635357857,-0.38291454315185547,-0.028868998371763155,1.000171184539795,0.0004092704424510632,-43.98098289966583,0.023260765,16,,
0,3,1540,1536,0.005754246405558661,0.2,0.2777099609375,-0.03659738600254059,0.02996581792831421,-0.03173797222552821,1.000206470489502,0.0004092704424510632,-43.99469494819641,0.01868514,32,-2.919466,1257.0
1,4,1434,2048,0.011813047574833035,0.2,0.352783203125,-0.03502116724848747,-0.0007547140121459961,-0.03227554415570921,0.9986755847930908,0.0004092704424510632,-43.96951615810394,0.027039757,48,-2.919466,1257.0
1,5,1369,2560,0.005271404697850812,0.2,0.2921142578125,-0.044938404113054276,0.00276947021484375,-0.03538749035215005,0.9969649910926819,0.0004092704424510632,-43.91786062717438,0.02254207,64,-2.9812545,1257.0
2,6,1338,3072,0.00756739177450072,0.2,0.293701171875,-0.03964855149388313,-0.002321004867553711,-0.02758428454399109,0.9973335266113281,0.0004092704424510632,-43.88741624355316,0.01838027,80,-2.9812545,1257.0
2,7,1315,3584,0.002691542456886964,0.2,0.218505859375,-0.037038467824459076,-0.012312889099121094,-0.026410099511849694,0.9989908337593079,0.0004092704424510632,-43.920353055000305,0.01327689,96,-2.9812545,1257.0
3,8,1299,4096,0.005368165686377324,0.2,0.2691650390625,-0.03970540314912796,0.0006726980209350586,-0.028213477809913456,0.9994214773178101,0.0004092704424510632,-43.96173679828644,0.020393783,112,-3.0280226666666668,1257.0
3,9,1286,4608,0.029473818198312074,0.2,0.3182373046875,-0.022237516939640045,0.0012809038162231445,-0.026744111892185174,0.9989790320396423,0.0004092704424510632,-43.95507276058197,0.028363813,128,-3.0280226666666668,1257.0
4,10,1276,5120,0.005551485322939698,0.2,0.3424072265625,-0.032448869198560715,0.00604015588760376,-0.03221249164198525,0.9986149072647095,0.0004092704424510632,-43.93748891353607,0.024548389,144,-3.0846315,1257.0
4,11,1270,5632,0.03168050054227933,0.2,0.283935546875,-0.00797171052545309,0.000337064266204834,-0.023552560349344276,0.9968432188034058,0.0004092704424510632,-43.907883405685425,0.019944474,160,-3.0846315,1257.0
4,12,1263,6144,0.003292779962066561,0.2,0.267822265625,-0.03259681537747383,-0.002086043357849121,-0.02762023764080368,0.9969084858894348,0.0004092704424510632,-43.87271344661713,0.017098345,176,-3.0846315,1257.0
5,13,1256,6656,0.00333465872972738,0.2,0.2611083984375,-0.0392664335668087,-0.001697540283203125,-0.024905891448725015,0.9980399012565613,0.0004092704424510632,-43.89307904243469,0.01778445,192,-3.0765636,1257.0
5,14,1252,7168,0.056736504659056664,0.2,0.2628173828125,0.003151312470436096,0.00025337934494018555,-0.020553275258862413,0.9991650581359863,0.0004092704424510632,-43.92903995513916,0.019339489,208,-3.0765636,1257.0
6,15,1249,7680,0.0045642876357305795,0.2,0.2393798828125,-0.029976334422826767,-0.00026106834411621094,-0.024392621489823796,0.9983159899711609,0.0004092704424510632,-43.940648794174194,0.015470878,224,-3.0622453333333333,1257.0
6,16,1245,8192,0.06397440715227276,0.2,0.3446044921875,-0.019540749490261078,0.0003807544708251953,-0.032740130700403824,0.9977322220802307,0.0004092704424510632,-43.91143000125885,0.032648057,240,-3.0622453333333333,1257.0
6,17,1243,8704,0.003808858818956651,0.2,0.285400390625,-0.0537482351064682,-0.0010493993759155273,-0.035296048037707806,0.9953694343566895,0.0004092704424510632,-43.873987555503845,0.02220564,256,-3.0622453333333333,1257.0
7,18,1242,9216,0.004147416824707761,0.2,0.290283203125,-0.03942517191171646,0.0012503266334533691,-0.029281749186338857,0.9955817461013794,0.0004092704424510632,-43.81919598579407,0.022242172,272,-3.0574084285714282,1257.0
7,19,1239,9728,0.08788702473975718,0.2,0.2491455078125,0.02221519872546196,0.00044846534729003906,-0.021131685614818707,0.9959457516670227,0.0004092704424510632,-43.8405784368515,0.02516289,288,-3.0574084285714282,1257.0
8,20,1239,10240,0.005931082218012307,0.2,0.2589111328125,-0.044689860194921494,0.0037558674812316895,-0.02922176819993183,0.9945123195648193,0.0004092704424510632,-43.81786775588989,0.018159278,304,-3.07342075,1257.0
8,21,1237,10752,0.09587697638198733,0.2,0.3089599609375,0.0024673305451869965,0.0004113912582397461,-0.028082354023354128,0.9923069477081299,0.0004092704424510632,-43.76989150047302,0.020271296,320,-3.07342075,1257.0
9,22,1235,11264,0.004283650283468887,0.2,0.248046875,-0.05627003312110901,-0.009761214256286621,-0.02846934218541719,0.9918548464775085,0.0004092704424510632,-43.71541714668274,0.018129937,336,-3.07342075,1257.0
9,23,1235,11776,0.0022010365573805757,0.2,0.2109375,-0.03748049587011337,0.0004952549934387207,-0.022206561305210926,0.9919257164001465,0.0004092704424510632,-43.718706130981445,0.012968771,352,-3.050217888888889,1257.0
