time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,time/fps,train/n_updates,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/ent_coef,time/episodes,time/time_elapsed
5032,0.0008459126528049375,-4.9034569999999995,-122.97314453125,66,4931,-169.24440002441406,1258.0,1.1768224239349365,0.01717413030564785,4,75
10064,0.0008459126528049375,-3.855634125,-128.6959228515625,65,9963,-25.48206329345703,1258.0,8.528610229492188,0.0009515140554867685,8,152
15096,0.0008459126528049375,-3.195615083333333,-120.42777252197266,65,14995,79.1925277709961,1258.0,8.740363121032715,0.0008418173529207706,12,229
20128,0.0008459126528049375,-2.859710625,-109.50310516357422,65,20027,-58.980220794677734,1258.0,7.513476371765137,0.0010173966875299811,16,305
25160,0.0008459126528049375,-2.64323555,-105.2137222290039,65,25059,-24.397428512573242,1258.0,2.470346689224243,0.0006292492616921663,20,2
30192,0.0008459126528049375,-2.472754125,-102.15186309814453,65,30091,-36.049530029296875,1258.0,2.3377482891082764,0.0004745955520775169,24,79
35224,0.0008459126528049375,-2.4038525714285712,-99.00712585449219,65,35123,34.55205535888672,1258.0,1.9689216613769531,0.00040465249912813306,28,156
40256,0.0008459126528049375,-2.3440246562500002,-95.38068389892578,65,40155,-27.987503051757812,1258.0,2.484929323196411,0.0003934788692276925,32,233
45288,0.0008459126528049375,-2.2584813333333336,-87.18790435791016,65,45187,33.93513488769531,1258.0,2.9430837631225586,0.0002491976774763316,36,310
50320,0.0008459126528049375,-2.2085195,-77.54118347167969,64,50219,29.234588623046875,1258.0,4.284028053283691,0.0005619447329081595,40,4
55352,0.0008459126528049375,-2.176197568181818,-73.70218658447266,64,55251,-3.608464241027832,1258.0,2.8550543785095215,0.0003697971405927092,44,82
60384,0.0008459126528049375,-2.140085479166667,-40.28883743286133,65,60283,-4.958457946777344,1258.0,5.25607442855835,0.0008581051952205598,48,159
65416,0.0008459126528049375,-2.136064461538462,-33.617706298828125,64,65315,-82.80435180664062,1258.0,3.2123780250549316,0.0007346572820097208,52,237
70448,0.0008459126528049375,-2.091951107142857,-29.460887908935547,64,70347,-23.977981567382812,1258.0,2.9542484283447266,0.00038813365972600877,56,315
75480,0.0008459126528049375,-2.0683073333333333,-22.039838790893555,63,75379,-22.247032165527344,1258.0,4.469900131225586,0.0004010765696875751,60,7
80512,0.0008459126528049375,-2.0459162343749995,-6.673546314239502,62,80411,-8.183009147644043,1258.0,3.5499839782714844,0.0008362418739125133,64,88
85544,0.0008459126528049375,-2.021005514705882,-6.5138349533081055,61,85443,-52.0962028503418,1258.0,7.228777885437012,0.0009169455152004957,68,170
90576,0.0008459126528049375,-2.002604930555555,-0.44673967361450195,61,90475,-46.256591796875,1258.0,5.011487007141113,0.0006071909447200596,72,251
95608,0.0008459126528049375,-1.9955037368421047,18.796451568603516,61,95507,-24.380388259887695,1258.0,15.33326530456543,0.0009500369778834283,76,333
