rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/ent_coef_loss,train/learning_rate,time/episodes,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/fps,train/ent_coef,train/n_updates
-4.91457075,1.8604493141174316,68,-175.07504272460938,0.0008459126528049375,4,1258.0,-123.1681900024414,5032,73,0.017292527481913567,4931
-4.014714,4.6785688400268555,138,-10.78665828704834,0.0008459126528049375,8,1258.0,-130.99176025390625,10064,72,0.0009942230535671115,9963
-3.2628205,3.226099967956543,211,5.09678840637207,0.0008459126528049375,12,1258.0,-128.90921020507812,15096,71,0.0009295369382016361,14995
-2.8408788125,10.079381942749023,283,-5.718279838562012,0.0008459126528049375,16,1258.0,-108.05413055419922,20128,71,0.0012651386205106974,20027
-2.6621839000000005,5.25100040435791,2,71.77284240722656,0.0008459126528049375,20,1258.0,-105.14081573486328,25160,70,0.0005305858794599771,25059
-2.4907023333333336,3.776301145553589,74,20.78407096862793,0.0008459126528049375,24,1258.0,-90.12905883789062,30192,69,0.0010618465021252632,30091
-2.3813802857142856,2.308809757232666,147,45.47078323364258,0.0008459126528049375,28,1258.0,-85.63043212890625,35224,69,0.00032415357418358326,35123
-2.3015461562499997,1.301102876663208,219,-101.4971694946289,0.0008459126528049375,32,1258.0,-80.20050048828125,40256,69,0.0002446207217872143,40155
-2.213843583333333,2.2871923446655273,291,-19.58514976501465,0.0008459126528049375,36,1258.0,-78.47866821289062,45288,69,0.0004963651881553233,45187
-2.18705895,1.7881543636322021,4,73.55703735351562,0.0008459126528049375,40,1258.0,-73.3117446899414,50320,69,0.00025280233239755034,50219
-2.1318086136363634,1.357926845550537,77,-50.630191802978516,0.0008459126528049375,44,1258.0,-72.59580993652344,55352,69,0.00047562544932588935,55251
-2.0826143333333333,1.38388991355896,149,16.19133758544922,0.0008459126528049375,48,1258.0,-68.78985595703125,60384,69,0.0006965612410567701,60283
-2.036887192307692,1.6201220750808716,222,2.7847347259521484,0.0008459126528049375,52,1258.0,-66.28031921386719,65416,69,0.00044942632666788995,65315
-2.004493375,0.6544946432113647,295,3.437878131866455,0.0008459126528049375,56,1258.0,-64.1177749633789,70448,69,0.00041207473259419203,70347
-1.98376645,1.296346664428711,7,11.755459785461426,0.0008459126528049375,60,1258.0,-59.21281814575195,75480,68,0.0005994986277073622,75379
-1.955921,0.7093948721885681,82,-79.51072692871094,0.0008459126528049375,64,1258.0,-63.772422790527344,80512,67,0.0006828739424236119,80411
-1.942546779411765,3.5507283210754395,157,-68.25518035888672,0.0008459126528049375,68,1258.0,-59.37228775024414,85544,66,0.00035397044848650694,85443
-1.9315022222222222,1.0334733724594116,234,-7.853302478790283,0.0008459126528049375,72,1258.0,-60.707088470458984,90576,66,0.0007416903390549123,90475
