time/episodes,train/critic_loss,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,train/ent_coef,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean
4,1.5909831523895264,4892,-158.8992462158203,464,-122.15727996826172,0.0008459126528049375,10,0.019366467371582985,1223.0,4791,-4.3241570000000005
8,49.0823860168457,9784,-30.166669845581055,929,-127.24888610839844,0.0008459126528049375,10,0.001255768584087491,1223.0,9683,-3.2914587500000003
12,48.87488555908203,14676,12.256062507629395,1397,-133.61654663085938,0.0008459126528049375,10,0.0008083377033472061,1223.0,14575,-2.6240905
16,5.906020641326904,19568,-54.91995620727539,1867,-136.0565643310547,0.0008459126528049375,10,0.0013067725813016295,1223.0,19467,-2.2725781875
20,4.328895568847656,24460,-16.269466400146484,2336,-136.07484436035156,0.0008459126528049375,10,0.0009592261048965156,1223.0,24359,-2.0901013500000003
24,4.8831095695495605,29352,-19.856365203857422,420,-135.67233276367188,0.0008459126528049375,10,0.0007307620253413916,1223.0,29251,-2.002468541666667
28,5.184843063354492,34244,75.27421569824219,888,-136.339599609375,0.0008459126528049375,10,0.0006908542709425092,1223.0,34143,-1.885604785714286
32,6.5021562576293945,39136,52.542823791503906,1360,-133.23252868652344,0.0008459126528049375,10,0.0013645526487380266,1223.0,39035,-1.82685028125
36,22.374130249023438,44028,-8.535802841186523,1821,-122.060302734375,0.0008459126528049375,10,0.0009150254772976041,1223.0,43927,-1.769051666666667
40,22.315948486328125,48920,214.13232421875,2280,-100.87760162353516,0.0008459126528049375,10,0.001488964189775288,1223.0,48819,-1.742950225
44,2.7672629356384277,53812,28.801233291625977,359,-93.61222076416016,0.0008459126528049375,10,0.0010317787528038025,1223.0,53711,-1.7188215
48,58.17337417602539,58704,188.63641357421875,831,-73.01237487792969,0.0008459126528049375,10,0.0011933111818507314,1223.0,58603,-1.6807068124999998
52,8.181639671325684,63596,-38.63469314575195,1298,-72.30250549316406,0.0008459126528049375,10,0.0010632271878421307,1223.0,63495,-1.6560968846153847
56,2.9114341735839844,68488,-1.977495551109314,1762,-63.46141815185547,0.0008459126528049375,10,0.0012180255725979805,1223.0,68387,-1.6374778749999999
60,7.808722019195557,73380,-9.133500099182129,2220,-60.257957458496094,0.0008459126528049375,10,0.0007066033431328833,1223.0,73279,-1.6134471166666664
64,1.361307144165039,78272,-14.761090278625488,315,-58.99795150756836,0.0008459126528049375,10,0.0005984375602565706,1223.0,78171,-1.5929218124999998
68,6.470883846282959,83164,-22.76181411743164,788,-50.133277893066406,0.0008459126528049375,10,0.0005216228892095387,1223.0,83063,-1.584012044117647
72,2.746509552001953,88056,-28.254287719726562,1266,-28.697322845458984,0.0008459126528049375,10,0.001607507118023932,1223.0,87955,-1.5680111527777778
