time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
0,512,4050,1,,,,,,,,,,,,,
0,1024,2304,2,-0.027811990381451324,0.10777991961367661,-1.162541151046753,0.2,-43.97715353965759,-0.03993193805217743,0.9992297887802124,0.0004092704424510632,0.01127485,16,0.2115478515625,,
0,1536,2030,3,-0.026809657458215952,0.003914829889254179,-0.014927506446838379,0.2,-43.9557820558548,-0.03350726142525673,0.9986156225204468,0.0004092704424510632,0.015083634,32,0.23974609375,1257.0,-2.185184
1,2048,1914,4,-0.02856456102745142,0.0032936301940935664,-0.008370041847229004,0.2,-43.92167913913727,-0.030426938086748123,0.9971145987510681,0.0004092704424510632,0.020782303,48,0.30419921875,1257.0,-2.185184
1,2560,1852,5,-0.02005214846576564,0.002319977094884962,0.03949981927871704,0.2,-43.866294860839844,-0.023877939209342003,0.9953664541244507,0.0004092704424510632,0.01743688,64,0.2254638671875,1257.0,-2.1077445
1,3072,1812,6,-0.023599651365657337,0.009165252966340631,-0.014916062355041504,0.2,-43.84293210506439,-0.02731293812394142,0.9957406520843506,0.0004092704424510632,0.014877806,80,0.253173828125,1257.0,-2.1077445
2,3584,1785,7,-0.024574960421887226,0.004144029902818147,0.018966078758239746,0.2,-43.82425010204315,-0.03739790990948677,0.9934197664260864,0.0004092704424510632,0.015077012,96,0.25244140625,1257.0,-2.1077445
2,4096,1764,8,-0.023497459304053336,0.005108458404720295,0.0018826723098754883,0.2,-43.7757693529129,-0.01754296012222767,0.9940754175186157,0.0004092704424510632,0.013754824,112,0.211181640625,1257.0,-2.205479
2,4608,1748,9,-0.027862675036885776,0.019630012335255742,0.0030858516693115234,0.2,-43.797078132629395,-0.03239201754331589,0.9936088919639587,0.0004092704424510632,0.018045973,128,0.294921875,1257.0,-2.205479
2,5120,1735,10,-0.02665244544914458,0.0016312792249664199,0.055776000022888184,0.2,-43.76516938209534,-0.03059862181544304,0.9930756688117981,0.0004092704424510632,0.016585689,144,0.258544921875,1257.0,-2.24216275
3,5632,1697,11,-0.016923041723202914,0.023957762925419956,-0.004167795181274414,0.2,-43.7454571723938,-0.014615747146308422,0.9917925000190735,0.0004092704424510632,0.018751392,160,0.2403564453125,1257.0,-2.24216275
3,6144,1672,12,-0.026794417863129638,0.004175121684966143,0.02973538637161255,0.2,-43.7023583650589,-0.039468079805374146,0.9905802011489868,0.0004092704424510632,0.017218487,176,0.270751953125,1257.0,-2.24216275
3,6656,1665,13,-0.029106230475008488,0.0049981868141912855,0.002115190029144287,0.2,-43.678080558776855,-0.04443524777889252,0.9905748963356018,0.0004092704424510632,0.017259639,192,0.263671875,1257.0,-2.2446773999999996
4,7168,1659,14,-0.025102679675910622,0.03932213014923036,0.006197094917297363,0.2,-43.68848752975464,-0.013502612709999084,0.9906927347183228,0.0004092704424510632,0.019781336,208,0.287109375,1257.0,-2.2446773999999996
4,7680,1652,15,-0.02239782823016867,0.003005171522090677,0.011459648609161377,0.2,-43.67907226085663,-0.032972875982522964,0.9901577234268188,0.0004092704424510632,0.015476458,224,0.2413330078125,1257.0,-2.254690833333333
4,8192,1647,16,-0.021181219584832434,0.04442006815224886,0.007962465286254883,0.2,-43.64454185962677,-0.0016133543103933334,0.9884456396102905,0.0004092704424510632,0.014428305,240,0.2481689453125,1257.0,-2.254690833333333
5,8704,1643,17,-0.02821029326878488,0.0031094762380234897,0.09719395637512207,0.2,-43.60654973983765,-0.04822429642081261,0.9882374405860901,0.0004092704424510632,0.018829938,256,0.28076171875,1257.0,-2.254690833333333
5,9216,1640,18,-0.030300959100713953,0.0035808110333164223,-0.007486581802368164,0.2,-43.62692129611969,-0.04665224999189377,0.9898744225502014,0.0004092704424510632,0.019573415,272,0.274169921875,1257.0,-2.2671395714285714
5,9728,1637,19,-0.024370071667362936,0.05876186036039144,0.005693316459655762,0.2,-43.67924737930298,-0.009360918775200844,0.9910505414009094,0.0004092704424510632,0.01635224,288,0.2646484375,1257.0,-2.2671395714285714
6,10240,1633,20,-0.02780135143257212,0.003096604996244423,-0.14271104335784912,0.2,-43.70124924182892,-0.036322932690382004,0.991356611251831,0.0004092704424510632,0.01670774,304,0.278564453125,1257.0,-2.25512
6,10752,1631,21,-0.030465476840618066,0.0642922599799931,0.005253255367279053,0.2,-43.71908915042877,-0.004617646336555481,0.9923656582832336,0.0004092704424510632,0.023225911,320,0.30078125,1257.0,-2.25512
6,11264,1629,22,-0.025652807744336314,0.0037525307925534435,-0.5535415410995483,0.2,-43.74139416217804,-0.023522214964032173,0.9928030371665955,0.0004092704424510632,0.022009399,336,0.2777099609375,1257.0,-2.25512
7,11776,1627,23,-0.030342758866026998,0.0029617129875987303,-0.004758119583129883,0.2,-43.74864482879639,-0.04588889330625534,0.9929831027984619,0.0004092704424510632,0.019966912,352,0.2730712890625,1257.0,-2.2497014444444443
7,12288,1625,24,-0.02529427784611471,0.07665522221941501,0.003164529800415039,0.2,-43.738133788108826,0.0003790687769651413,0.9922484755516052,0.0004092704424510632,0.019643474,368,0.295654296875,1257.0,-2.2497014444444443
