time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
3,7168,1799,14,-0.024203466600738466,0.06751439347863197,0.003697335720062256,0.2,-43.80168807506561,-0.002329610288143158,0.9948479533195496,0.0004092704424510632,0.015361177,208,0.2763671875,1257.0,-2.4610028
4,7680,1795,15,-0.030619520548498258,0.002858012590877479,-0.26062333583831787,0.2,-43.82123386859894,-0.04424687474966049,0.9950473308563232,0.0004092704424510632,0.016201645,224,0.2371826171875,1257.0,-2.437525
4,8192,1787,16,-0.022403197188396007,0.05647561536170542,0.00328218936920166,0.2,-43.810996770858765,-0.004116252064704895,0.9939745664596558,0.0004092704424510632,0.0137242805,240,0.2037353515625,1257.0,-2.437525
4,8704,1780,17,-0.025072536140214652,0.0030190787110768724,-0.4771484136581421,0.2,-43.73805642127991,-0.03322770074009895,0.9904234409332275,0.0004092704424510632,0.0143016875,256,0.218017578125,1257.0,-2.437525
5,9216,1777,18,-0.03112263689399697,0.0038182063290150836,0.007500410079956055,0.2,-43.65503478050232,-0.04157239571213722,0.9893204569816589,0.0004092704424510632,0.014435025,272,0.2584228515625,1257.0,-2.4180059999999997
5,9728,1773,19,-0.024191098593291827,0.06698396999854594,0.004420220851898193,0.2,-43.62312591075897,-0.0069805532693862915,0.9877969026565552,0.0004092704424510632,0.016529713,288,0.2506103515625,1257.0,-2.4180059999999997
5,10240,1771,20,-0.02597194106783718,0.003144581518427003,-0.2927044630050659,0.2,-43.59504473209381,-0.03767378628253937,0.9882966876029968,0.0004092704424510632,0.020872701,304,0.2435302734375,1257.0,-2.4166081249999998
6,10752,1769,21,-0.03108889755094424,0.06579768867231905,0.011125028133392334,0.2,-43.6008220911026,-0.00872347503900528,0.9871833920478821,0.0004092704424510632,0.027591616,320,0.3043212890625,1257.0,-2.4166081249999998
6,11264,1766,22,-0.02666147683339659,0.0068457033194135875,-0.10292363166809082,0.2,-43.57853651046753,-0.0419764406979084,0.9882172346115112,0.0004092704424510632,0.021328613,336,0.2476806640625,1257.0,-2.4166081249999998
6,11776,1766,23,-0.027395270415581763,0.0032416635913250502,0.003717780113220215,0.2,-43.601349234580994,-0.031360186636447906,0.9874916672706604,0.0004092704424510632,0.023204375,352,0.2611083984375,1257.0,-2.418502444444444
6,12288,1763,24,-0.026530437811743468,0.06505874113645405,0.009195327758789062,0.2,-43.56178843975067,-0.012061867862939835,0.9862944483757019,0.0004092704424510632,0.026434695,368,0.282958984375,1257.0,-2.418502444444444
7,12800,1760,25,-0.02353821236465592,0.003131883011519676,-0.551591157913208,0.2,-43.550034284591675,-0.03281030058860779,0.9870119690895081,0.0004092704424510632,0.018014777,384,0.2091064453125,1257.0,-2.4024009
7,13312,1756,26,-0.019591092990594916,0.0729546434013173,0.008170664310455322,0.2,-43.55431354045868,0.008560994639992714,0.985846996307373,0.0004092704424510632,0.01519723,400,0.214599609375,1257.0,-2.4024009
7,13824,1753,27,-0.028260570485144854,0.005887759616598487,-0.032444119453430176,0.2,-43.517287254333496,-0.03079141303896904,0.9855186343193054,0.0004092704424510632,0.024930703,416,0.27734375,1257.0,-2.4024009
8,14336,1748,28,-0.023892353317933157,0.006157741154311225,0.12720513343811035,0.2,-43.49795186519623,-0.02300662361085415,0.9837291240692139,0.0004092704424510632,0.014397136,432,0.213134765625,1257.0,-2.3953787272727274
8,14848,1747,29,-0.017234456739970483,0.016353009254089557,0.07019752264022827,0.2,-43.4431369304657,-0.020847521722316742,0.9829700589179993,0.0004092704424510632,0.01765104,448,0.199951171875,1257.0,-2.3953787272727274
8,15360,1744,30,-0.026012597285443917,0.00629676875541918,-0.08527851104736328,0.2,-43.460394501686096,-0.04421446844935417,0.9850322008132935,0.0004092704424510632,0.016353836,464,0.2227783203125,1257.0,-2.38518475
9,15872,1742,31,-0.027081898442702368,0.09666598297189921,0.015852689743041992,0.2,-43.508607268333435,-0.012747086584568024,0.9852440357208252,0.0004092704424510632,0.031405427,480,0.3006591796875,1257.0,-2.38518475
9,16384,1738,32,-0.02199670724803582,0.003722793626366183,-0.39003562927246094,0.2,-43.53209137916565,-0.025653725489974022,0.9875763058662415,0.0004092704424510632,0.014946881,496,0.184814453125,1257.0,-2.401232307692308
9,16896,1735,33,-0.026334652007790282,0.08653688919730484,0.1347408890724182,0.2,-43.58561992645264,0.0031869523227214813,0.9877016544342041,0.0004092704424510632,0.029118683,512,0.296630859375,1257.0,-2.401232307692308
