time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
0,512,4179,1,,,,,,,,,,,,,
0,1024,2487,2,-0.03626513545168564,0.16540472763153957,-0.6057021617889404,0.2,-44.00986838340759,-0.03690585494041443,1.0015507936477661,0.0004092704424510632,0.023699142,16,0.2923583984375,,
0,1536,2163,3,-0.020318221912020817,0.004407305590575561,-0.018434882164001465,0.2,-44.05531442165375,-0.027219457551836967,1.0028445720672607,0.0004092704424510632,0.014839975,32,0.22412109375,1257.0,-2.333898
1,2048,2040,4,-0.025517554226098582,0.004665538755943999,0.01825547218322754,0.2,-44.085214018821716,-0.03515293449163437,1.0033917427062988,0.0004092704424510632,0.018079914,48,0.2401123046875,1257.0,-2.333898
1,2560,1972,5,-0.03225771148572676,0.0023567143798572943,0.025897741317749023,0.2,-44.080710887908936,-0.03060956858098507,1.0027852058410645,0.0004092704424510632,0.025355268,64,0.3311767578125,1257.0,-2.3088315
1,3072,1945,6,-0.030257269274443388,0.003306647893623449,0.014621913433074951,0.2,-44.05260384082794,-0.0364319384098053,1.001688838005066,0.0004092704424510632,0.019531569,80,0.2830810546875,1257.0,-2.3088315
1,3584,1918,7,-0.030549323942977935,0.003369474143255502,0.06075650453567505,0.2,-44.03225553035736,-0.0383126363158226,1.0016266107559204,0.0004092704424510632,0.017767403,96,0.2799072265625,1257.0,-2.3088315
2,4096,1895,8,-0.030784981048782356,0.0030619218705396634,-0.008251667022705078,0.2,-44.022623777389526,-0.04026871919631958,1.0007719993591309,0.0004092704424510632,0.019962022,112,0.2723388671875,1257.0,-2.2113083333333337
2,4608,1890,9,-0.029003671719692647,0.006104625426814891,0.01721346378326416,0.2,-43.98164439201355,-0.03731828182935715,0.9991112351417542,0.0004092704424510632,0.019582529,128,0.316650390625,1257.0,-2.2113083333333337
2,5120,1879,10,-0.02535795097355731,0.001982134006539127,0.10221588611602783,0.2,-43.93538177013397,-0.02319328300654888,0.9980286955833435,0.0004092704424510632,0.017262828,144,0.2821044921875,1257.0,-2.1897782500000003
3,5632,1871,11,-0.024890656728530303,0.006818050984293222,-0.02866196632385254,0.2,-43.894569635391235,-0.022328142076730728,0.9963040351867676,0.0004092704424510632,0.018490613,160,0.2559814453125,1257.0,-2.1897782500000003
3,6144,1862,12,-0.03298217794508673,0.004111605398065876,0.06139916181564331,0.2,-43.852025866508484,-0.051082853227853775,0.995344877243042,0.0004092704424510632,0.030744674,176,0.3587646484375,1257.0,-2.1897782500000003
3,6656,1856,13,-0.026577517957775854,0.003871465531119611,-0.0843883752822876,0.2,-43.8296799659729,-0.03958388790488243,0.9953774809837341,0.0004092704424510632,0.015298118,192,0.23974609375,1257.0,-2.2700924000000002
3,7168,1851,14,-0.029143900668714195,0.01938253198750317,0.0027998685836791992,0.2,-43.814669370651245,-0.03437130153179169,0.9938607215881348,0.0004092704424510632,0.01718055,208,0.26416015625,1257.0,-2.2700924000000002
4,7680,1845,15,-0.03445117763476446,0.0024052122062130366,-0.027152180671691895,0.2,-43.76879703998566,-0.049604449421167374,0.9933347105979919,0.0004092704424510632,0.022060309,224,0.291015625,1257.0,-2.2511673333333335
4,8192,1837,16,-0.02548639476299286,0.02163889433722943,-0.0017044544219970703,0.2,-43.754692912101746,-0.02635585516691208,0.9923379421234131,0.0004092704424510632,0.016135307,240,0.2420654296875,1257.0,-2.2511673333333335
