train/learning_rate,train/ent_coef,train/actor_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/n_updates
0.0008459126528049375,0.0195333082228899,-121.82818603515625,32,-4.571631,1223.0,4,1.2515654563903809,-177.95436096191406,4892,149,4791
0.0008459126528049375,0.0012573905987665057,-132.4159698486328,32,-3.62201175,1223.0,8,5.425843238830566,80.43744659423828,9784,303,9683
0.0008459126528049375,0.0014930295292288065,-128.71334838867188,32,-2.956691166666666,1223.0,12,3.3410544395446777,10.042625427246094,14676,457,14575
0.0008459126528049375,0.0011894521303474903,-121.29603576660156,30,-2.6015009375,1223.0,16,47.07606506347656,110.46070861816406,19568,639,19467
0.0008459126528049375,0.001031849067658186,-113.79743194580078,30,-2.3956415,1223.0,20,13.252705574035645,248.1925048828125,24460,796,24359
0.0008459126528049375,0.000859881634823978,-108.65611267089844,31,-2.2539325416666665,1223.0,24,4.8049540519714355,11.401264190673828,29352,136,29251
0.0008459126528049375,0.0005529907648451626,-105.26850891113281,31,-2.1303849285714285,1223.0,28,5.4002461433410645,-4.201769828796387,34244,290,34143
0.0008459126528049375,0.00041519245132803917,-105.3016128540039,31,-2.0412415624999998,1223.0,32,1.3523321151733398,16.419342041015625,39136,451,39035
0.0008459126528049375,0.0005380873335525393,-91.21354675292969,29,-2.0001946111111106,1223.0,36,2.8788301944732666,-24.641815185546875,44028,641,43927
0.0008459126528049375,0.0008289918769150972,-80.9787368774414,28,-1.978906675,1223.0,40,3.6146645545959473,-65.00296020507812,48920,832,48819
0.0008459126528049375,0.00034936878364533186,-62.498443603515625,25,-1.9534020454545455,1223.0,44,3.3288111686706543,-99.40010833740234,53812,147,53711
0.0008459126528049375,0.0003767140442505479,-50.51426696777344,25,-1.9340067083333334,1223.0,48,2.130254030227661,-46.34333419799805,58704,335,58603
0.0008459126528049375,0.0003174885059706867,-40.091712951660156,27,-1.9153076730769234,1223.0,52,2.551182270050049,72.50103759765625,63596,494,63495
0.0008459126528049375,0.00042833262705244124,-33.328712463378906,27,-1.8806928392857143,1223.0,56,1.4401990175247192,-37.99421310424805,68488,672,68387
0.0008459126528049375,0.0003731908218469471,-29.641639709472656,27,-1.8625875833333334,1223.0,60,1.1214832067489624,-38.57809829711914,73380,851,73279
0.0008459126528049375,0.0004342927422840148,-11.23464584350586,25,-1.8534414375,1223.0,64,5.8578338623046875,35.88776397705078,78272,130,78171
0.0008459126528049375,0.00038096186472103,-8.331249237060547,24,-1.849788661764706,1223.0,68,4.020848274230957,-17.060880661010742,83164,329,83063
0.0008459126528049375,0.0004667671164497733,-0.928636908531189,24,-1.8455406805555556,1223.0,72,2.202864170074463,-53.70232009887695,88056,531,87955
0.0008459126528049375,0.00029899273067712784,6.015679359436035,24,-1.845114605263158,1223.0,76,1.87040376663208,-11.781936645507812,92948,736,92847
