time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
4174,512,1,0,,,,,,,,,,,,,
2573,1024,2,0,0.09811536545748822,0.99992436170578,16,-0.03043833651463501,0.017560009,-43.98309123516083,0.2,0.2437744140625,0.0004092704424510632,-0.023856578394770622,-0.05419158935546875,,
2274,1536,3,0,0.004022538923891261,1.000072717666626,32,-0.03400910383788869,0.01949082,-43.98538887500763,0.2,0.2965087890625,0.0004092704424510632,-0.03981630504131317,0.008460938930511475,-2.586023,1223.0
2145,2048,4,0,0.00837132436572574,1.0007612705230713,48,-0.02165247150696814,0.016215522,-43.99672341346741,0.2,0.23974609375,0.0004092704424510632,-0.025934536010026932,-0.011100411415100098,-2.586023,1223.0
2091,2560,5,1,0.001604677849172731,1.001084804534912,64,-0.02813538485497702,0.018883899,-44.01365411281586,0.2,0.2696533203125,0.0004092704424510632,-0.036281947046518326,0.00946134328842163,-2.5507975,1223.0
2057,3072,6,1,0.013393659348366782,0.9994614720344543,80,-0.024663632593728835,0.021350233,-43.99709904193878,0.2,0.3023681640625,0.0004092704424510632,-0.007256799843162298,-0.005371451377868652,-2.5507975,1223.0
2040,3584,7,1,0.002358365873078583,1.0010557174682617,96,-0.02749539822980296,0.017446823,-43.97528612613678,0.2,0.2310791015625,0.0004092704424510632,-0.032792627811431885,0.027743995189666748,-2.5507975,1223.0
2026,4096,8,2,0.0031177348137134686,1.0013374090194702,112,-0.029828303813701496,0.019678965,-44.025360107421875,0.2,0.265380859375,0.0004092704424510632,-0.043615832924842834,0.02054816484451294,-2.548628666666666,1223.0
2008,4608,9,2,0.026250747381709516,1.0005890130996704,128,-0.02980635382118635,0.030678533,-44.01126825809479,0.2,0.3076171875,0.0004092704424510632,-0.03032861277461052,-0.0008924007415771484,-2.548628666666666,1223.0
1995,5120,10,2,0.0018311253988940734,0.9989548921585083,144,-0.025889142096275464,0.018120483,-43.97804284095764,0.2,0.2281494140625,0.0004092704424510632,-0.03136689215898514,0.021944761276245117,-2.52910875,1223.0
1981,5632,11,2,0.03480940969893709,0.9986109733581543,160,-0.02758172052563168,0.022776753,-43.937692642211914,0.2,0.26416015625,0.0004092704424510632,-0.01716649904847145,0.002088785171508789,-2.52910875,1223.0
1971,6144,12,3,0.0018233795708511025,0.9991869926452637,176,-0.027347794763045385,0.017586157,-43.940834522247314,0.2,0.210693359375,0.0004092704424510632,-0.03724442794919014,0.004834294319152832,-2.5184917999999996,1223.0
1968,6656,13,3,0.03713877184782177,0.9997379779815674,192,-0.02440236834809184,0.020718042,-43.962323784828186,0.2,0.231689453125,0.0004092704424510632,-0.020292887464165688,0.012128472328186035,-2.5184917999999996,1223.0
1965,7168,14,3,0.003173364599206252,1.001238226890564,208,-0.023894867874332704,0.019526549,-43.98716402053833,0.2,0.2115478515625,0.0004092704424510632,-0.03148728981614113,0.19470125436782837,-2.5184917999999996,1223.0
