time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
4250,512,1,0,,,,,,,,,,,,,
2659,1024,2,0,0.10832979969563894,1.0006937980651855,16,-0.023685069958446547,0.012537675,-43.99960708618164,0.2,0.20654296875,0.0004092704424510632,-0.034585390239953995,-0.5654834508895874,,
2400,1536,3,0,0.0029973651726322714,0.9989264011383057,32,-0.024402422466664575,0.01601899,-43.983840107917786,0.2,0.259521484375,0.0004092704424510632,-0.029321925714612007,-0.016505837440490723,-2.424149,1223.0
2283,2048,4,0,0.011607631138758734,0.9984850287437439,48,-0.02222362246538978,0.01442135,-43.94166028499603,0.2,0.21826171875,0.0004092704424510632,-0.025309553369879723,-0.025244593620300293,-2.424149,1223.0
2221,2560,5,1,0.001748661135934526,0.9984962940216064,64,-0.029834688582923263,0.016637558,-43.934693574905396,0.2,0.284912109375,0.0004092704424510632,-0.04802966117858887,0.004541337490081787,-2.4897669999999996,1223.0
2197,3072,6,1,0.01850581110920757,0.9983740448951721,80,-0.024247486508102156,0.016473321,-43.93354821205139,0.2,0.2523193359375,0.0004092704424510632,-0.032427914440631866,-0.00015974044799804688,-2.4897669999999996,1223.0
2182,3584,7,1,0.002434285339404596,0.996857225894928,96,-0.028273641772102565,0.022070926,-43.913811802864075,0.2,0.286865234375,0.0004092704424510632,-0.03584383800625801,0.006705582141876221,-2.4897669999999996,1223.0
2165,4096,8,1,0.002942020550108282,0.9954379796981812,112,-0.024682187446160242,0.014338197,-43.862048983573914,0.2,0.2579345703125,0.0004092704424510632,-0.03481513634324074,0.0072067975997924805,-2.499119,1223.0
2160,4608,9,2,0.03357287676772103,0.9935798645019531,128,-0.029549032624345273,0.019815767,-43.81272614002228,0.2,0.306884765625,0.0004092704424510632,-0.020332127809524536,0.00011992454528808594,-2.499119,1223.0
2154,5120,10,2,0.0022399515546567272,0.9942934513092041,144,-0.032143376985914074,0.025018835,-43.78572142124176,0.2,0.328369140625,0.0004092704424510632,-0.04225613921880722,0.019768595695495605,-2.51662725,1223.0
2154,5632,11,2,0.041419003857299685,0.9940787553787231,160,-0.028777180799806956,0.025040176,-43.80143165588379,0.2,0.29833984375,0.0004092704424510632,-0.019503183662891388,0.002141714096069336,-2.51662725,1223.0
2155,6144,12,2,0.0015224767430481734,0.9916628003120422,176,-0.02197571750730276,0.014757546,-43.761714458465576,0.2,0.1993408203125,0.0004092704424510632,-0.027669254690408707,-0.020740509033203125,-2.521379,1223.0
2148,6656,13,3,0.04751404654234648,0.9915523529052734,192,-0.02405191701836884,0.015730932,-43.70945763587952,0.2,0.2357177734375,0.0004092704424510632,-0.007125804200768471,0.0024443864822387695,-2.521379,1223.0
2144,7168,14,3,0.0034902622865047306,0.992175817489624,208,-0.03356974944472313,0.01670044,-43.71924710273743,0.2,0.2713623046875,0.0004092704424510632,-0.05958690494298935,0.047240495681762695,-2.521379,1223.0
2138,7680,15,3,0.0027416715056460816,0.9906348586082458,224,-0.028651471104240045,0.022562,-43.71878957748413,0.2,0.271728515625,0.0004092704424510632,-0.02720828354358673,7.361173629760742e-05,-2.520062,1223.0
2131,8192,16,3,0.06399484630674124,0.9895166158676147,240,-0.029099571256665513,0.027502144,-43.66074192523956,0.2,0.3050537109375,0.0004092704424510632,-0.01352018490433693,0.0030315518379211426,-2.520062,1223.0
2120,8704,17,4,0.0018940254849439953,0.9922752380371094,256,-0.02455193453351967,0.01623524,-43.6828373670578,0.2,0.220703125,0.0004092704424510632,-0.046179261058568954,0.03276646137237549,-2.528774714285714,1223.0
2117,9216,18,4,0.06489705829881132,0.9935179948806763,272,-0.021463257508003153,0.014572516,-43.76097595691681,0.2,0.192626953125,0.0004092704424510632,0.0062696970999240875,0.006620526313781738,-2.528774714285714,1223.0
2110,9728,19,4,0.0031669078198319767,0.9925102591514587,288,-0.027754142589401454,0.025117062,-43.760931730270386,0.2,0.2720947265625,0.0004092704424510632,-0.04014616459608078,-0.02684485912322998,-2.528774714285714,1223.0
2106,10240,20,4,0.002058876143564703,0.9919512271881104,304,-0.02351090934826061,0.018079206,-43.73038935661316,0.2,0.2125244140625,0.0004092704424510632,-0.040061675012111664,0.08354896306991577,-2.515376875,1223.0
2103,10752,21,5,0.06962723610922694,0.9903349876403809,320,-0.024442194509902038,0.018393872,-43.70306217670441,0.2,0.23681640625,0.0004092704424510632,-0.0006329566240310669,0.007141530513763428,-2.515376875,1223.0
2097,11264,22,5,0.0038810588921478484,0.9922314286231995,336,-0.02200220970553346,0.017388934,-43.68742096424103,0.2,0.196533203125,0.0004092704424510632,-0.031146753579378128,-0.058115482330322266,-2.5216786666666664,1223.0
2093,11776,23,5,0.0803752887295559,0.9918032288551331,352,-0.02305470003921073,0.020974942,-43.73177707195282,0.2,0.2325439453125,0.0004092704424510632,0.022198738530278206,0.01414710283279419,-2.5216786666666664,1223.0
2091,12288,24,5,0.00334505487808201,0.9939301013946533,368,-0.025580056018952746,0.021406226,-43.74009191989899,0.2,0.220703125,0.0004092704424510632,-0.037648290395736694,-1.5104880332946777,-2.5003485,1223.0
