time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
4114,1,512,0,,,,,,,,,,,,,
2402,2,1024,0,-43.951886892318726,0.0105866995,-0.03231903910636902,0.11254605456269928,-0.046507835388183594,16,0.0004092704424510632,0.2,0.197265625,-0.025682055857032537,0.9974977970123291,,
2121,3,1536,0,-43.89540648460388,0.021391068,-0.046756256371736526,0.005220864484726917,-0.03436446189880371,32,0.0004092704424510632,0.2,0.26953125,-0.029444463172694668,0.9970300793647766,-2.492676,1257.0
1999,4,2048,1,-43.85263788700104,0.016089976,-0.026442255824804306,0.00915640544553753,-0.001991748809814453,48,0.0004092704424510632,0.2,0.2413330078125,-0.026138136017834768,0.9938110709190369,-2.492676,1257.0
1942,5,2560,1,-43.773258090019226,0.016918942,-0.026967916637659073,0.0023767684360791463,0.2633358836174011,64,0.0004092704424510632,0.2,0.2264404296875,-0.0232912667124765,0.9932233691215515,-2.349021,1257.0
1904,6,3072,1,-43.764360308647156,0.018519595,-0.021731272339820862,0.014666037604911253,-0.0316547155380249,80,0.0004092704424510632,0.2,0.2562255859375,-0.0228160561673576,0.9925085306167603,-2.349021,1257.0
1876,7,3584,1,-43.740052342414856,0.01738384,-0.042907897382974625,0.004484173688979354,0.04909127950668335,96,0.0004092704424510632,0.2,0.291259765625,-0.02524179161991924,0.9918342232704163,-2.349021,1257.0
1855,8,4096,2,-43.71949374675751,0.017115384,-0.03708648309111595,0.003199659440724645,0.006940007209777832,112,0.0004092704424510632,0.2,0.24951171875,-0.025132766168098897,0.9914077520370483,-2.302789333333333,1257.0
1839,9,4608,2,-43.71700572967529,0.018064652,-0.034681931138038635,0.02740208979230374,0.004578888416290283,128,0.0004092704424510632,0.2,0.312255859375,-0.028927197970915586,0.991597592830658,-2.302789333333333,1257.0
1824,10,5120,2,-43.74284482002258,0.017957687,-0.04187148064374924,0.0023007338131719735,0.07494068145751953,144,0.0004092704424510632,0.2,0.2491455078125,-0.02849374395736959,0.9933977723121643,-2.3215512499999997,1257.0
1812,11,5632,3,-43.76707065105438,0.01713816,-0.01664971001446247,0.032484883966390043,-0.003430604934692383,160,0.0004092704424510632,0.2,0.2587890625,-0.022617518552578986,0.9921866655349731,-2.3215512499999997,1257.0
1803,12,6144,3,-43.73539972305298,0.013369726,-0.04195543751120567,0.003385365918802563,0.07959598302841187,176,0.0004092704424510632,0.2,0.2318115234375,-0.025261899805627763,0.9927082061767578,-2.3215512499999997,1257.0
1793,13,6656,3,-43.76169729232788,0.018838271,-0.03756389394402504,0.003214207012206316,-0.006152749061584473,192,0.0004092704424510632,0.2,0.261474609375,-0.026469903212273493,0.992742121219635,-2.2946495999999996,1257.0
1788,14,7168,4,-43.72801184654236,0.0216467,-0.004774598404765129,0.04492260632105172,0.004060864448547363,208,0.0004092704424510632,0.2,0.2833251953125,-0.027751398825785145,0.990958034992218,-2.2946495999999996,1257.0
1782,15,7680,4,-43.69417119026184,0.016150393,-0.03597291186451912,0.0028354523892630823,0.029395461082458496,224,0.0004092704424510632,0.2,0.239990234375,-0.021546907257288694,0.9914411306381226,-2.311288333333333,1257.0
1776,16,8192,4,-43.69901394844055,0.015191613,-0.004919068887829781,0.04973388742655516,0.003966629505157471,240,0.0004092704424510632,0.2,0.2415771484375,-0.02348512172466144,0.990294337272644,-2.311288333333333,1257.0
