time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
4138,1,512,0,,,,,,,,,,,,,
2489,2,1024,0,-43.986929297447205,0.017091585,-0.04000648111104965,0.08167887440504273,-0.7205252647399902,16,0.0004092704424510632,0.2,0.239501953125,-0.03066483192378655,1.0000396966934204,,
2220,3,1536,0,-43.984469413757324,0.014471631,-0.04390288144350052,0.004100219644897152,0.05860775709152222,32,0.0004092704424510632,0.2,0.2177734375,-0.023492631313274615,0.9998155236244202,-2.21947,1257.0
2073,4,2048,0,-43.94465363025665,0.0183859,-0.04126780107617378,0.006607616916880943,0.0025267601013183594,48,0.0004092704424510632,0.2,0.267578125,-0.028380937466863543,0.9969092011451721,-2.21947,1257.0
2000,5,2560,1,-43.86743772029877,0.02102293,-0.03775306046009064,0.003554960472683888,0.10684502124786377,64,0.0004092704424510632,0.2,0.296142578125,-0.029488736210623756,0.9960411787033081,-2.3564985,1257.0
1958,6,3072,1,-43.86988151073456,0.02020057,-0.01819046027958393,0.013951841479865834,-0.02778148651123047,80,0.0004092704424510632,0.2,0.314453125,-0.024845579377142712,0.996578574180603,-2.3564985,1257.0
1927,7,3584,1,-43.87950313091278,0.012415713,-0.04063691571354866,0.003843242287985049,0.07483083009719849,96,0.0004092704424510632,0.2,0.2503662109375,-0.024286020576255396,0.9965669512748718,-2.3564985,1257.0
1904,8,4096,2,-43.86481201648712,0.017880589,-0.031057000160217285,0.0038910962466616184,0.04259216785430908,112,0.0004092704424510632,0.2,0.26611328125,-0.02770848333602771,0.9955490827560425,-2.38685,1257.0
1883,9,4608,2,-43.80114531517029,0.018179346,-0.0307721309363842,0.02834945434005931,0.0027328133583068848,128,0.0004092704424510632,0.2,0.2913818359375,-0.0326657565892674,0.9923898577690125,-2.38685,1257.0
1867,10,5120,2,-43.74002027511597,0.016557738,-0.026056699454784393,0.0020702615147456527,0.11917257308959961,144,0.0004092704424510632,0.2,0.2420654296875,-0.02307943817868363,0.9926741123199463,-2.3782787499999998,1257.0
1852,11,5632,3,-43.76613461971283,0.01709841,-0.007772335782647133,0.03247085178736597,-0.007629036903381348,160,0.0004092704424510632,0.2,0.2415771484375,-0.022518043682794087,0.9933227896690369,-2.3782787499999998,1257.0
1846,12,6144,3,-43.766582012176514,0.015519999,-0.027496719732880592,0.0037580744974547997,0.04856044054031372,176,0.0004092704424510632,0.2,0.2451171875,-0.027059697487857193,0.9924666285514832,-2.3782787499999998,1257.0
1837,13,6656,3,-43.73770749568939,0.018772682,-0.02327960729598999,0.0037252004112815484,0.001871943473815918,192,0.0004092704424510632,0.2,0.284912109375,-0.027934269077377394,0.9919981956481934,-2.3818335999999998,1257.0
1830,14,7168,3,-43.73854196071625,0.019723576,-0.016558241099119186,0.049785169190727174,0.0027089715003967285,208,0.0004092704424510632,0.2,0.2767333984375,-0.02619873537332751,0.992466390132904,-2.3818335999999998,1257.0
1822,15,7680,4,-43.722625613212585,0.019659944,-0.04834108427166939,0.0020454769146454055,0.06875729560852051,224,0.0004092704424510632,0.2,0.2718505859375,-0.029359281092183664,0.9909506440162659,-2.3775573333333333,1257.0
1817,16,8192,4,-43.675634264945984,0.02498608,-0.01399223692715168,0.04842763766646385,0.003216385841369629,240,0.0004092704424510632,0.2,0.279541015625,-0.026648421335266903,0.9897099733352661,-2.3775573333333333,1257.0
1813,17,8704,4,-43.6666054725647,0.030951504,-0.033629585057497025,0.002964093604532536,0.04101836681365967,256,0.0004092704424510632,0.2,0.2998046875,-0.028759072913089767,0.9909095764160156,-2.3775573333333333,1257.0
1805,18,9216,5,-43.713613867759705,0.016379137,-0.0422012023627758,0.002953268318378832,-0.049860477447509766,272,0.0004092704424510632,0.2,0.2393798828125,-0.02798593528859783,0.9923437833786011,-2.367737857142857,1257.0
1793,19,9728,5,-43.72136044502258,0.018031362,-0.0027023423463106155,0.0671331959310919,0.0032804012298583984,288,0.0004092704424510632,0.2,0.258544921875,-0.0258823515905533,0.9908653497695923,-2.367737857142857,1257.0
1788,20,10240,5,-43.694400668144226,0.019775808,-0.03187653422355652,0.00243408023743541,0.052851200103759766,304,0.0004092704424510632,0.2,0.2720947265625,-0.028941500655491836,0.991824209690094,-2.3450786249999998,1257.0
