time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,3768,1,,,,,,,,,,,,,
1024,0,1879,2,-44.0003707408905,-0.3242499828338623,0.250732421875,0.10257630285195773,16,0.0004092704424510632,0.2,0.01726792,-0.029788479208946228,1.0009384155273438,-0.030368849824299105,,
1536,0,1609,3,-44.01932084560394,0.015443682670593262,0.268310546875,0.0030731444639968686,32,0.0004092704424510632,0.2,0.01752225,-0.019558658823370934,1.000840663909912,-0.027836841210955754,-2.530654,1223.0
2048,1,1501,4,-44.007503628730774,0.004622995853424072,0.34814453125,0.017408191546564922,48,0.0004092704424510632,0.2,0.027839705,-0.03579877316951752,1.0008444786071777,-0.03555513930041343,-2.530654,1223.0
2560,1,1441,5,-43.992639660835266,-0.0046234130859375,0.2705078125,0.001846442044552532,64,0.0004092704424510632,0.2,0.017596032,-0.04144638031721115,0.9993664026260376,-0.028867963948869146,-2.4507135,1223.0
3072,2,1403,6,-43.94867968559265,0.002702653408050537,0.2548828125,0.022440298285800964,80,0.0004092704424510632,0.2,0.016914275,-0.00898033194243908,0.9986525774002075,-0.025586012634448707,-2.4507135,1223.0
3584,2,1376,7,-43.92718803882599,-0.0066034793853759766,0.25390625,0.0024423197646683548,96,0.0004092704424510632,0.2,0.017999724,-0.027184361591935158,0.9976716041564941,-0.025418843208171893,-2.4507135,1223.0
4096,3,1359,8,-43.90617001056671,-0.006183147430419922,0.29443359375,0.0026635008871380705,112,0.0004092704424510632,0.2,0.01874625,-0.03605823218822479,0.9979447722434998,-0.029825354868080467,-2.4841386666666665,1223.0
4608,3,1343,9,-43.92180824279785,0.0012054443359375,0.3416748046875,0.037570847605820745,128,0.0004092704424510632,0.2,0.029266184,-0.02086489088833332,0.9983218908309937,-0.03443790550227277,-2.4841386666666665,1223.0
5120,3,1329,10,-43.9087849855423,-0.018472671508789062,0.254150390625,0.0020499280944932252,144,0.0004092704424510632,0.2,0.021738548,-0.03500509262084961,0.9968081116676331,-0.02634222968481481,-2.5099282499999997,1223.0
